sep=,
"Time","I38","I39","I40","I41","I42","I43","I44","I48","I38","I39","I40","I41","I42","I43","I44","I48"
2026-09-07 15:08:00,26.8 V,26.2 V,26.2 V,,,,26.5 V,26.3 V,1855 rpm,1862 rpm,1772 rpm,,,,1824 rpm,800 rpm
2026-09-07 15:10:00,26.8 V,26.6 V,26.6 V,,,,26.4 V,26.3 V,1817 rpm,1821 rpm,1757 rpm,,,,1819 rpm,800 rpm
2026-09-07 15:12:00,26.8 V,26.6 V,26.7 V,,,,26.4 V,26.0 V,1828 rpm,1832 rpm,1778 rpm,,,,1830 rpm,1565 rpm
2026-09-07 15:14:00,26.8 V,26.6 V,26.2 V,,,,26.5 V,26.0 V,1840 rpm,1404 rpm,1797 rpm,,,,1817 rpm,1804 rpm
2026-09-07 15:16:00,26.8 V,26.6 V,,,,,26.5 V,25.9 V,1822 rpm,1400 rpm,,,,,1813 rpm,1805 rpm
2026-09-07 15:18:00,26.8 V,26.7 V,,,,,26.5 V,25.9 V,1844 rpm,1400 rpm,,,,,1832 rpm,1800 rpm
2026-09-07 15:20:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.1 V,1818 rpm,1400 rpm,1796 rpm,,,,1827 rpm,1416 rpm
2026-09-07 15:22:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.3 V,1814 rpm,1843 rpm,1777 rpm,,,,1814 rpm,846 rpm
2026-09-07 15:24:00,26.8 V,26.6 V,26.6 V,,,,26.5 V,26.0 V,1728 rpm,1821 rpm,1760 rpm,,,,1829 rpm,1780 rpm
2026-09-07 15:26:00,26.8 V,26.5 V,26.7 V,,,,26.5 V,25.8 V,1176 rpm,1851 rpm,1759 rpm,,,,1812 rpm,1600 rpm
2026-09-07 15:28:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.3 V,1829 rpm,1809 rpm,1774 rpm,,,,1814 rpm,800 rpm
2026-09-07 15:30:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.3 V,1872 rpm,1831 rpm,1725 rpm,,,,1800 rpm,799 rpm
2026-09-07 15:32:00,26.7 V,26.7 V,26.7 V,,,,26.3 V,26.2 V,1851 rpm,1819 rpm,1794 rpm,,,,1825 rpm,800 rpm
2026-09-07 15:34:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.1 V,1827 rpm,1822 rpm,1803 rpm,,,,1810 rpm,1311 rpm
2026-09-07 15:36:00,26.8 V,26.7 V,26.7 V,,,,26.5 V,26.0 V,1838 rpm,1848 rpm,1781 rpm,,,,1810 rpm,1795 rpm
2026-09-07 15:38:00,26.8 V,26.7 V,26.6 V,,,,26.5 V,26.0 V,1832 rpm,1821 rpm,1775 rpm,,,,1823 rpm,1708 rpm
