sep=,
"Time","I45","I49","I50","I51","I52","I53","I54","I55","I56","I57","I58","I45","I49","I50","I51","I52","I53","I54","I55","I56","I57","I58"
2026-09-07 15:08:00,27.2 V,27.6 V,,26.5 V,26.7 V,27.5 V,27.1 V,27.2 V,27.3 V,27.2 V,26.7 V,799 rpm,1826 rpm,1881 rpm,1891 rpm,1830 rpm,1853 rpm,1898 rpm,1838 rpm,1801 rpm,1855 rpm,1886 rpm
2026-09-07 15:10:00,27.2 V,27.6 V,27.4 V,27.0 V,26.2 V,27.5 V,27.1 V,27.2 V,27.3 V,27.2 V,27.0 V,799 rpm,1839 rpm,1903 rpm,1857 rpm,1861 rpm,1900 rpm,1834 rpm,1884 rpm,1839 rpm,800 rpm,1859 rpm
2026-09-07 15:12:00,27.2 V,27.6 V,27.5 V,26.3 V,26.9 V,27.5 V,27.1 V,27.2 V,27.3 V,27.2 V,27.0 V,799 rpm,1840 rpm,1838 rpm,1850 rpm,1811 rpm,1898 rpm,1858 rpm,1857 rpm,1899 rpm,800 rpm,1888 rpm
2026-09-07 15:14:00,27.1 V,27.6 V,,26.8 V,26.3 V,27.5 V,27.1 V,27.2 V,27.3 V,27.2 V,27.1 V,1875 rpm,1841 rpm,1912 rpm,1841 rpm,1872 rpm,1840 rpm,1841 rpm,1838 rpm,1911 rpm,801 rpm,1856 rpm
2026-09-07 15:16:00,27.2 V,,27.5 V,27.0 V,26.3 V,27.5 V,27.1 V,27.2 V,27.2 V,27.2 V,27.0 V,1859 rpm,1895 rpm,1858 rpm,1840 rpm,1823 rpm,1835 rpm,1839 rpm,1861 rpm,1902 rpm,799 rpm,1861 rpm
2026-09-07 15:18:00,27.2 V,27.6 V,,27.2 V,26.6 V,27.5 V,27.1 V,27.2 V,27.2 V,27.3 V,27.0 V,1898 rpm,1793 rpm,1829 rpm,1839 rpm,1859 rpm,1845 rpm,1841 rpm,1892 rpm,1847 rpm,799 rpm,1876 rpm
2026-09-07 15:20:00,27.2 V,,27.5 V,27.2 V,26.2 V,27.5 V,27.2 V,27.2 V,27.3 V,27.3 V,27.0 V,1850 rpm,1840 rpm,1839 rpm,1855 rpm,1846 rpm,1908 rpm,1903 rpm,1850 rpm,1869 rpm,800 rpm,1860 rpm
2026-09-07 15:22:00,27.2 V,,,26.5 V,26.5 V,27.5 V,27.2 V,27.2 V,27.4 V,27.1 V,27.0 V,1853 rpm,1857 rpm,1879 rpm,1874 rpm,1839 rpm,1842 rpm,1902 rpm,1883 rpm,1899 rpm,1815 rpm,1837 rpm
2026-09-07 15:24:00,27.2 V,27.6 V,,27.0 V,26.6 V,27.5 V,27.2 V,27.1 V,27.3 V,27.1 V,27.1 V,1858 rpm,1844 rpm,1837 rpm,1862 rpm,1814 rpm,1823 rpm,1817 rpm,1840 rpm,1842 rpm,1842 rpm,1903 rpm
2026-09-07 15:26:00,27.2 V,27.6 V,27.5 V,26.8 V,26.3 V,27.5 V,27.2 V,27.1 V,27.3 V,27.3 V,27.0 V,1838 rpm,1900 rpm,1863 rpm,1848 rpm,1840 rpm,1857 rpm,1849 rpm,1853 rpm,1901 rpm,1901 rpm,1834 rpm
2026-09-07 15:28:00,27.2 V,27.6 V,,26.6 V,26.5 V,27.4 V,27.2 V,27.1 V,27.4 V,27.2 V,26.9 V,1856 rpm,1847 rpm,1826 rpm,1856 rpm,1867 rpm,1902 rpm,1884 rpm,1868 rpm,1908 rpm,1881 rpm,1867 rpm
2026-09-07 15:30:00,27.2 V,,24.3 V,26.7 V,26.7 V,27.5 V,27.2 V,27.1 V,27.3 V,27.2 V,27.0 V,1842 rpm,1893 rpm,799 rpm,1852 rpm,1805 rpm,1852 rpm,1834 rpm,1850 rpm,1866 rpm,1828 rpm,1866 rpm
2026-09-07 15:32:00,27.2 V,,,27.2 V,26.9 V,27.5 V,27.2 V,27.1 V,27.3 V,27.1 V,27.0 V,800 rpm,1894 rpm,1857 rpm,1873 rpm,1900 rpm,1860 rpm,1825 rpm,800 rpm,1899 rpm,1867 rpm,1901 rpm
2026-09-07 15:34:00,27.2 V,27.6 V,,27.1 V,26.5 V,27.5 V,27.2 V,27.1 V,27.3 V,27.2 V,27.0 V,800 rpm,1841 rpm,1899 rpm,1851 rpm,1833 rpm,1889 rpm,1897 rpm,800 rpm,1842 rpm,1841 rpm,1875 rpm
2026-09-07 15:36:00,27.2 V,,27.5 V,26.8 V,27.0 V,27.5 V,27.2 V,27.1 V,27.3 V,27.1 V,27.0 V,1875 rpm,1866 rpm,1866 rpm,1845 rpm,1866 rpm,1900 rpm,1832 rpm,800 rpm,1868 rpm,1841 rpm,1841 rpm
2026-09-07 15:38:00,27.1 V,27.6 V,27.5 V,26.5 V,26.5 V,27.5 V,27.2 V,27.1 V,27.3 V,26.7 V,27.1 V,1911 rpm,1842 rpm,1845 rpm,1823 rpm,1875 rpm,1901 rpm,1817 rpm,800 rpm,1865 rpm,1866 rpm,1896 rpm
