sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 09:53:40,,Medio +,,,,,,LLeno
2026-09-09 09:54:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:54:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:54:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:55:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:55:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:55:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:56:00,,Medio +,,5.25,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:56:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:56:40,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:57:00,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:57:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:57:40,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:58:00,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:58:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:58:40,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:59:00,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:59:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 09:59:40,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:00:00,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:00:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:00:40,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:01:00,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:01:20,,Medio +,,LLeno,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:01:40,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:02:00,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:02:20,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:02:40,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:03:00,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:03:20,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:03:40,,Medio +,,LLeno,,Medio +,Medio +,LLeno
2026-09-09 10:04:00,,Medio +,,5.75,,Medio +,Medio +,LLeno
2026-09-09 10:04:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:04:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:05:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:05:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:05:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:06:00,,,,,,Medio +,Medio +,
2026-09-09 10:06:20,,,,,,Medio +,Medio +,
2026-09-09 10:06:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:07:00,,,,,,Medio +,Medio +,
2026-09-09 10:07:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:07:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:08:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:08:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:08:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:09:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:09:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:09:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:10:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:10:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:10:40,,,,,,Medio +,Medio +,
2026-09-09 10:11:00,,,,,,Medio +,Medio +,
2026-09-09 10:11:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:11:40,,,,,,Medio +,Medio +,
2026-09-09 10:12:00,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:12:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:12:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:13:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:13:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:13:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:14:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:14:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:14:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:15:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:15:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:15:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:16:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:16:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:16:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:17:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:17:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:17:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:18:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:18:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:18:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:19:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:20:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:21:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
