sep=,
"Time","I45 - %","I49 - %","I50 - %","I52 - %","I53 - %","I54 - %","I55 - %","I56 - %","I57 - %","I58 - %"
2026-09-09 09:53:40,,,,,,,,71.6%,,100%
2026-09-09 09:54:00,100%,100%,,100%,71.6%,38.5%,100%,71.6%,100%,100%
2026-09-09 09:54:20,100%,100%,,100%,71.6%,38.6%,100%,71.6%,100%,100%
2026-09-09 09:54:40,100%,100%,,100%,71.6%,53.8%,100%,71.6%,100%,100%
2026-09-09 09:55:00,100%,100%,,100%,71.6%,38.1%,100%,71.6%,100%,100%
2026-09-09 09:55:20,100%,100%,,100%,71.6%,47.4%,100%,71.6%,100%,100%
2026-09-09 09:55:40,100%,100%,,100%,71.6%,37.9%,100%,71.6%,100%,100%
2026-09-09 09:56:00,100%,100%,,100%,71.6%,37.4%,100%,71.6%,100%,100%
2026-09-09 09:56:20,100%,,,100%,71.6%,38.9%,100%,71.6%,100%,100%
2026-09-09 09:56:40,100%,,,100%,71.6%,63.6%,100%,71.6%,100%,100%
2026-09-09 09:57:00,100%,,,100%,71.6%,71.6%,100%,71.6%,100%,100%
2026-09-09 09:57:20,100%,,,100%,71.6%,54.4%,100%,71.6%,100%,100%
2026-09-09 09:57:40,100%,,,100%,71.6%,38.7%,100%,71.6%,100%,100%
2026-09-09 09:58:00,100%,,,100%,71.6%,38.6%,100%,71.6%,100%,100%
2026-09-09 09:58:20,100%,,,100%,71.6%,45.7%,100%,71.6%,100%,100%
2026-09-09 09:58:40,100%,,,100%,63.7%,38%,100%,71.6%,100%,100%
2026-09-09 09:59:00,100%,,,100%,71.6%,37.5%,100%,71.6%,100%,100%
2026-09-09 09:59:20,100%,,,100%,71.6%,37.8%,100%,71.6%,100%,100%
2026-09-09 09:59:40,100%,100%,,100%,71.6%,35.6%,100%,71.6%,100%,100%
2026-09-09 10:00:00,100%,100%,,100%,71.6%,38.5%,100%,71.6%,100%,100%
2026-09-09 10:00:20,100%,100%,,100%,71.6%,37.4%,100%,71.6%,100%,100%
2026-09-09 10:00:40,100%,100%,,100%,71.6%,46.1%,100%,71.6%,100%,100%
2026-09-09 10:01:00,100%,100%,,100%,62.9%,37.6%,100%,71.6%,100%,100%
2026-09-09 10:01:20,100%,,,100%,71.6%,45.9%,100%,71.6%,100%,100%
2026-09-09 10:01:40,100%,,,100%,71.6%,71.6%,100%,71.6%,100%,100%
2026-09-09 10:02:00,100%,,,100%,71.6%,54.0%,100%,71.6%,100%,100%
2026-09-09 10:02:20,100%,,,100%,63%,38.3%,100%,71.6%,100%,100%
2026-09-09 10:02:40,100%,,,100%,71.6%,37.4%,100%,71.6%,100%,100%
