sep=,
"Time","BOOM - I45","ARM - I45","BUCKET - I45","BOOM - I49","ARM - I49","BUCKET - I49","BOOM - I50","ARM - I50","BUCKET - I50","BOOM - I51","ARM - I51","BUCKET - I51","BOOM - I52","ARM - I52","BUCKET - I52","BOOM - I53","ARM - I53","BUCKET - I53","BOOM - I54","ARM - I54","BUCKET - I54","BOOM - I55","ARM - I55","BUCKET - I55","BOOM - I56","ARM - I56","BUCKET - I56","BOOM - I57","ARM - I57","BUCKET - I57","BOOM - I58","ARM - I58","BUCKET - I58"
2026-06-12 15:00:00,333 °,333 °,333 °,57.9 °,54.9 °,333 °,51.3 °,54.3 °,64.7 °,52.0 °,49.3 °,45.4 °,51.7 °,333 °,333 °,52.2 °,333 °,55.4 °,55.0 °,333 °,333 °,59.0 °,333 °,333 °,54.5 °,51.6 °,333 °,57.0 °,49.5 °,37.8 °,,,
2026-06-12 17:00:00,333 °,333 °,333 °,55.9 °,55.1 °,333 °,52.3 °,52.2 °,48.1 °,54.5 °,58.6 °,42.5 °,50.7 °,333 °,333 °,53.0 °,333 °,51.5 °,36.7 °,333 °,270 °,55.3 °,333 °,333 °,55.0 °,51.7 °,333 °,59.7 °,57.7 °,52.1 °,,,
2026-06-12 19:00:00,333 °,333 °,333 °,56.3 °,58.3 °,333 °,50.3 °,59.4 °,51.6 °,51.0 °,54.7 °,42.1 °,41.4 °,333 °,333 °,54.0 °,333 °,55.7 °,54.3 °,333 °,4.86 °,54.9 °,333 °,333 °,55.0 °,57.0 °,333 °,52.6 °,53.0 °,46.3 °,,,
2026-06-12 21:00:00,333 °,333 °,333 °,59.0 °,57.8 °,333 °,47.1 °,50.2 °,43.1 °,56.8 °,50.4 °,33.8 °,45.6 °,333 °,333 °,56.9 °,333 °,54.5 °,59.5 °,333 °,0.880 °,49.2 °,289 °,222 °,53.5 °,53.6 °,333 °,49.0 °,55.2 °,45.1 °,,,
2026-06-12 23:00:00,333 °,333 °,333 °,59.2 °,54.3 °,333 °,46.6 °,57.6 °,50.2 °,58.8 °,57.7 °,48.9 °,44.0 °,333 °,333 °,53.8 °,315 °,50.2 °,60.9 °,333 °,3.86 °,53.8 °,333 °,49.8 °,50.3 °,51.1 °,333 °,46.7 °,60.3 °,45.5 °,,,
2026-06-13 01:00:00,333 °,333 °,333 °,61.0 °,55.9 °,333 °,46.6 °,50.5 °,50.7 °,53.6 °,59.5 °,50.5 °,54.5 °,333 °,333 °,51.1 °,333 °,46.6 °,60.6 °,333 °,3.80 °,61.1 °,333 °,56.7 °,52.8 °,56.9 °,333 °,47.5 °,57.4 °,41.0 °,,,
2026-06-13 03:00:00,333 °,333 °,333 °,53.9 °,52.6 °,333 °,46.1 °,58.2 °,48.9 °,46.0 °,66.5 °,41.1 °,54.2 °,333 °,333 °,51.4 °,333 °,50.2 °,52.0 °,333 °,3.81 °,61.0 °,333 °,61.9 °,54.4 °,54.5 °,333 °,42.7 °,54.6 °,50.6 °,,,
2026-06-13 05:00:00,333 °,333 °,333 °,51.5 °,62.1 °,333 °,52.8 °,50.3 °,55.5 °,48.3 °,58.2 °,56.3 °,56.3 °,333 °,333 °,48.4 °,333 °,42.7 °,58.7 °,333 °,3.89 °,60.5 °,313 °,57.6 °,51.2 °,53.9 °,333 °,52.8 °,50.7 °,51.1 °,,,
2026-06-13 07:00:00,333 °,333 °,333 °,54.2 °,62.3 °,333 °,59.1 °,49.3 °,20.6 °,46.7 °,61.0 °,54.6 °,59.8 °,333 °,333 °,51.8 °,333 °,48.2 °,44.3 °,333 °,3.86 °,53.9 °,333 °,49.8 °,50.9 °,55.8 °,333 °,47.6 °,48.2 °,47.5 °,,,
2026-06-13 09:00:00,333 °,333 °,333 °,51.4 °,58.8 °,333 °,54.3 °,41.5 °,46.8 °,45.2 °,58.8 °,48.0 °,35.5 °,333 °,333 °,51.9 °,333 °,55.1 °,41.0 °,333 °,106 °,51.6 °,333 °,52.3 °,53.4 °,47.3 °,333 °,49.5 °,50.6 °,48.9 °,,,
2026-06-13 11:00:00,333 °,333 °,333 °,49.0 °,53.3 °,333 °,55.2 °,47.9 °,55.8 °,44.1 °,60.3 °,50.3 °,50.3 °,333 °,333 °,51.7 °,333 °,53.1 °,74.6 °,333 °,333 °,48.6 °,333 °,54.3 °,59.5 °,42.3 °,333 °,51.9 °,50.5 °,47.6 °,,,
2026-06-13 13:00:00,333 °,333 °,333 °,50.7 °,50.2 °,333 °,50.1 °,49.3 °,48.3 °,53.3 °,61.0 °,23.0 °,53.6 °,333 °,333 °,54.8 °,287 °,59.2 °,50.7 °,333 °,333 °,52.0 °,321 °,50.8 °,55.9 °,38.9 °,333 °,49.7 °,58.8 °,46.0 °,,,
2026-06-13 15:00:00,333 °,333 °,333 °,45.0 °,59.2 °,333 °,60.4 °,51.6 °,55.7 °,,,,57.5 °,333 °,333 °,54.1 °,333 °,51.1 °,50.5 °,333 °,333 °,51.4 °,333 °,45.8 °,54.2 °,46.1 °,333 °,47.2 °,61.7 °,38.5 °,,,
2026-06-13 17:00:00,333 °,333 °,333 °,56.6 °,44.8 °,333 °,57.5 °,50.7 °,54.4 °,,,,56.2 °,333 °,333 °,52.3 °,333 °,48.7 °,49.9 °,333 °,333 °,55.5 °,333 °,52.2 °,50.3 °,57.9 °,333 °,46.7 °,67.8 °,42.8 °,,,
2026-06-13 19:00:00,333 °,333 °,333 °,55.4 °,44.7 °,333 °,53.8 °,55.7 °,43.3 °,,,,55.8 °,333 °,333 °,46.4 °,333 °,49.2 °,49.3 °,333 °,333 °,52.6 °,333 °,43.5 °,47.9 °,55.3 °,333 °,50.9 °,65.2 °,49.5 °,,,
2026-06-13 21:00:00,333 °,333 °,333 °,55.7 °,48.9 °,333 °,53.8 °,56.4 °,49.7 °,,,,53.7 °,333 °,333 °,47.9 °,333 °,54.9 °,46.6 °,333 °,333 °,44.3 °,151 °,51.1 °,51.8 °,55.9 °,333 °,47.5 °,123 °,47.7 °,,,
2026-06-13 23:00:00,333 °,333 °,333 °,48.1 °,55.8 °,333 °,50.0 °,56.8 °,41.9 °,,,,54.0 °,333 °,333 °,48.2 °,333 °,53.9 °,46.2 °,333 °,333 °,54.2 °,233 °,51.7 °,47.9 °,55.1 °,333 °,49.6 °,255 °,41.3 °,,,
2026-06-14 01:00:00,333 °,333 °,333 °,48.3 °,73.1 °,333 °,50.5 °,55.5 °,48.5 °,,,,50.2 °,333 °,333 °,49.7 °,333 °,45.8 °,50.4 °,333 °,333 °,58.0 °,333 °,48.3 °,50.8 °,50.6 °,333 °,49.9 °,333 °,49.2 °,,,
2026-06-14 03:00:00,333 °,333 °,333 °,46.3 °,64.3 °,333 °,50.8 °,56.4 °,43.2 °,,,,54.1 °,333 °,333 °,52.2 °,333 °,51.8 °,56.4 °,333 °,333 °,57.2 °,333 °,41.9 °,50.9 °,50.8 °,333 °,46.4 °,333 °,46.8 °,,,
2026-06-14 05:00:00,333 °,333 °,333 °,55.4 °,62.9 °,333 °,51.6 °,51.8 °,54.1 °,,,,49.9 °,333 °,333 °,59.6 °,333 °,49.8 °,45.4 °,333 °,302 °,55.4 °,333 °,46.8 °,52.6 °,53.0 °,333 °,49.8 °,274 °,55.4 °,,,
2026-06-14 07:00:00,333 °,333 °,333 °,54.2 °,62.9 °,333 °,54.0 °,55.9 °,45.1 °,,,,48.0 °,333 °,333 °,58.2 °,333 °,47.8 °,54.0 °,333 °,23.4 °,56.8 °,333 °,69.8 °,53.5 °,56.0 °,333 °,51.2 °,333 °,59.6 °,,,
2026-06-14 09:00:00,333 °,333 °,333 °,60.8 °,54.8 °,333 °,52.6 °,58.6 °,46.8 °,,,,56.2 °,333 °,333 °,54.5 °,333 °,50.8 °,56.3 °,333 °,22.9 °,52.0 °,333 °,58.1 °,52.2 °,58.7 °,333 °,49.4 °,333 °,53.9 °,,,
2026-06-14 11:00:00,333 °,333 °,333 °,59.3 °,56.5 °,333 °,52.4 °,51.6 °,45.2 °,,,,54.1 °,333 °,333 °,54.3 °,333 °,54.0 °,53.6 °,333 °,299 °,51.6 °,333 °,49.2 °,50.5 °,57.1 °,333 °,51.1 °,333 °,53.9 °,,,
2026-06-14 13:00:00,333 °,333 °,333 °,54.6 °,62.1 °,333 °,54.1 °,50.4 °,56.5 °,,,,46.7 °,333 °,333 °,47.3 °,318 °,51.1 °,54.7 °,333 °,333 °,48.0 °,333 °,37.3 °,51.0 °,57.7 °,333 °,45.2 °,333 °,46.3 °,,,
2026-06-14 15:00:00,333 °,333 °,333 °,55.5 °,62.3 °,333 °,53.5 °,49.4 °,47.4 °,38.0 °,24.0 °,17.7 °,48.7 °,333 °,333 °,56.0 °,231 °,55.5 °,53.4 °,333 °,333 °,45.6 °,333 °,27.0 °,52.5 °,49.7 °,333 °,38.3 °,333 °,51.3 °,,,
2026-06-14 17:00:00,333 °,333 °,333 °,56.3 °,49.7 °,333 °,56.6 °,61.6 °,55.1 °,53.3 °,46.6 °,45.4 °,53.4 °,333 °,333 °,52.4 °,333 °,50.8 °,47.2 °,333 °,333 °,49.2 °,333 °,47.1 °,55.3 °,52.7 °,333 °,34.7 °,198 °,46.5 °,,,
2026-06-14 19:00:00,333 °,333 °,333 °,57.8 °,50.8 °,333 °,56.5 °,60.7 °,43.1 °,49.9 °,55.4 °,66.1 °,48.7 °,333 °,333 °,55.4 °,333 °,56.7 °,48.1 °,333 °,333 °,49.3 °,333 °,46.7 °,52.5 °,58.4 °,333 °,35.7 °,315 °,54.5 °,,,
2026-06-14 21:00:00,333 °,333 °,333 °,56.8 °,58.3 °,333 °,56.2 °,58.1 °,53.4 °,51.2 °,60.6 °,57.9 °,51.3 °,333 °,333 °,50.0 °,333 °,49.9 °,50.5 °,333 °,333 °,49.4 °,311 °,44.3 °,52.3 °,57.4 °,333 °,41.8 °,277 °,43.3 °,,,
2026-06-14 23:00:00,333 °,333 °,333 °,52.3 °,61.6 °,333 °,49.2 °,68.1 °,40.6 °,48.0 °,59.3 °,63.3 °,51.2 °,333 °,333 °,51.8 °,333 °,58.6 °,50.6 °,333 °,333 °,54.1 °,254 °,54.0 °,50.2 °,66.0 °,333 °,47.0 °,271 °,52.2 °,,,
2026-06-15 01:00:00,333 °,333 °,333 °,59.8 °,50.4 °,333 °,55.7 °,41.6 °,48.7 °,48.8 °,59.2 °,58.4 °,51.9 °,333 °,333 °,51.4 °,333 °,47.3 °,50.2 °,333 °,274 °,52.5 °,333 °,48.1 °,49.2 °,70.7 °,333 °,46.6 °,333 °,51.4 °,,,
2026-06-15 03:00:00,333 °,333 °,333 °,56.5 °,69.3 °,333 °,51.6 °,45.4 °,50.7 °,50.7 °,59.9 °,60.3 °,56.1 °,333 °,333 °,48.3 °,333 °,56.7 °,47.8 °,333 °,55.3 °,46.4 °,333 °,26.7 °,48.8 °,57.4 °,333 °,42.2 °,333 °,46.9 °,,,
2026-06-15 05:00:00,333 °,333 °,333 °,55.1 °,63.0 °,333 °,49.8 °,53.1 °,49.9 °,52.8 °,45.8 °,64.0 °,53.9 °,333 °,333 °,54.0 °,333 °,38.0 °,,,,51.1 °,209 °,50.4 °,49.8 °,50.5 °,333 °,45.7 °,320 °,50.0 °,,,
2026-06-15 07:00:00,333 °,333 °,333 °,69.1 °,45.3 °,333 °,47.2 °,66.3 °,43.8 °,54.4 °,47.3 °,62.9 °,48.3 °,333 °,333 °,52.8 °,333 °,47.5 °,,,,53.4 °,333 °,43.5 °,49.5 °,50.3 °,333 °,44.1 °,333 °,57.1 °,,,
2026-06-15 09:00:00,333 °,333 °,333 °,53.9 °,56.0 °,333 °,52.8 °,69.1 °,40.7 °,51.1 °,50.9 °,60.6 °,50.8 °,333 °,333 °,48.7 °,333 °,58.1 °,59.7 °,333 °,55.4 °,53.4 °,333 °,43.9 °,51.1 °,50.4 °,333 °,48.6 °,333 °,52.2 °,,,
2026-06-15 11:00:00,333 °,333 °,333 °,52.3 °,60.4 °,333 °,46.1 °,58.2 °,50.7 °,51.6 °,47.4 °,50.7 °,48.4 °,333 °,333 °,47.7 °,333 °,53.5 °,,,,49.5 °,333 °,46.6 °,51.4 °,56.5 °,333 °,51.8 °,333 °,57.2 °,,,
2026-06-15 13:00:00,333 °,333 °,333 °,52.9 °,54.7 °,333 °,46.8 °,60.3 °,54.4 °,48.4 °,48.9 °,46.8 °,49.6 °,333 °,333 °,53.8 °,124 °,35.7 °,,,,53.2 °,333 °,51.3 °,52.3 °,44.9 °,333 °,59.7 °,333 °,54.0 °,,,
2026-06-15 15:00:00,333 °,333 °,333 °,50.4 °,53.9 °,333 °,49.5 °,56.3 °,58.8 °,50.1 °,47.8 °,56.2 °,51.4 °,333 °,333 °,55.0 °,311 °,52.5 °,,,,51.6 °,333 °,45.3 °,49.6 °,57.7 °,333 °,51.5 °,333 °,49.0 °,,,
2026-06-15 17:00:00,333 °,333 °,333 °,52.6 °,50.1 °,333 °,44.2 °,54.3 °,40.9 °,48.4 °,55.0 °,66.1 °,49.9 °,333 °,333 °,50.4 °,333 °,54.5 °,,,,53.1 °,333 °,45.8 °,50.7 °,48.8 °,333 °,48.4 °,209 °,41.6 °,,,
2026-06-15 19:00:00,333 °,333 °,333 °,48.1 °,55.4 °,333 °,41.3 °,58.8 °,35.4 °,48.8 °,45.9 °,84.5 °,45.3 °,333 °,333 °,51.5 °,333 °,51.3 °,,,,50.4 °,333 °,40.9 °,51.9 °,61.6 °,333 °,49.0 °,64.7 °,38.7 °,,,
2026-06-15 21:00:00,333 °,333 °,333 °,52.8 °,50.4 °,333 °,42.4 °,62.1 °,45.4 °,52.4 °,51.8 °,65.2 °,53.3 °,333 °,333 °,49.8 °,333 °,35.6 °,,,,50.0 °,333 °,41.5 °,52.0 °,65.0 °,333 °,45.0 °,300 °,54.5 °,,,
2026-06-15 23:00:00,333 °,333 °,333 °,53.6 °,56.3 °,333 °,42.9 °,59.8 °,45.0 °,49.7 °,59.9 °,53.8 °,50.9 °,333 °,333 °,50.3 °,333 °,53.4 °,,,,46.0 °,154 °,34.6 °,50.3 °,59.6 °,333 °,42.7 °,221 °,36.8 °,,,
2026-06-16 01:00:00,333 °,333 °,333 °,53.5 °,63.1 °,333 °,44.2 °,57.3 °,53.8 °,50.4 °,62.6 °,58.3 °,47.9 °,333 °,333 °,49.9 °,333 °,52.6 °,57.4 °,333 °,55.4 °,45.5 °,333 °,34.6 °,49.3 °,50.8 °,333 °,47.8 °,309 °,49.4 °,,,
2026-06-16 03:00:00,333 °,333 °,333 °,54.5 °,62.9 °,333 °,52.7 °,54.6 °,44.9 °,48.4 °,64.2 °,55.0 °,46.2 °,333 °,333 °,51.3 °,333 °,59.2 °,55.4 °,333 °,55.7 °,44.1 °,333 °,35.8 °,49.1 °,50.4 °,333 °,43.2 °,333 °,45.4 °,,,
2026-06-16 05:00:00,333 °,333 °,333 °,52.7 °,54.2 °,333 °,50.2 °,50.7 °,58.7 °,48.4 °,50.1 °,58.8 °,46.6 °,333 °,333 °,47.3 °,333 °,46.2 °,54.0 °,333 °,55.4 °,48.4 °,258 °,42.4 °,51.6 °,51.1 °,333 °,45.4 °,193 °,49.4 °,,,
2026-06-16 07:00:00,333 °,333 °,333 °,54.6 °,53.3 °,333 °,50.7 °,47.1 °,42.2 °,44.4 °,45.9 °,37.6 °,47.1 °,333 °,333 °,62.5 °,333 °,37.0 °,53.1 °,333 °,46.8 °,50.5 °,333 °,54.8 °,51.5 °,54.6 °,333 °,44.8 °,326 °,51.6 °,,,
2026-06-16 09:00:00,333 °,333 °,333 °,54.9 °,52.1 °,333 °,52.3 °,53.4 °,54.0 °,47.6 °,54.0 °,45.6 °,41.1 °,333 °,333 °,50.1 °,333 °,52.9 °,44.8 °,333 °,34.0 °,52.0 °,333 °,57.0 °,51.8 °,55.7 °,333 °,42.0 °,333 °,42.6 °,,,
2026-06-16 11:00:00,333 °,333 °,333 °,54.8 °,54.3 °,333 °,50.6 °,52.0 °,58.0 °,48.5 °,69.5 °,26.6 °,40.2 °,333 °,333 °,49.7 °,333 °,52.1 °,54.9 °,333 °,33.8 °,55.9 °,333 °,59.4 °,51.1 °,63.2 °,333 °,45.4 °,333 °,49.7 °,,,
2026-06-16 13:00:00,333 °,333 °,333 °,52.3 °,56.5 °,333 °,49.7 °,53.5 °,54.7 °,46.9 °,52.6 °,43.0 °,33.8 °,333 °,333 °,52.9 °,255 °,51.0 °,66.9 °,333 °,33.7 °,50.8 °,333 °,39.6 °,50.6 °,60.2 °,333 °,42.3 °,333 °,49.9 °,,,
2026-06-16 15:00:00,333 °,333 °,333 °,54.5 °,57.4 °,333 °,50.5 °,55.1 °,61.3 °,46.7 °,60.2 °,44.4 °,34.5 °,333 °,333 °,49.9 °,333 °,51.7 °,60.5 °,333 °,78.5 °,52.3 °,333 °,36.9 °,47.9 °,61.2 °,333 °,49.2 °,333 °,49.8 °,,,
2026-06-16 17:00:00,333 °,333 °,333 °,51.9 °,56.9 °,333 °,47.4 °,58.9 °,47.6 °,50.4 °,47.1 °,54.1 °,43.2 °,333 °,333 °,52.1 °,333 °,52.3 °,55.6 °,333 °,333 °,47.6 °,333 °,38.7 °,50.4 °,49.8 °,333 °,50.3 °,296 °,56.0 °,,,
2026-06-16 19:00:00,333 °,333 °,333 °,49.4 °,51.5 °,333 °,47.9 °,63.9 °,46.7 °,50.1 °,41.9 °,56.2 °,42.9 °,333 °,333 °,61.7 °,333 °,54.1 °,50.5 °,333 °,333 °,45.7 °,333 °,48.0 °,49.5 °,50.6 °,333 °,50.2 °,333 °,59.4 °,,,
2026-06-16 21:00:00,333 °,333 °,333 °,50.6 °,58.5 °,333 °,49.9 °,57.0 °,39.3 °,54.7 °,48.3 °,60.5 °,41.3 °,333 °,333 °,53.4 °,333 °,57.0 °,57.9 °,333 °,333 °,46.0 °,327 °,45.8 °,48.2 °,49.9 °,333 °,49.6 °,333 °,46.2 °,,,
2026-06-16 23:00:00,333 °,333 °,333 °,51.0 °,61.6 °,333 °,47.1 °,67.0 °,43.9 °,58.5 °,51.9 °,59.3 °,40.5 °,333 °,333 °,52.5 °,333 °,58.7 °,57.5 °,333 °,333 °,49.4 °,309 °,37.0 °,48.0 °,56.5 °,333 °,53.6 °,267 °,50.4 °,,,
2026-06-17 01:00:00,333 °,333 °,333 °,51.0 °,58.8 °,333 °,42.6 °,79.2 °,36.2 °,54.2 °,47.5 °,58.3 °,43.0 °,333 °,333 °,52.3 °,333 °,59.2 °,59.7 °,333 °,333 °,45.1 °,333 °,50.4 °,51.4 °,47.8 °,333 °,57.9 °,333 °,50.4 °,,,
2026-06-17 03:00:00,333 °,333 °,333 °,50.1 °,54.7 °,333 °,48.9 °,49.6 °,54.7 °,56.1 °,46.4 °,62.0 °,42.6 °,333 °,333 °,47.2 °,333 °,47.8 °,57.7 °,333 °,333 °,52.1 °,333 °,47.3 °,51.7 °,50.5 °,333 °,54.3 °,333 °,47.1 °,,,
2026-06-17 05:00:00,333 °,333 °,333 °,54.5 °,51.4 °,333 °,47.8 °,60.8 °,37.1 °,52.3 °,43.6 °,56.9 °,52.6 °,333 °,333 °,49.5 °,333 °,54.9 °,49.6 °,333 °,333 °,53.6 °,333 °,53.3 °,52.2 °,51.0 °,333 °,59.0 °,267 °,48.6 °,,,
2026-06-17 07:00:00,333 °,333 °,333 °,54.5 °,50.9 °,333 °,51.2 °,49.8 °,56.3 °,52.6 °,49.7 °,48.0 °,52.2 °,333 °,333 °,45.5 °,333 °,52.2 °,60.6 °,333 °,333 °,55.1 °,333 °,49.0 °,51.3 °,60.8 °,333 °,58.6 °,333 °,50.5 °,,,
2026-06-17 09:00:00,333 °,333 °,333 °,58.3 °,49.6 °,333 °,53.9 °,54.4 °,51.0 °,50.2 °,57.1 °,47.8 °,47.7 °,333 °,333 °,46.8 °,333 °,54.2 °,61.9 °,333 °,333 °,55.7 °,333 °,52.0 °,52.3 °,60.7 °,333 °,56.5 °,333 °,59.6 °,,,
2026-06-17 11:00:00,333 °,333 °,333 °,52.1 °,52.0 °,333 °,53.5 °,57.6 °,49.7 °,49.4 °,53.0 °,39.8 °,47.1 °,333 °,333 °,48.0 °,333 °,45.0 °,59.8 °,333 °,302 °,49.1 °,333 °,56.1 °,50.9 °,60.7 °,333 °,59.0 °,314 °,72.0 °,,,
2026-06-17 13:00:00,333 °,333 °,333 °,48.8 °,56.4 °,333 °,45.6 °,59.3 °,50.0 °,48.6 °,63.9 °,30.2 °,45.4 °,333 °,333 °,47.2 °,328 °,53.8 °,63.4 °,333 °,32.3 °,54.0 °,333 °,40.6 °,55.8 °,49.7 °,333 °,52.1 °,314 °,58.1 °,,,
2026-06-17 15:00:00,333 °,333 °,333 °,51.2 °,56.9 °,333 °,50.9 °,53.9 °,54.5 °,51.1 °,58.4 °,50.3 °,45.5 °,333 °,333 °,45.4 °,145 °,47.8 °,55.3 °,333 °,35.4 °,43.9 °,333 °,34.4 °,53.7 °,51.2 °,333 °,58.5 °,333 °,74.6 °,,,
2026-06-17 17:00:00,333 °,333 °,333 °,50.9 °,55.2 °,333 °,50.9 °,32.1 °,54.1 °,51.2 °,57.9 °,49.1 °,47.0 °,333 °,333 °,47.5 °,256 °,45.5 °,54.6 °,333 °,42.0 °,47.0 °,333 °,51.8 °,50.9 °,54.0 °,333 °,60.0 °,322 °,69.4 °,,,
2026-06-17 19:00:00,333 °,333 °,333 °,57.2 °,58.4 °,333 °,50.3 °,52.9 °,60.2 °,55.3 °,52.8 °,59.1 °,39.7 °,333 °,333 °,46.3 °,333 °,58.5 °,58.9 °,333 °,47.7 °,40.1 °,333 °,50.8 °,51.4 °,58.6 °,333 °,54.7 °,333 °,67.5 °,,,
2026-06-17 21:00:00,333 °,333 °,333 °,52.4 °,59.4 °,333 °,49.9 °,48.0 °,50.3 °,52.5 °,45.5 °,56.8 °,37.5 °,333 °,333 °,52.7 °,333 °,51.6 °,59.1 °,333 °,62.1 °,42.2 °,284 °,45.3 °,56.9 °,55.4 °,333 °,60.8 °,333 °,58.6 °,,,
2026-06-17 23:00:00,333 °,333 °,333 °,52.8 °,53.8 °,333 °,51.9 °,43.4 °,54.1 °,55.2 °,52.8 °,65.6 °,46.0 °,333 °,333 °,57.2 °,333 °,55.6 °,54.1 °,333 °,34.3 °,41.9 °,290 °,48.0 °,52.3 °,55.3 °,333 °,43.0 °,304 °,48.4 °,,,
2026-06-18 01:00:00,333 °,333 °,333 °,48.9 °,55.1 °,333 °,51.7 °,56.0 °,48.3 °,57.2 °,43.6 °,59.5 °,46.6 °,333 °,333 °,51.0 °,333 °,42.1 °,55.4 °,333 °,36.6 °,37.4 °,333 °,55.2 °,54.3 °,60.3 °,333 °,49.0 °,288 °,53.3 °,,,
2026-06-18 03:00:00,333 °,333 °,333 °,49.6 °,56.5 °,333 °,46.8 °,43.1 °,46.0 °,55.3 °,49.1 °,55.0 °,47.2 °,333 °,333 °,63.4 °,333 °,41.0 °,57.6 °,333 °,36.4 °,46.0 °,319 °,44.8 °,54.8 °,57.5 °,333 °,46.4 °,333 °,51.9 °,,,
2026-06-18 05:00:00,333 °,333 °,333 °,50.9 °,58.9 °,333 °,47.7 °,51.7 °,46.7 °,56.9 °,48.9 °,56.1 °,46.4 °,333 °,333 °,55.7 °,333 °,60.4 °,54.5 °,333 °,261 °,47.8 °,52.9 °,50.3 °,52.4 °,59.0 °,333 °,47.2 °,258 °,51.4 °,,,
2026-06-18 07:00:00,333 °,333 °,333 °,53.0 °,56.6 °,333 °,46.4 °,56.7 °,49.6 °,56.8 °,56.3 °,55.9 °,49.9 °,333 °,333 °,54.9 °,333 °,51.0 °,53.9 °,333 °,333 °,50.1 °,333 °,49.4 °,56.8 °,47.3 °,333 °,45.3 °,333 °,48.8 °,,,
2026-06-18 09:00:00,333 °,333 °,333 °,53.1 °,58.4 °,333 °,46.8 °,55.6 °,53.5 °,56.9 °,54.4 °,56.0 °,58.2 °,333 °,333 °,55.6 °,333 °,68.7 °,61.9 °,333 °,333 °,51.0 °,333 °,52.2 °,49.5 °,55.0 °,333 °,46.3 °,333 °,64.6 °,,,
2026-06-18 11:00:00,333 °,333 °,333 °,54.7 °,58.4 °,333 °,42.5 °,59.7 °,55.5 °,58.6 °,58.3 °,48.7 °,49.3 °,333 °,333 °,52.2 °,333 °,51.7 °,56.0 °,333 °,227 °,60.4 °,333 °,47.9 °,49.6 °,43.8 °,333 °,42.3 °,333 °,43.3 °,,,
2026-06-18 13:00:00,333 °,333 °,333 °,55.0 °,50.2 °,333 °,51.3 °,53.1 °,57.9 °,53.9 °,51.2 °,40.1 °,49.9 °,333 °,333 °,52.6 °,247 °,48.6 °,58.6 °,333 °,151 °,56.7 °,224 °,41.6 °,47.1 °,52.9 °,333 °,46.6 °,209 °,51.4 °,,,
2026-06-18 15:00:00,333 °,333 °,333 °,52.7 °,56.3 °,333 °,53.8 °,51.6 °,53.7 °,56.1 °,56.9 °,49.7 °,54.8 °,333 °,333 °,52.2 °,333 °,63.4 °,53.9 °,333 °,333 °,,,,52.5 °,54.0 °,333 °,45.6 °,333 °,55.3 °,,,
2026-06-18 17:00:00,333 °,333 °,333 °,53.4 °,56.6 °,333 °,56.0 °,52.4 °,48.8 °,56.1 °,55.6 °,50.3 °,53.5 °,333 °,333 °,51.6 °,321 °,59.8 °,55.2 °,333 °,333 °,,,,49.5 °,46.4 °,333 °,42.1 °,207 °,39.6 °,,,
2026-06-18 19:00:00,333 °,333 °,333 °,56.0 °,47.0 °,333 °,53.0 °,53.3 °,61.5 °,56.2 °,46.9 °,51.9 °,53.4 °,333 °,333 °,55.0 °,333 °,45.0 °,64.2 °,333 °,333 °,,,,44.5 °,59.1 °,333 °,38.9 °,103 °,41.6 °,,,
