"Time","I38","I39","I40","I41","I42","I43","I44","I46","I47","I48","I38","I39","I40","I41","I42","I43","I44","I46","I47","I48"
2026-06-12 13:00:00,26.5 V,26.5 V,26.8 V,26.8 V,26.2 V,26.5 V,26.5 V,,26.8 V,,1717 rpm,1681 rpm,1838 rpm,1851 rpm,728 rpm,1644 rpm,1825 rpm,,1037 rpm,
2026-06-12 15:00:00,26.5 V,26.4 V,26.9 V,26.7 V,26.2 V,26.5 V,26.5 V,,26.9 V,,1663 rpm,1645 rpm,1672 rpm,1630 rpm,1676 rpm,1577 rpm,1748 rpm,,739 rpm,
2026-06-12 17:00:00,26.0 V,26.5 V,26.8 V,26.9 V,26.0 V,26.6 V,26.5 V,,,,1067 rpm,1609 rpm,1633 rpm,1393 rpm,1796 rpm,1441 rpm,1712 rpm,,,
2026-06-12 19:00:00,27.0 V,26.6 V,26.7 V,26.8 V,25.9 V,26.6 V,26.6 V,,,,810 rpm,1685 rpm,1669 rpm,1825 rpm,1825 rpm,1596 rpm,1750 rpm,,,
2026-06-12 21:00:00,26.8 V,26.7 V,26.8 V,26.8 V,26.0 V,26.6 V,26.6 V,,26.6 V,,817 rpm,1751 rpm,1628 rpm,1849 rpm,1693 rpm,1712 rpm,1753 rpm,,838 rpm,
2026-06-12 23:00:00,26.9 V,26.7 V,26.8 V,26.9 V,26.1 V,26.7 V,26.6 V,,,,1231 rpm,1775 rpm,1526 rpm,1185 rpm,1681 rpm,1498 rpm,1738 rpm,,,
2026-06-13 01:00:00,26.8 V,26.6 V,26.9 V,27.0 V,26.6 V,26.7 V,26.6 V,,,,1512 rpm,1431 rpm,1674 rpm,1203 rpm,931 rpm,1495 rpm,1744 rpm,,,
2026-06-13 03:00:00,26.7 V,26.8 V,26.8 V,27.0 V,26.6 V,26.7 V,26.7 V,,,,1679 rpm,1600 rpm,1656 rpm,1278 rpm,1615 rpm,1562 rpm,1748 rpm,,,
2026-06-13 05:00:00,26.7 V,26.7 V,26.8 V,26.9 V,26.2 V,26.7 V,26.6 V,,,,1643 rpm,1429 rpm,1558 rpm,1056 rpm,1327 rpm,1452 rpm,1580 rpm,,,
2026-06-13 07:00:00,26.7 V,26.7 V,26.4 V,26.9 V,26.1 V,26.6 V,26.7 V,,,,1790 rpm,1583 rpm,1530 rpm,1376 rpm,1388 rpm,1702 rpm,1561 rpm,,,
2026-06-13 09:00:00,26.7 V,26.6 V,26.7 V,26.8 V,26.0 V,26.6 V,26.6 V,,,,1657 rpm,1459 rpm,1680 rpm,1572 rpm,1324 rpm,1785 rpm,1740 rpm,,,
2026-06-13 11:00:00,26.6 V,26.5 V,26.7 V,26.7 V,26.1 V,25.3 V,26.4 V,,,,1716 rpm,1776 rpm,1664 rpm,1725 rpm,1648 rpm,58.3 rpm,1666 rpm,,,
2026-06-13 13:00:00,26.6 V,26.4 V,26.8 V,26.6 V,26.2 V,25.9 V,26.4 V,,,,1585 rpm,1756 rpm,1518 rpm,1584 rpm,1426 rpm,571 rpm,1759 rpm,,,
2026-06-13 15:00:00,26.7 V,26.4 V,26.9 V,26.7 V,26.1 V,26.6 V,26.4 V,25.9 V,,,1348 rpm,1833 rpm,1797 rpm,1771 rpm,1619 rpm,1756 rpm,1797 rpm,1894 rpm,,
2026-06-13 17:00:00,26.8 V,26.6 V,26.7 V,26.7 V,26.0 V,26.6 V,26.5 V,25.8 V,,,1312 rpm,1682 rpm,1641 rpm,1566 rpm,1085 rpm,1473 rpm,1506 rpm,1592 rpm,,
2026-06-13 19:00:00,26.8 V,26.6 V,26.8 V,26.7 V,25.1 V,26.6 V,26.5 V,25.9 V,,,1512 rpm,1763 rpm,1627 rpm,1776 rpm,23.4 rpm,1721 rpm,1751 rpm,1570 rpm,,
2026-06-13 21:00:00,26.8 V,26.8 V,26.8 V,26.8 V,25.4 V,26.7 V,26.6 V,,,,1508 rpm,1305 rpm,1581 rpm,1700 rpm,216 rpm,1556 rpm,1730 rpm,,,
2026-06-13 23:00:00,26.9 V,26.8 V,26.8 V,26.8 V,26.4 V,26.7 V,26.6 V,,26.9 V,,1178 rpm,1514 rpm,1607 rpm,1795 rpm,1369 rpm,1646 rpm,1727 rpm,,793 rpm,
2026-06-14 01:00:00,26.8 V,26.6 V,26.9 V,26.9 V,26.2 V,26.7 V,26.6 V,,,,1487 rpm,1461 rpm,1683 rpm,1658 rpm,1538 rpm,1530 rpm,1611 rpm,,,
2026-06-14 03:00:00,26.8 V,26.7 V,26.8 V,26.8 V,26.1 V,26.7 V,26.6 V,,26.6 V,,1672 rpm,1824 rpm,1750 rpm,1695 rpm,1597 rpm,1549 rpm,1730 rpm,,573 rpm,
2026-06-14 05:00:00,26.8 V,26.7 V,26.8 V,26.9 V,25.9 V,26.7 V,26.5 V,,26.9 V,,1509 rpm,1616 rpm,1399 rpm,1466 rpm,1742 rpm,1472 rpm,1525 rpm,,1209 rpm,
2026-06-14 07:00:00,26.7 V,26.6 V,26.8 V,26.8 V,25.8 V,26.7 V,26.5 V,,26.9 V,,1665 rpm,1715 rpm,1660 rpm,1769 rpm,1726 rpm,1697 rpm,1827 rpm,,1623 rpm,
2026-06-14 09:00:00,26.7 V,26.5 V,25.6 V,26.8 V,25.7 V,26.6 V,26.5 V,,26.7 V,,1723 rpm,1768 rpm,383 rpm,1783 rpm,1691 rpm,1703 rpm,1780 rpm,,1844 rpm,
2026-06-14 11:00:00,26.7 V,26.6 V,26.4 V,26.7 V,25.7 V,26.6 V,26.5 V,,26.5 V,,1404 rpm,1712 rpm,854 rpm,1725 rpm,1736 rpm,1706 rpm,1752 rpm,,1647 rpm,
