sep=,
"Time","I45","I49","I50","I51","I52","I53","I54","I55","I56","I57","I58","I45","I49","I50","I51","I52","I53","I54","I55","I56","I57","I58"
2026-06-12 13:00:00,25.6 V,27.6 V,27.4 V,26.8 V,27.6 V,27.8 V,27.4 V,27.3 V,26.8 V,27.1 V,,0 rpm,1851 rpm,1895 rpm,1841 rpm,1837 rpm,1841 rpm,1865 rpm,800 rpm,800 rpm,1865 rpm,
2026-06-12 15:00:00,27.3 V,27.6 V,27.5 V,26.5 V,27.8 V,27.7 V,27.3 V,27.2 V,26.9 V,26.9 V,,1901 rpm,1857 rpm,1843 rpm,1899 rpm,800 rpm,1862 rpm,1889 rpm,1836 rpm,1835 rpm,1844 rpm,
2026-06-12 17:00:00,27.2 V,27.6 V,27.6 V,26.7 V,27.6 V,27.9 V,27.4 V,27.3 V,27.3 V,27.1 V,,1881 rpm,1901 rpm,1866 rpm,1858 rpm,800 rpm,1839 rpm,800 rpm,1829 rpm,1860 rpm,1901 rpm,
2026-06-12 19:00:00,25.8 V,27.6 V,27.6 V,27.1 V,27.6 V,27.8 V,27.2 V,27.4 V,27.3 V,27.0 V,,800 rpm,1847 rpm,800 rpm,1400 rpm,1839 rpm,1877 rpm,1871 rpm,1836 rpm,1841 rpm,1900 rpm,
2026-06-12 21:00:00,27.4 V,27.7 V,27.6 V,26.5 V,27.6 V,27.8 V,27.2 V,27.4 V,27.2 V,27.1 V,,1900 rpm,1846 rpm,1898 rpm,1900 rpm,1401 rpm,1843 rpm,1837 rpm,1900 rpm,1895 rpm,1866 rpm,
2026-06-12 23:00:00,27.4 V,27.6 V,27.5 V,27.1 V,27.0 V,27.9 V,27.2 V,27.4 V,27.2 V,27.6 V,,1842 rpm,800 rpm,800 rpm,1872 rpm,0 rpm,1886 rpm,1894 rpm,1898 rpm,1887 rpm,800 rpm,
2026-06-13 01:00:00,27.5 V,27.8 V,27.6 V,27.6 V,27.8 V,27.8 V,27.3 V,27.2 V,27.3 V,27.3 V,,800 rpm,802 rpm,1834 rpm,800 rpm,1862 rpm,1848 rpm,800 rpm,1852 rpm,1871 rpm,1850 rpm,
2026-06-13 03:00:00,27.5 V,27.7 V,27.6 V,26.9 V,27.7 V,27.9 V,27.3 V,27.4 V,27.1 V,27.5 V,,1848 rpm,1903 rpm,1897 rpm,1838 rpm,1833 rpm,1843 rpm,1842 rpm,1872 rpm,1873 rpm,800 rpm,
2026-06-13 05:00:00,27.4 V,27.7 V,27.6 V,27.0 V,27.6 V,27.9 V,24.4 V,27.5 V,27.1 V,24.5 V,,1833 rpm,1868 rpm,801 rpm,1877 rpm,1842 rpm,1400 rpm,0 rpm,1861 rpm,1875 rpm,800 rpm,
2026-06-13 07:00:00,27.2 V,27.7 V,27.5 V,26.6 V,25.6 V,27.8 V,25.9 V,27.4 V,27.0 V,27.2 V,,799 rpm,1845 rpm,1850 rpm,1883 rpm,0 rpm,1858 rpm,0 rpm,1842 rpm,1880 rpm,1862 rpm,
2026-06-13 09:00:00,27.3 V,27.7 V,27.6 V,27.0 V,27.8 V,27.8 V,27.2 V,27.4 V,27.2 V,27.1 V,,1844 rpm,1456 rpm,1900 rpm,1892 rpm,800 rpm,1856 rpm,800 rpm,1841 rpm,1843 rpm,1899 rpm,
2026-06-13 11:00:00,27.3 V,27.6 V,27.4 V,26.9 V,27.7 V,27.7 V,27.1 V,27.4 V,27.1 V,27.0 V,,1846 rpm,800 rpm,1880 rpm,1899 rpm,1863 rpm,1862 rpm,1882 rpm,1844 rpm,1842 rpm,1842 rpm,
