sep=,
"Time","I45 - %","I49 - %","I50 - %","I52 - %","I53 - %","I54 - %","I55 - %","I56 - %","I57 - %","I58 - %"
2026-06-12 13:00:00,100%,100%,71.6%,100%,100%,100%,71.6%,71.1%,99.7%,
2026-06-12 15:00:00,101%,100%,71.6%,100%,100%,100%,71.6%,99.8%,78.6%,
2026-06-12 17:00:00,102%,84.5%,71.6%,100%,100%,100%,71.6%,100%,71.6%,
2026-06-12 19:00:00,102%,71.7%,71.6%,100.0%,100%,100%,71.6%,100%,71.6%,
2026-06-12 21:00:00,100%,71.6%,71.6%,84.0%,100%,100%,81.4%,100%,71.6%,
2026-06-12 23:00:00,100%,71.6%,75.0%,76.2%,92.4%,100%,100%,100%,73.0%,
2026-06-13 01:00:00,100%,73.2%,100%,100%,71.8%,100%,100%,99.8%,100%,
2026-06-13 03:00:00,100%,100%,100%,100%,71.6%,99.6%,100%,91.6%,100%,
2026-06-13 05:00:00,100%,100%,100%,100%,71.6%,79.1%,100%,71.7%,100%,
2026-06-13 07:00:00,100%,100%,100%,100%,71.6%,71.6%,98.1%,69.5%,100%,
2026-06-13 09:00:00,98.1%,100%,100%,100%,71.6%,97.4%,75.2%,70.3%,100%,
2026-06-13 11:00:00,85.9%,100%,100%,100%,70.8%,100%,71.6%,71.4%,100%,
2026-06-13 13:00:00,71.9%,100%,99.6%,100%,93.7%,100%,71.5%,86.5%,87.3%,
2026-06-13 15:00:00,71.6%,87.2%,79.1%,97.9%,100%,100%,71.6%,100%,71.8%,
2026-06-13 17:00:00,71.6%,72.2%,71.7%,75.3%,100%,100%,71.6%,100%,71.6%,
2026-06-13 19:00:00,71.6%,71.9%,71.6%,71.7%,100%,100%,63.0%,100%,71.6%,
2026-06-13 21:00:00,71.6%,71.6%,71.6%,71.6%,100%,99.9%,46.0%,100%,71.6%,
2026-06-13 23:00:00,78.7%,71.6%,72.7%,71.6%,95.2%,78.7%,100%,100.0%,91.6%,
2026-06-14 01:00:00,100%,79.3%,100%,99.0%,73.7%,71.6%,100%,85.6%,100%,
2026-06-14 03:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,67.5%,100%,
2026-06-14 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,44.2%,100%,
2026-06-14 07:00:00,100%,100%,100%,100%,71.6%,95.9%,100.0%,35.8%,100%,
2026-06-14 09:00:00,100%,100%,100%,100%,71.6%,100%,95.7%,34.3%,100%,
2026-06-14 11:00:00,100%,100%,99.4%,100%,65.2%,100%,76.1%,35.0%,97.8%,
2026-06-14 13:00:00,88.5%,94.0%,85.4%,85.8%,33.6%,100%,71.6%,58.4%,74.4%,
2026-06-14 15:00:00,71.6%,72.6%,71.6%,71.8%,78.2%,100%,71.6%,100%,71.6%,
2026-06-14 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,99.4%,71.6%,100%,71.5%,
2026-06-14 19:00:00,71.6%,71.6%,71.6%,75.8%,100%,83.7%,71.5%,100%,71.5%,
2026-06-14 21:00:00,71.6%,71.6%,71.5%,100%,100%,71.7%,72.4%,100%,77.9%,
2026-06-14 23:00:00,71.6%,71.6%,76.1%,100%,99.9%,71.6%,100%,100%,100%,
2026-06-15 01:00:00,98.6%,75.6%,100%,100%,84.2%,71.6%,100%,93.2%,100%,
2026-06-15 03:00:00,100%,100%,100%,100%,71.7%,71.6%,100%,67.0%,100%,
2026-06-15 05:00:00,100%,100%,100%,100%,71.6%,,100%,68.3%,100%,
2026-06-15 07:00:00,100%,100%,100%,100%,71.6%,,100%,70.7%,100%,
2026-06-15 09:00:00,100.0%,100%,100%,87.2%,71.6%,77.3%,93.7%,64.7%,95.0%,
2026-06-15 11:00:00,97.8%,100%,92.4%,72.6%,71.4%,,71.9%,69.9%,74.1%,
2026-06-15 13:00:00,80.7%,99.2%,72.3%,71.6%,94.0%,,71.6%,42.5%,71.6%,
2026-06-15 15:00:00,71.6%,76.8%,71.6%,71.6%,100%,,71.6%,91.0%,71.6%,
2026-06-15 17:00:00,71.6%,71.5%,71.6%,71.6%,100%,,71.5%,100%,71.5%,
2026-06-15 19:00:00,71.5%,71.6%,71.6%,80.9%,100%,,71.5%,100%,71.5%,
2026-06-15 21:00:00,71.6%,71.6%,71.6%,100%,100%,,52.0%,100%,71.4%,
2026-06-15 23:00:00,94.7%,71.6%,67.0%,100%,100%,,77.6%,100%,74.8%,
2026-06-16 01:00:00,100%,71.6%,100%,100%,92.6%,100%,100%,99.7%,100%,
2026-06-16 03:00:00,100%,100%,100%,100%,72.5%,100%,100%,77.9%,100%,
2026-06-16 05:00:00,100%,100%,100%,100%,71.6%,100%,100%,59.5%,100%,
2026-06-16 07:00:00,100.0%,100%,100%,90.4%,71.6%,100%,100%,66.7%,100%,
2026-06-16 09:00:00,99.8%,100%,100%,71.7%,71.6%,100%,96.5%,68.0%,100%,
2026-06-16 11:00:00,82.4%,100.0%,80.6%,71.6%,71.5%,100%,74.4%,69.8%,84.6%,
2026-06-16 13:00:00,71.6%,88.2%,71.6%,71.6%,91.8%,100%,71.6%,100%,72.7%,
2026-06-16 15:00:00,71.4%,71.7%,71.3%,71.6%,100%,100%,71.6%,100%,71.9%,
2026-06-16 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,
2026-06-16 19:00:00,71.6%,71.6%,71.4%,71.5%,100%,100%,71.4%,100%,71.6%,
2026-06-16 21:00:00,67.0%,71.6%,71.6%,71.3%,100%,100.0%,61.1%,100%,71.6%,
2026-06-16 23:00:00,47.0%,71.6%,52.5%,76.6%,99.6%,88.1%,100%,100%,84.5%,
2026-06-17 01:00:00,100%,97.9%,100%,100%,80.9%,71.9%,100%,86.6%,100%,
2026-06-17 03:00:00,100%,100%,100%,100%,72.0%,71.6%,100%,68.8%,100%,
2026-06-17 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.3%,100%,
2026-06-17 07:00:00,100%,100%,100%,100%,71.5%,71.6%,100.0%,67.8%,100%,
2026-06-17 09:00:00,98.2%,100%,100%,100%,71.5%,71.5%,84.0%,59.5%,100%,
2026-06-17 11:00:00,72.0%,99.9%,100%,99.8%,62.1%,73.9%,71.6%,75.5%,99.7%,
2026-06-17 13:00:00,71.6%,76.7%,82.5%,74.9%,33.8%,100%,71.6%,100%,78.0%,
2026-06-17 15:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,
2026-06-17 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.5%,100%,71.6%,
2026-06-17 19:00:00,71.5%,71.6%,71.6%,91.2%,100%,100%,71.3%,100%,71.6%,
2026-06-17 21:00:00,65.2%,71.6%,71.6%,100%,100%,100%,63.5%,99.8%,71.5%,
2026-06-17 23:00:00,52.2%,71.6%,71.6%,100%,100.0%,100%,100%,75.5%,74.1%,
2026-06-18 01:00:00,100%,70.9%,48.4%,100%,81.4%,74.7%,100%,65.0%,100%,
2026-06-18 03:00:00,100%,100%,100%,100%,72.2%,71.6%,100%,61.6%,100%,
2026-06-18 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.5%,100%,
2026-06-18 07:00:00,100%,100%,100%,100%,71.5%,71.6%,100%,67.9%,100%,
2026-06-18 09:00:00,100%,100%,100%,96.0%,71.6%,71.5%,96.8%,49.0%,100%,
2026-06-18 11:00:00,99.6%,100%,100%,72.8%,71.6%,83.1%,74.3%,30.5%,99.7%,
2026-06-18 13:00:00,81.5%,100%,97.6%,71.6%,94.6%,100%,75.9%,27.5%,84.3%,
2026-06-18 15:00:00,71.6%,81.5%,74.3%,71.6%,100%,100%,,96.7%,72.6%,
2026-06-18 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,,100%,71.6%,
2026-06-18 19:00:00,71.5%,71.6%,71.6%,71.6%,100%,100%,,100%,71.6%,
2026-06-18 21:00:00,71.4%,71.6%,71.5%,71.3%,100%,100%,100%,100%,71.6%,
2026-06-18 23:00:00,76.8%,71.6%,71.5%,41.9%,98.2%,87.9%,100%,100%,75.1%,
2026-06-19 01:00:00,100%,71.3%,95.0%,99.9%,80.6%,71.6%,,100%,100%,
