sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-12 13:00:00,Medio +,LLeno,Full,Medio +,Full,LLeno,LLeno,,Full,
2026-06-12 15:00:00,Medio +,5.06,Full,5.22,6.01,LLeno,6.00,,Full,
2026-06-12 17:00:00,4.88,Medio +,Full,6.63,LLeno,LLeno,LLeno,,,
2026-06-12 19:00:00,Medio +,Medio +,Full,6.04,LLeno,LLeno,LLeno,,,
2026-06-12 21:00:00,5.40,Medio +,Full,LLeno,LLeno,LLeno,5.55,,6.95,
2026-06-12 23:00:00,6.80,Medio +,Full,LLeno,5.06,5.24,Medio +,,,
2026-06-13 01:00:00,6.23,5.16,Full,LLeno,1.98,Medio +,Medio +,,,
2026-06-13 03:00:00,LLeno,6.36,Full,LLeno,3.14,Medio +,Medio +,,,
2026-06-13 05:00:00,5.98,6.01,Full,LLeno,2.50,Medio +,Medio +,,,
2026-06-13 07:00:00,LLeno,6.00,Full,5.76,2.84,Medio +,Medio +,,,
2026-06-13 09:00:00,5.27,LLeno,Full,5.01,2.57,Medio +,4.10,,,
2026-06-13 11:00:00,Medio +,LLeno,Full,Medio +,4.38,6.92,5.12,,,
2026-06-13 13:00:00,Medio +,5.64,Full,5.83,5.82,Full,6.05,,,
2026-06-13 15:00:00,Medio +,Medio +,Full,6.25,6.04,6.25,LLeno,Medio +,,
2026-06-13 17:00:00,4.98,Medio +,Full,LLeno,5.26,LLeno,LLeno,4.97,,
2026-06-13 19:00:00,Medio +,Medio +,Full,LLeno,2.88,LLeno,5.49,4.65,,
2026-06-13 21:00:00,4.53,Medio +,Full,LLeno,5.38,LLeno,Medio +,,,
2026-06-13 23:00:00,4.16,Medio +,Full,5.87,LLeno,5.53,Medio +,,Full,
2026-06-14 01:00:00,6.14,5.49,Full,5.05,LLeno,Medio +,Medio +,,,
2026-06-14 03:00:00,LLeno,6.21,Full,5.31,LLeno,Medio +,Medio +,,Full,
2026-06-14 05:00:00,5.98,LLeno,Full,5.09,5.67,Medio +,4.79,,6.99,
2026-06-14 07:00:00,LLeno,LLeno,Full,Medio +,4.68,Medio +,3.59,,Full,
2026-06-14 09:00:00,5.96,LLeno,Full,Medio +,4.54,Medio +,3.11,,Full,
2026-06-14 11:00:00,Medio +,5.29,Full,4.75,4.74,4.59,6.02,,Full,
2026-06-14 13:00:00,Medio +,Medio +,Full,5.15,4.80,6.08,LLeno,,Full,
2026-06-14 15:00:00,Medio +,Medio +,Full,6.03,6.96,6.34,LLeno,,Full,
