"Time","I38 - G_1","I38 - G_2","I38 - G_3","I38 - G_4","I39 - G_1","I39 - G_2","I39 - G_3","I39 - G_4","I40 - G_1","I40 - G_2","I40 - G_3","I40 - G_4","I41 - G_1","I41 - G_2","I41 - G_3","I41 - G_4","I42 - G_1","I42 - G_2","I42 - G_3","I42 - G_4","I43 - G_1","I43 - G_2","I43 - G_3","I43 - G_4","I44 - G_1","I44 - G_2","I44 - G_3","I44 - G_4","I46 - G_1","I46 - G_2","I46 - G_3","I46 - G_4","I47 - G_1","I47 - G_2","I47 - G_3","I47 - G_4","I48 - G_1","I48 - G_2","I48 - G_3","I48 - G_4"
2026-06-12 13:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,Off,Off,Off,Off,,,,
2026-06-12 15:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-12 17:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-12 19:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-12 21:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,On,On,On,On,,,,
2026-06-12 23:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-13 01:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-13 03:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-13 05:00:00,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
2026-06-13 07:00:00,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
