"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","Center - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","Center - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","Center - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","Center - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","Center - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","Center - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","Center - I44","B_1 - I46","B_2 - I46","B_3 - I46","B_4 - I46","Center - I46","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","Center - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","Center - I48","RPM "
2026-06-12 13:00:00,0.0701 Mpa,0.0529 Mpa,0.0707 Mpa,0.0760 Mpa,0 Mpa,0.00512 Mpa,6.10 Mpa,6.10 Mpa,0.00458 Mpa,0 Mpa,0.0191 Mpa,0.0227 Mpa,0.0361 Mpa,0.0162 Mpa,0 Mpa,0.106 Mpa,0.131 Mpa,0.426 Mpa,0.192 Mpa,0 Mpa,0 Mpa,0.0480 Mpa,0.0480 Mpa,0 Mpa,0 Mpa,0.00971 Mpa,0.00728 Mpa,0.00620 Mpa,0.00674 Mpa,0 Mpa,0.0173 Mpa,0.0114 Mpa,0.00505 Mpa,0.0345 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0240 Mpa,0.0240 Mpa,0 Mpa,,,,,,1556 RPM
2026-06-12 15:00:00,0.0716 Mpa,0.0564 Mpa,0.0714 Mpa,0.0781 Mpa,0 Mpa,0.00724 Mpa,6.10 Mpa,6.10 Mpa,0.00687 Mpa,0 Mpa,0.0214 Mpa,0.0218 Mpa,0.0309 Mpa,0.0131 Mpa,0 Mpa,0.132 Mpa,0.130 Mpa,0.338 Mpa,0.163 Mpa,0.0167 Mpa,0.00521 Mpa,0.0370 Mpa,0.0339 Mpa,0.00151 Mpa,0 Mpa,0.00890 Mpa,0.00720 Mpa,0.00453 Mpa,0.00586 Mpa,0 Mpa,0.0163 Mpa,0.00731 Mpa,0.00396 Mpa,0.106 Mpa,0 Mpa,,,,,,0 Mpa,0 Mpa,0.0237 Mpa,0.0237 Mpa,0.0789 Mpa,,,,,,1642 RPM
2026-06-12 17:00:00,0.0366 Mpa,0.0285 Mpa,0.0410 Mpa,0.0522 Mpa,0.0433 Mpa,0.00290 Mpa,6.10 Mpa,6.10 Mpa,0.00269 Mpa,0 Mpa,0.0222 Mpa,0.0198 Mpa,0.0316 Mpa,0.0136 Mpa,0 Mpa,0.107 Mpa,0.0906 Mpa,0.111 Mpa,0.0920 Mpa,0.0132 Mpa,0.00630 Mpa,0.0377 Mpa,0.0348 Mpa,0.00181 Mpa,0 Mpa,0.00684 Mpa,0.00580 Mpa,0.00302 Mpa,0.00429 Mpa,0 Mpa,0.0158 Mpa,0.00655 Mpa,0.00330 Mpa,0.0966 Mpa,0 Mpa,,,,,,,,,,,,,,,,1542 RPM
2026-06-12 19:00:00,0.0367 Mpa,0.0240 Mpa,0.0475 Mpa,0.0480 Mpa,0 Mpa,0.00299 Mpa,6.10 Mpa,6.10 Mpa,0.00293 Mpa,0 Mpa,0.0200 Mpa,0.0154 Mpa,0.0295 Mpa,0.00947 Mpa,0 Mpa,0.115 Mpa,0.0975 Mpa,0.150 Mpa,0.113 Mpa,0 Mpa,0.00637 Mpa,0.0361 Mpa,0.0343 Mpa,0.00184 Mpa,0 Mpa,0.00976 Mpa,0.00790 Mpa,0.00436 Mpa,0.00564 Mpa,0 Mpa,0.0139 Mpa,0.00670 Mpa,0.00353 Mpa,0.105 Mpa,0 Mpa,,,,,,,,,,,,,,,,1717 RPM
2026-06-12 21:00:00,0.0646 Mpa,0.0625 Mpa,0.0693 Mpa,0.0722 Mpa,0.0473 Mpa,0.000709 Mpa,6.10 Mpa,6.10 Mpa,0.00104 Mpa,0 Mpa,0.0194 Mpa,0.0160 Mpa,0.0312 Mpa,0.0104 Mpa,0 Mpa,0.100 Mpa,0.0814 Mpa,0.189 Mpa,0.147 Mpa,0 Mpa,0.00586 Mpa,0.0427 Mpa,0.0376 Mpa,0.00199 Mpa,0 Mpa,0.0104 Mpa,0.00861 Mpa,0.00493 Mpa,0.00646 Mpa,0 Mpa,0.0159 Mpa,0.00697 Mpa,0.00351 Mpa,0.0943 Mpa,0 Mpa,,,,,,0.000112 Mpa,0.0000558 Mpa,0.0238 Mpa,0.0254 Mpa,0.0870 Mpa,,,,,,1657 RPM
2026-06-12 23:00:00,0.0465 Mpa,0.0425 Mpa,0.0488 Mpa,0.0540 Mpa,0.0177 Mpa,0.00206 Mpa,6.10 Mpa,6.10 Mpa,0.00213 Mpa,0 Mpa,0.0204 Mpa,0.0184 Mpa,0.0325 Mpa,0.0103 Mpa,0 Mpa,0.0926 Mpa,0.0758 Mpa,0.237 Mpa,0.204 Mpa,0 Mpa,0.00634 Mpa,0.0413 Mpa,0.0382 Mpa,0.00239 Mpa,0 Mpa,0.0146 Mpa,0.0129 Mpa,0.00535 Mpa,0.00770 Mpa,0 Mpa,0.0134 Mpa,0.00547 Mpa,0.00289 Mpa,0.139 Mpa,0 Mpa,,,,,,,,,,,,,,,,1532 RPM
2026-06-13 01:00:00,0.0448 Mpa,0.0352 Mpa,0.0447 Mpa,0.0560 Mpa,0 Mpa,0.00239 Mpa,6.10 Mpa,6.10 Mpa,0.00280 Mpa,0 Mpa,0.0230 Mpa,0.0225 Mpa,0.0319 Mpa,0.0125 Mpa,0 Mpa,0.100 Mpa,0.0886 Mpa,0.192 Mpa,0.164 Mpa,0 Mpa,0.00188 Mpa,0.0461 Mpa,0.0446 Mpa,0.000861 Mpa,0 Mpa,0.0107 Mpa,0.00965 Mpa,0.00573 Mpa,0.00716 Mpa,0 Mpa,0.00880 Mpa,0.00236 Mpa,0.00109 Mpa,0.0786 Mpa,0 Mpa,,,,,,,,,,,,,,,,1449 RPM
2026-06-13 03:00:00,0.0450 Mpa,0.0352 Mpa,0.0439 Mpa,0.0548 Mpa,0 Mpa,0.00269 Mpa,6.10 Mpa,6.10 Mpa,0.00238 Mpa,0 Mpa,0.0225 Mpa,0.0258 Mpa,0.0341 Mpa,0.0152 Mpa,0 Mpa,0.108 Mpa,0.0931 Mpa,0.147 Mpa,0.106 Mpa,0 Mpa,0.00459 Mpa,0.0475 Mpa,0.0425 Mpa,0.00212 Mpa,0 Mpa,0.0130 Mpa,0.0129 Mpa,0.00674 Mpa,0.00884 Mpa,0 Mpa,0.0118 Mpa,0.00403 Mpa,0.00156 Mpa,0.0540 Mpa,0 Mpa,,,,,,,,,,,,,,,,1590 RPM
2026-06-13 05:00:00,0.0401 Mpa,0.0307 Mpa,0.0386 Mpa,0.0494 Mpa,0.00718 Mpa,0.00234 Mpa,6.10 Mpa,6.10 Mpa,0.00245 Mpa,0 Mpa,0.0269 Mpa,0.0276 Mpa,0.0349 Mpa,0.0188 Mpa,0 Mpa,0.101 Mpa,0.0804 Mpa,0.171 Mpa,0.0937 Mpa,0 Mpa,0.00616 Mpa,0.0524 Mpa,0.0471 Mpa,0.00337 Mpa,0.00882 Mpa,0.0133 Mpa,0.0127 Mpa,0.00523 Mpa,0.00696 Mpa,0 Mpa,0.00975 Mpa,0.00366 Mpa,0.00158 Mpa,0.103 Mpa,0 Mpa,,,,,,,,,,,,,,,,1438 RPM
2026-06-13 07:00:00,0.0352 Mpa,0.0235 Mpa,0.0345 Mpa,0.0461 Mpa,0 Mpa,0.00216 Mpa,6.10 Mpa,6.10 Mpa,0.00198 Mpa,0 Mpa,0.0239 Mpa,0.0233 Mpa,0.0363 Mpa,0.0151 Mpa,0 Mpa,0.117 Mpa,0.0993 Mpa,0.134 Mpa,0.104 Mpa,0 Mpa,0.00549 Mpa,0.0422 Mpa,0.0381 Mpa,0.00274 Mpa,0 Mpa,0.0151 Mpa,0.0136 Mpa,0.00831 Mpa,0.00901 Mpa,0 Mpa,0.0123 Mpa,0.00226 Mpa,0.00133 Mpa,0.137 Mpa,0 Mpa,,,,,,,,,,,,,,,,1565 RPM
