"Time","B_1 - I45","B_2 - I45","B_3 - I45","B_4 - I45","Center - I45","B_1 - I49","B_2 - I49","B_3 - I49","B_4 - I49","Center - I49","B_1 - I50","B_2 - I50","B_3 - I50","B_4 - I50","Center - I50","B_1 - I51","B_2 - I51","B_3 - I51","B_4 - I51","Center - I51","B_1 - I52","B_2 - I52","B_3 - I52","B_4 - I52","Center - I52","B_1 - I53","B_2 - I53","B_3 - I53","B_4 - I53","Center - I53","B_1 - I54","B_2 - I54","B_3 - I54","B_4 - I54","Center - I54","B_1 - I55","B_2 - I55","B_3 - I55","B_4 - I55","Center - I55","B_1 - I56","B_2 - I56","B_3 - I56","B_4 - I56","Center - I56","B_1 - I57","B_2 - I57","B_3 - I57","B_4 - I57","Center - I57","B_1 - I58","B_2 - I58","B_3 - I58","B_4 - I58","Center - I58","RPM "
2026-06-12 13:00:00,0.108 Mpa,1.02 Mpa,0.108 Mpa,0.112 Mpa,0 Mpa,0.112 Mpa,1.02 Mpa,0.112 Mpa,1.02 Mpa,0 Mpa,0.134 Mpa,0.124 Mpa,0.133 Mpa,0.131 Mpa,0 Mpa,0.122 Mpa,0.126 Mpa,0.122 Mpa,0.124 Mpa,,0.138 Mpa,1.02 Mpa,0.138 Mpa,0.136 Mpa,0 Mpa,0.114 Mpa,0.111 Mpa,0.111 Mpa,0.112 Mpa,0 Mpa,0.123 Mpa,0.123 Mpa,0.124 Mpa,0.123 Mpa,0 Mpa,0.119 Mpa,0.120 Mpa,0.125 Mpa,0.120 Mpa,0 Mpa,0.130 Mpa,0.132 Mpa,0.132 Mpa,0.130 Mpa,0 Mpa,0.112 Mpa,0.112 Mpa,0.112 Mpa,0.112 Mpa,0 Mpa,,,,,,1492 RPM
2026-06-12 15:00:00,0.119 Mpa,1.02 Mpa,0.120 Mpa,0.121 Mpa,0 Mpa,0.110 Mpa,1.02 Mpa,0.111 Mpa,1.02 Mpa,0 Mpa,0.126 Mpa,0.122 Mpa,0.125 Mpa,0.122 Mpa,0 Mpa,0.116 Mpa,0.120 Mpa,0.115 Mpa,0.118 Mpa,,0.115 Mpa,1.02 Mpa,0.114 Mpa,0.114 Mpa,0 Mpa,0.117 Mpa,0.116 Mpa,0.115 Mpa,0.117 Mpa,0 Mpa,0.128 Mpa,0.127 Mpa,0.127 Mpa,0.127 Mpa,0 Mpa,0.118 Mpa,0.120 Mpa,0.123 Mpa,0.118 Mpa,0 Mpa,0.126 Mpa,0.129 Mpa,0.128 Mpa,0.126 Mpa,0.00174 Mpa,0.117 Mpa,0.116 Mpa,0.119 Mpa,0.118 Mpa,0 Mpa,,,,,,1672 RPM
2026-06-12 17:00:00,0.118 Mpa,1.02 Mpa,0.120 Mpa,0.121 Mpa,0 Mpa,0.114 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.115 Mpa,0.113 Mpa,0.116 Mpa,0.113 Mpa,0 Mpa,0.114 Mpa,0.117 Mpa,0.113 Mpa,0.116 Mpa,,0.108 Mpa,1.01 Mpa,0.106 Mpa,0.106 Mpa,0.0120 Mpa,0.114 Mpa,0.114 Mpa,0.112 Mpa,0.115 Mpa,0 Mpa,0.117 Mpa,0.117 Mpa,0.117 Mpa,0.117 Mpa,0.0359 Mpa,0.120 Mpa,0.122 Mpa,0.124 Mpa,0.120 Mpa,0 Mpa,0.127 Mpa,0.130 Mpa,0.129 Mpa,0.128 Mpa,0 Mpa,0.122 Mpa,0.121 Mpa,0.124 Mpa,0.123 Mpa,0.00647 Mpa,,,,,,1593 RPM
2026-06-12 19:00:00,0.119 Mpa,1.01 Mpa,0.120 Mpa,0.121 Mpa,0.00329 Mpa,0.116 Mpa,1.02 Mpa,0.116 Mpa,1.02 Mpa,0 Mpa,0.125 Mpa,0.122 Mpa,0.125 Mpa,0.122 Mpa,0 Mpa,0.114 Mpa,0.117 Mpa,0.113 Mpa,0.116 Mpa,,0.117 Mpa,1.02 Mpa,0.116 Mpa,0.116 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.118 Mpa,0.119 Mpa,0 Mpa,0.126 Mpa,0.124 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,0.118 Mpa,0.120 Mpa,0.122 Mpa,0.118 Mpa,0 Mpa,0.126 Mpa,0.128 Mpa,0.128 Mpa,0.126 Mpa,0 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.122 Mpa,0 Mpa,,,,,,1718 RPM
2026-06-12 21:00:00,0.114 Mpa,1.02 Mpa,0.115 Mpa,0.116 Mpa,0 Mpa,0.116 Mpa,1.02 Mpa,0.117 Mpa,1.02 Mpa,0 Mpa,0.119 Mpa,0.116 Mpa,0.119 Mpa,0.116 Mpa,0 Mpa,0.114 Mpa,0.115 Mpa,0.113 Mpa,0.114 Mpa,,0.127 Mpa,1.02 Mpa,0.127 Mpa,0.127 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.117 Mpa,0.119 Mpa,0 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.126 Mpa,0 Mpa,0.118 Mpa,0.119 Mpa,0.121 Mpa,0.118 Mpa,0.0106 Mpa,0.123 Mpa,0.125 Mpa,0.125 Mpa,0.123 Mpa,0 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.123 Mpa,0 Mpa,,,,,,1691 RPM
2026-06-12 23:00:00,0.121 Mpa,1.02 Mpa,0.123 Mpa,0.124 Mpa,0 Mpa,0.115 Mpa,1.02 Mpa,0.116 Mpa,1.02 Mpa,0 Mpa,0.120 Mpa,0.117 Mpa,0.119 Mpa,0.116 Mpa,0 Mpa,0.123 Mpa,0.125 Mpa,0.122 Mpa,0.123 Mpa,,0.126 Mpa,1.01 Mpa,0.125 Mpa,0.125 Mpa,0.0101 Mpa,0.112 Mpa,0.112 Mpa,0.111 Mpa,0.112 Mpa,0.00710 Mpa,0.123 Mpa,0.122 Mpa,0.122 Mpa,0.122 Mpa,0 Mpa,0.118 Mpa,0.120 Mpa,0.121 Mpa,0.118 Mpa,0 Mpa,0.125 Mpa,0.128 Mpa,0.127 Mpa,0.125 Mpa,0 Mpa,0.122 Mpa,0.122 Mpa,0.124 Mpa,0.124 Mpa,0.00662 Mpa,,,,,,1739 RPM
2026-06-13 01:00:00,0.112 Mpa,1.02 Mpa,0.114 Mpa,0.115 Mpa,0 Mpa,0.115 Mpa,1.01 Mpa,0.116 Mpa,1.01 Mpa,0.00563 Mpa,0.119 Mpa,0.116 Mpa,0.119 Mpa,0.116 Mpa,0 Mpa,0.120 Mpa,0.122 Mpa,0.119 Mpa,0.120 Mpa,,0.117 Mpa,1.01 Mpa,0.116 Mpa,0.117 Mpa,0.00916 Mpa,0.114 Mpa,0.114 Mpa,0.113 Mpa,0.114 Mpa,0 Mpa,0.121 Mpa,0.120 Mpa,0.121 Mpa,0.121 Mpa,0 Mpa,0.122 Mpa,0.123 Mpa,0.126 Mpa,0.121 Mpa,0 Mpa,0.135 Mpa,0.138 Mpa,0.137 Mpa,0.134 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.120 Mpa,0.121 Mpa,0.0123 Mpa,,,,,,1685 RPM
2026-06-13 03:00:00,0.108 Mpa,1.02 Mpa,0.109 Mpa,0.110 Mpa,0 Mpa,0.112 Mpa,1.01 Mpa,0.113 Mpa,1.01 Mpa,0.0162 Mpa,0.124 Mpa,0.121 Mpa,0.124 Mpa,0.121 Mpa,0 Mpa,0.116 Mpa,0.118 Mpa,0.116 Mpa,0.117 Mpa,,0.125 Mpa,1.02 Mpa,0.124 Mpa,0.123 Mpa,0 Mpa,0.116 Mpa,0.116 Mpa,0.114 Mpa,0.117 Mpa,0 Mpa,0.117 Mpa,0.116 Mpa,0.117 Mpa,0.117 Mpa,0 Mpa,0.120 Mpa,0.122 Mpa,0.123 Mpa,0.119 Mpa,0 Mpa,0.129 Mpa,0.133 Mpa,0.130 Mpa,0.130 Mpa,0 Mpa,0.123 Mpa,0.122 Mpa,0.124 Mpa,0.124 Mpa,0 Mpa,,,,,,1570 RPM
2026-06-13 05:00:00,0.117 Mpa,1.02 Mpa,0.118 Mpa,0.119 Mpa,0 Mpa,0.118 Mpa,1.02 Mpa,0.119 Mpa,1.02 Mpa,0 Mpa,0.118 Mpa,0.115 Mpa,0.118 Mpa,0.115 Mpa,0 Mpa,0.121 Mpa,0.122 Mpa,0.120 Mpa,0.121 Mpa,,0.127 Mpa,1.02 Mpa,0.127 Mpa,0.126 Mpa,0 Mpa,0.110 Mpa,0.111 Mpa,0.108 Mpa,0.111 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.120 Mpa,0.119 Mpa,0.00919 Mpa,0.117 Mpa,0.118 Mpa,0.120 Mpa,0.116 Mpa,0 Mpa,0.127 Mpa,0.130 Mpa,0.128 Mpa,0.128 Mpa,0 Mpa,0.122 Mpa,0.121 Mpa,0.124 Mpa,0.123 Mpa,0.00624 Mpa,,,,,,1601 RPM
2026-06-13 07:00:00,0.125 Mpa,1.02 Mpa,0.127 Mpa,0.129 Mpa,0 Mpa,0.113 Mpa,1.02 Mpa,0.114 Mpa,1.02 Mpa,0 Mpa,0.107 Mpa,0.105 Mpa,0.107 Mpa,0.105 Mpa,0 Mpa,0.122 Mpa,0.124 Mpa,0.121 Mpa,0.123 Mpa,,0.128 Mpa,1.01 Mpa,0.128 Mpa,0.127 Mpa,0.00989 Mpa,0.116 Mpa,0.116 Mpa,0.115 Mpa,0.117 Mpa,0 Mpa,0.114 Mpa,0.115 Mpa,0.114 Mpa,0.115 Mpa,0 Mpa,0.121 Mpa,0.121 Mpa,0.124 Mpa,0.119 Mpa,0 Mpa,0.124 Mpa,0.126 Mpa,0.126 Mpa,0.125 Mpa,0 Mpa,0.122 Mpa,0.120 Mpa,0.123 Mpa,0.123 Mpa,0 Mpa,,,,,,1630 RPM
2026-06-13 09:00:00,0.129 Mpa,1.02 Mpa,0.131 Mpa,0.134 Mpa,0 Mpa,0.117 Mpa,1.02 Mpa,0.117 Mpa,1.02 Mpa,0 Mpa,0.116 Mpa,0.113 Mpa,0.116 Mpa,0.113 Mpa,0 Mpa,0.119 Mpa,0.121 Mpa,0.118 Mpa,0.119 Mpa,,0.122 Mpa,0.899 Mpa,0.118 Mpa,0.119 Mpa,0.0578 Mpa,0.116 Mpa,0.116 Mpa,0.115 Mpa,0.117 Mpa,0 Mpa,0.110 Mpa,0.110 Mpa,0.110 Mpa,0.110 Mpa,0 Mpa,0.121 Mpa,0.122 Mpa,0.124 Mpa,0.120 Mpa,0 Mpa,0.124 Mpa,0.127 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,0.122 Mpa,0.122 Mpa,0.124 Mpa,0.125 Mpa,0 Mpa,,,,,,1556 RPM
2026-06-13 11:00:00,0.127 Mpa,1.02 Mpa,0.128 Mpa,0.130 Mpa,0 Mpa,0.111 Mpa,1.02 Mpa,0.112 Mpa,1.02 Mpa,0 Mpa,0.122 Mpa,0.119 Mpa,0.122 Mpa,0.119 Mpa,0 Mpa,0.120 Mpa,0.123 Mpa,0.118 Mpa,0.121 Mpa,,0.121 Mpa,1.01 Mpa,0.119 Mpa,0.121 Mpa,0.0249 Mpa,0.118 Mpa,0.118 Mpa,0.116 Mpa,0.119 Mpa,0 Mpa,0.114 Mpa,0.114 Mpa,0.114 Mpa,0.114 Mpa,0 Mpa,0.117 Mpa,0.118 Mpa,0.120 Mpa,0.117 Mpa,0 Mpa,0.124 Mpa,0.126 Mpa,0.125 Mpa,0.124 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,,,,,,1710 RPM
2026-06-13 13:00:00,0.126 Mpa,1.02 Mpa,0.128 Mpa,0.129 Mpa,0 Mpa,0.112 Mpa,1.01 Mpa,0.112 Mpa,1.01 Mpa,0.0198 Mpa,0.118 Mpa,0.115 Mpa,0.118 Mpa,0.115 Mpa,0 Mpa,0.114 Mpa,0.116 Mpa,0.113 Mpa,0.115 Mpa,,0.123 Mpa,1.01 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,0.122 Mpa,0.121 Mpa,0.119 Mpa,0.121 Mpa,0.00791 Mpa,0.127 Mpa,0.127 Mpa,0.127 Mpa,0.127 Mpa,0.00823 Mpa,0.121 Mpa,0.122 Mpa,0.124 Mpa,0.120 Mpa,0.00751 Mpa,0.129 Mpa,0.131 Mpa,0.130 Mpa,0.128 Mpa,0.00446 Mpa,0.122 Mpa,0.120 Mpa,0.123 Mpa,0.125 Mpa,0 Mpa,,,,,,1705 RPM
2026-06-13 15:00:00,0.121 Mpa,1.02 Mpa,0.122 Mpa,0.122 Mpa,0 Mpa,0.116 Mpa,1.02 Mpa,0.116 Mpa,1.02 Mpa,0 Mpa,0.120 Mpa,0.116 Mpa,0.120 Mpa,0.117 Mpa,0 Mpa,,,,,,0.123 Mpa,1.02 Mpa,0.123 Mpa,0.122 Mpa,0 Mpa,0.119 Mpa,0.119 Mpa,0.118 Mpa,0.120 Mpa,0 Mpa,0.123 Mpa,0.121 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,0.120 Mpa,0.121 Mpa,0.123 Mpa,0.119 Mpa,0 Mpa,0.126 Mpa,0.130 Mpa,0.128 Mpa,0.127 Mpa,0 Mpa,0.119 Mpa,0.118 Mpa,0.121 Mpa,0.124 Mpa,0 Mpa,,,,,,1735 RPM
