"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-06-16 10:00:00,4.51%,9.48%,,,,2.49%,4.55%,2.13%,
2026-06-16 13:00:00,3.98%,16.1%,8.38%,,0.629%,9.72%,4.19%,5.16%,
2026-06-16 16:00:00,4.89%,9.51%,2.49%,,,1.91%,15.4%,7.24%,
2026-06-16 19:00:00,12.1%,15.8%,2.76%,,,1.56%,24.1%,8.18%,
2026-06-16 22:00:00,14.2%,18.9%,2.85%,,8.88%,1.58%,48.2%,9.29%,
2026-06-17 01:00:00,27.5%,12.8%,15.4%,,10.3%,1.50%,12.4%,3.34%,
2026-06-17 04:00:00,,14.0%,1.43%,,4.40%,3.57%,12.0%,5.76%,
2026-06-17 07:00:00,1.49%,15.8%,26.7%,,2.62%,0.835%,13.5%,6.55%,
2026-06-17 10:00:00,0.304%,19.0%,6.80%,,6.90%,3.82%,10.1%,13.5%,
2026-06-17 13:00:00,,19.8%,36.2%,,40.6%,4.65%,7.22%,4.67%,
2026-06-17 16:00:00,,18.7%,3.19%,9.88%,5.76%,2.68%,19.6%,10.5%,
2026-06-17 19:00:00,,14.5%,6.58%,13.3%,5.78%,1.11%,11.5%,17.4%,
2026-06-17 22:00:00,,5.28%,2.42%,21.8%,6.41%,2.29%,8.44%,10.5%,
2026-06-18 01:00:00,,7.60%,2.03%,5.31%,3.04%,1.61%,2.84%,12.1%,
2026-06-18 04:00:00,,13.6%,3.14%,2.30%,7.68%,1.22%,2.91%,11.0%,
2026-06-18 07:00:00,,16.0%,2.75%,1.12%,8.92%,2.33%,26.7%,3.09%,
2026-06-18 10:00:00,,21.7%,3.69%,6.40%,6.56%,4.74%,1.96%,10.9%,
2026-06-18 13:00:00,,26.0%,7.66%,23.0%,6.90%,2.17%,2.71%,7.72%,
2026-06-18 16:00:00,37.1%,9.22%,5.54%,13.4%,18.5%,2.72%,2.26%,6.15%,
2026-06-18 19:00:00,16.4%,5.82%,3.99%,18.5%,13.6%,5.41%,2.44%,9.65%,
2026-06-18 22:00:00,17.0%,36.3%,3.39%,4.32%,22.5%,5.24%,3.25%,4.31%,
2026-06-19 01:00:00,19.0%,13.0%,6.21%,6.16%,6.32%,3.35%,2.26%,8.00%,
2026-06-19 04:00:00,20.4%,15.3%,2.48%,52.1%,2.55%,2.77%,5.95%,12.9%,
2026-06-19 07:00:00,20.8%,6.46%,5.06%,7.31%,13.6%,2.87%,6.27%,5.72%,
