"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-06-16 10:00:00,6.84%,0.232%,13.7%,,3.39%,79.1%,0.478%,1.60%,8.45%,
2026-06-16 13:00:00,6.45%,1.62%,11.6%,6.38%,5.33%,33.5%,2.45%,2.70%,2.22%,
2026-06-16 16:00:00,5.63%,2.48%,3.73%,8.89%,5.39%,10.5%,1.90%,3.73%,2.73%,
2026-06-16 19:00:00,5.01%,0.790%,9.09%,6.79%,11.9%,10.5%,2.65%,2.27%,1.98%,
2026-06-16 22:00:00,2.40%,11.7%,5.17%,8.15%,9.18%,6.82%,2.24%,3.22%,9.29%,
2026-06-17 01:00:00,5.20%,1.75%,7.68%,5.39%,14.4%,19.3%,1.10%,3.23%,4.28%,
2026-06-17 04:00:00,3.28%,17.7%,3.52%,11.6%,7.82%,8.29%,5.69%,2.69%,5.77%,
2026-06-17 07:00:00,3.60%,1.09%,4.60%,9.26%,2.50%,15.3%,10.7%,2.57%,4.44%,
2026-06-17 10:00:00,11.0%,7.08%,4.78%,7.23%,3.97%,24.3%,2.60%,5.47%,9.17%,
2026-06-17 13:00:00,27.8%,0.508%,6.76%,6.87%,3.89%,16.5%,8.50%,3.52%,7.84%,
2026-06-17 16:00:00,6.65%,1.25%,4.86%,7.22%,4.38%,10.3%,2.97%,3.74%,7.22%,
2026-06-17 19:00:00,5.53%,8.75%,3.70%,20.9%,5.92%,12.1%,1.51%,10.9%,9.27%,
2026-06-17 22:00:00,6.98%,3.22%,2.13%,13.2%,12.3%,12.3%,3.68%,7.29%,20.7%,
2026-06-18 01:00:00,11.0%,6.53%,2.04%,6.55%,15.7%,8.06%,1.40%,6.26%,2.80%,
2026-06-18 04:00:00,4.19%,7.75%,2.40%,6.93%,5.84%,6.08%,4.07%,8.52%,3.21%,
2026-06-18 07:00:00,26.0%,4.85%,4.28%,9.06%,6.93%,13.3%,4.19%,12.8%,2.44%,
2026-06-18 10:00:00,4.76%,3.84%,4.64%,8.23%,7.90%,18.1%,25.8%,2.84%,3.70%,
2026-06-18 13:00:00,3.22%,3.24%,9.31%,7.18%,3.24%,14.9%,28.3%,6.08%,4.37%,
2026-06-18 16:00:00,5.21%,1.18%,3.79%,11.5%,5.06%,3.28%,,4.19%,3.04%,
2026-06-18 19:00:00,3.99%,1.09%,3.21%,7.58%,5.95%,29.3%,,3.34%,0.792%,
2026-06-18 22:00:00,6.78%,2.02%,1.75%,9.21%,8.86%,29.1%,1.44%,15.6%,11.6%,
2026-06-19 01:00:00,11.6%,3.34%,6.96%,6.96%,11.7%,21.5%,,8.54%,9.66%,
2026-06-19 04:00:00,4.84%,3.28%,5.00%,7.06%,5.19%,45.7%,,6.03%,4.35%,
2026-06-19 07:00:00,6.80%,2.55%,3.87%,8.49%,7.45%,17.7%,,4.54%,3.42%,
2026-06-19 10:00:00,2.83%,5.42%,8.38%,6.38%,4.03%,3.20%,,3.88%,4.61%,
2026-06-19 13:00:00,22.4%,2.40%,2.54%,9.14%,11.4%,2.88%,,3.92%,3.52%,
2026-06-19 16:00:00,14.4%,7.24%,6.55%,9.05%,4.50%,3.98%,0%,2.49%,0.654%,
