"Time","I45 - %","I49 - %","I50 - %","I52 - %","I53 - %","I54 - %","I55 - %","I56 - %","I57 - %","I58 - %"
2026-06-16 10:00:00,71.9%,99.9%,72.9%,71.6%,71.5%,100%,72.0%,100%,73.7%,
2026-06-16 13:00:00,71.6%,84.2%,71.5%,71.6%,94.8%,100%,71.6%,100%,72.5%,
2026-06-16 16:00:00,71.5%,71.6%,71.5%,71.6%,100%,100%,71.6%,100%,71.6%,
2026-06-16 19:00:00,71.6%,71.6%,71.4%,71.5%,100%,100%,71.3%,100%,71.6%,
2026-06-16 22:00:00,52.4%,71.6%,60.7%,74.6%,99.7%,92.0%,80.8%,100%,79.1%,
2026-06-17 01:00:00,100%,98.8%,100%,100%,78.0%,71.8%,100%,80.6%,100%,
2026-06-17 04:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,70.3%,100%,
2026-06-17 07:00:00,100%,100%,100%,100%,71.5%,71.6%,97.6%,64.1%,100%,
2026-06-17 10:00:00,80.0%,99.9%,100%,99.9%,65.2%,72.6%,72.8%,71.5%,99.8%,
2026-06-17 13:00:00,71.6%,75.0%,79.8%,73.8%,51.2%,100%,71.6%,100%,75.8%,
2026-06-17 16:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.5%,100%,71.6%,
2026-06-17 19:00:00,71.5%,71.6%,71.6%,91.2%,100%,100%,67.8%,100%,71.6%,
2026-06-17 22:00:00,54.9%,71.6%,71.6%,100%,100.0%,100%,92.3%,83.8%,73.0%,
2026-06-18 01:00:00,100%,81.8%,57.1%,100%,78.3%,73.7%,100%,60.4%,100%,
2026-06-18 04:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.6%,100%,
2026-06-18 07:00:00,100%,100%,100%,100.0%,71.6%,71.6%,100%,65.6%,100%,
2026-06-18 10:00:00,99.7%,100%,100%,79.4%,71.6%,77.0%,80.7%,33.1%,99.8%,
2026-06-18 13:00:00,77.2%,95.5%,93.0%,71.6%,97.4%,100%,75.9%,31.1%,80.8%,
2026-06-18 16:00:00,71.6%,72.0%,71.6%,71.6%,100%,100%,,100%,71.6%,
2026-06-18 19:00:00,71.5%,71.6%,71.6%,71.6%,100%,100%,,100%,71.6%,
2026-06-18 22:00:00,74.8%,71.6%,71.5%,51.6%,98.8%,92.0%,100%,100%,73.6%,
2026-06-19 01:00:00,100%,74.6%,97.2%,99.9%,77.7%,72.1%,,98.2%,100%,
2026-06-19 04:00:00,100%,100%,100%,100%,71.6%,71.6%,,63.7%,100%,
2026-06-19 07:00:00,99.9%,100%,100%,100%,71.6%,71.6%,,39.2%,100%,
2026-06-19 10:00:00,81.6%,100%,100%,98.6%,70.6%,71.5%,,43.2%,99.9%,
2026-06-19 13:00:00,71.6%,84.2%,76.0%,77.1%,100%,93.4%,,36.1%,78.4%,
2026-06-19 16:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,100%,100%,72.5%,
2026-06-19 19:00:00,71.3%,71.6%,71.5%,71.5%,100%,100%,100%,100%,,
2026-06-19 22:00:00,83.0%,71.6%,71.6%,70.6%,99.8%,97.2%,100%,100%,100%,
2026-06-20 01:00:00,100%,88.4%,100%,77.5%,74.6%,72.9%,100%,100%,100%,
2026-06-20 04:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,94.8%,100%,
2026-06-20 07:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,50.6%,100%,
2026-06-20 10:00:00,83.9%,100.0%,100%,100%,71.6%,74.1%,100%,38.4%,100%,
2026-06-20 13:00:00,71.6%,87.9%,83.1%,97.2%,80.3%,100%,100%,37.8%,86.0%,
2026-06-20 16:00:00,71.5%,71.6%,71.6%,74.9%,100%,100%,91.5%,100%,71.7%,
2026-06-20 19:00:00,68.5%,81.9%,71.6%,71.6%,100%,100%,85.0%,100%,71.6%,
2026-06-20 22:00:00,50.4%,100%,71.6%,78.7%,100%,96.4%,100%,100%,71.5%,
2026-06-21 01:00:00,100%,100%,88.4%,100%,96.2%,72.4%,100%,100%,93.9%,
2026-06-21 04:00:00,100%,100%,100%,100%,72.4%,71.6%,100%,79.5%,100%,
2026-06-21 07:00:00,100%,91.3%,100%,100%,71.6%,71.5%,100.0%,43.4%,100%,
2026-06-21 10:00:00,100%,71.7%,100%,99.6%,71.6%,68.6%,90.6%,38.9%,100%,
2026-06-21 13:00:00,100%,71.6%,,,71.6%,100%,,100%,98.4%,
2026-06-21 16:00:00,85.0%,71.6%,,73.5%,98.4%,100%,72.3%,100%,76.8%,
2026-06-21 19:00:00,71.7%,62.3%,,71.6%,100%,100%,72.4%,100%,71.6%,
2026-06-21 22:00:00,71.2%,30.9%,100%,71.6%,100%,100%,100%,100%,73.7%,
2026-06-22 01:00:00,97.7%,37.4%,100%,96.1%,100%,100%,100%,100.0%,100%,
2026-06-22 04:00:00,100%,100%,100%,100%,100%,77.6%,100%,76.7%,100%,
2026-06-22 07:00:00,100%,100%,100%,100%,92.3%,71.6%,99.6%,45.2%,100%,
2026-06-22 10:00:00,100%,100%,100%,98.4%,85.5%,73.6%,75.4%,35.9%,100%,
2026-06-22 13:00:00,100%,99.5%,94.1%,77.7%,100%,100%,71.6%,60.1%,83.6%,
2026-06-22 16:00:00,86.2%,72.3%,71.6%,71.6%,100%,100%,71.4%,100%,71.6%,
2026-06-22 19:00:00,71.6%,71.6%,83.9%,85.1%,100%,100%,51.9%,100%,71.6%,
2026-06-22 22:00:00,73.2%,71.6%,100%,100%,99.9%,100%,81.4%,100%,71.1%,
