"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-16 10:00:00,0.170 Mpa,0.159 Mpa,,,,0.364 Mpa,0.200 Mpa,0.132 Mpa,
2026-06-16 13:00:00,0.159 Mpa,0.434 Mpa,0.177 Mpa,,0.200 Mpa,0.341 Mpa,0.294 Mpa,0.295 Mpa,
2026-06-16 16:00:00,0.0986 Mpa,0.189 Mpa,0.164 Mpa,,,0.285 Mpa,0.187 Mpa,0.292 Mpa,
2026-06-16 19:00:00,0.0762 Mpa,0.363 Mpa,0.143 Mpa,,,0.291 Mpa,0.239 Mpa,0.298 Mpa,
2026-06-16 22:00:00,0.0832 Mpa,0.217 Mpa,0.129 Mpa,,0.100 Mpa,0.293 Mpa,0.112 Mpa,0.245 Mpa,
2026-06-17 01:00:00,0.179 Mpa,0.242 Mpa,0.141 Mpa,,0.0845 Mpa,0.278 Mpa,0.297 Mpa,0.178 Mpa,
2026-06-17 04:00:00,,0.385 Mpa,0.119 Mpa,,0.214 Mpa,0.318 Mpa,0.213 Mpa,0.225 Mpa,
2026-06-17 07:00:00,0.0953 Mpa,0.350 Mpa,0.241 Mpa,,0.145 Mpa,0.294 Mpa,0.546 Mpa,0.284 Mpa,
2026-06-17 10:00:00,0.0129 Mpa,0.213 Mpa,0.228 Mpa,,0.171 Mpa,0.356 Mpa,0.276 Mpa,0.222 Mpa,
2026-06-17 13:00:00,,0.217 Mpa,0.0750 Mpa,,0.478 Mpa,0.421 Mpa,0.533 Mpa,0.258 Mpa,
2026-06-17 16:00:00,,0.189 Mpa,0.129 Mpa,0.176 Mpa,0.164 Mpa,0.258 Mpa,0.298 Mpa,0.286 Mpa,
2026-06-17 19:00:00,,0.174 Mpa,0.202 Mpa,0.102 Mpa,0.122 Mpa,0.292 Mpa,0.153 Mpa,0.208 Mpa,
2026-06-17 22:00:00,,0.183 Mpa,0.176 Mpa,0.140 Mpa,0.180 Mpa,0.316 Mpa,0.168 Mpa,0.245 Mpa,
2026-06-18 01:00:00,,1.58 Mpa,0.135 Mpa,0.202 Mpa,0.0918 Mpa,0.293 Mpa,0.139 Mpa,0.256 Mpa,
2026-06-18 04:00:00,,0.0653 Mpa,0.114 Mpa,0.205 Mpa,0.0972 Mpa,0.252 Mpa,0.140 Mpa,0.252 Mpa,
