"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-06-16 10:00:00,0.198 Mpa,0.0787 Mpa,0.143 Mpa,,0.0679 Mpa,0.0322 Mpa,0.0332 Mpa,0 Mpa,0.158 Mpa,
2026-06-16 13:00:00,0.0641 Mpa,0.117 Mpa,0.176 Mpa,0 Mpa,0.0909 Mpa,0.210 Mpa,0.107 Mpa,0.0872 Mpa,0.0759 Mpa,
2026-06-16 16:00:00,0.124 Mpa,0.0732 Mpa,0.0991 Mpa,0.0650 Mpa,0.0854 Mpa,0.225 Mpa,0.0924 Mpa,0.0957 Mpa,0.0976 Mpa,
2026-06-16 19:00:00,0.0718 Mpa,0.0505 Mpa,0.127 Mpa,0.0837 Mpa,0.169 Mpa,0.336 Mpa,0.107 Mpa,0.0796 Mpa,0.0611 Mpa,
2026-06-16 22:00:00,0.0971 Mpa,0.0755 Mpa,0.0954 Mpa,0.0618 Mpa,0.181 Mpa,0.194 Mpa,0.138 Mpa,0.0780 Mpa,0.385 Mpa,
2026-06-17 01:00:00,0.0239 Mpa,0.0477 Mpa,0.0225 Mpa,0.0939 Mpa,0.262 Mpa,0.287 Mpa,0.135 Mpa,0.0680 Mpa,0.0857 Mpa,
2026-06-17 04:00:00,0.0489 Mpa,0.106 Mpa,0.0970 Mpa,0.103 Mpa,0.176 Mpa,0.145 Mpa,0.200 Mpa,0.153 Mpa,0.149 Mpa,
2026-06-17 07:00:00,0.0535 Mpa,0.0383 Mpa,0.0591 Mpa,0.135 Mpa,0.0600 Mpa,0.155 Mpa,0.167 Mpa,0.122 Mpa,0.112 Mpa,
2026-06-17 10:00:00,0.0656 Mpa,0.0733 Mpa,0.0987 Mpa,0.0687 Mpa,0.0633 Mpa,0.404 Mpa,0.124 Mpa,0.165 Mpa,0.184 Mpa,
2026-06-17 13:00:00,0.100 Mpa,0.0425 Mpa,0.103 Mpa,0.0466 Mpa,0.0573 Mpa,0.316 Mpa,0.0868 Mpa,0.0702 Mpa,0.241 Mpa,
2026-06-17 16:00:00,0.0699 Mpa,0.0982 Mpa,0.0757 Mpa,0.0795 Mpa,0.0806 Mpa,0.121 Mpa,0.0966 Mpa,0.0871 Mpa,0.239 Mpa,
2026-06-17 19:00:00,0.0678 Mpa,0.127 Mpa,0.0395 Mpa,0.155 Mpa,0.118 Mpa,0.202 Mpa,0.0835 Mpa,0.149 Mpa,0.234 Mpa,
2026-06-17 22:00:00,0.147 Mpa,0.147 Mpa,0.0722 Mpa,0.0739 Mpa,0.113 Mpa,0.214 Mpa,0.101 Mpa,0.0971 Mpa,0.133 Mpa,
2026-06-18 01:00:00,0.211 Mpa,0.126 Mpa,0.172 Mpa,0.0533 Mpa,0.112 Mpa,0.154 Mpa,0.107 Mpa,0.302 Mpa,0.0783 Mpa,
2026-06-18 04:00:00,0.159 Mpa,0.0882 Mpa,0.0840 Mpa,0.0502 Mpa,0.0855 Mpa,0.0813 Mpa,0.133 Mpa,0.155 Mpa,0.131 Mpa,
2026-06-18 07:00:00,0.130 Mpa,0.0604 Mpa,0.0922 Mpa,0.118 Mpa,0.168 Mpa,0.243 Mpa,0.172 Mpa,0.111 Mpa,0.0928 Mpa,
2026-06-18 10:00:00,0.0783 Mpa,0.0985 Mpa,0.0429 Mpa,0.101 Mpa,0.127 Mpa,0.283 Mpa,0.0832 Mpa,0.0417 Mpa,0.0417 Mpa,
2026-06-18 13:00:00,0.0822 Mpa,0.134 Mpa,0.128 Mpa,0.0413 Mpa,0.137 Mpa,0.0796 Mpa,0.267 Mpa,0.115 Mpa,0.103 Mpa,
2026-06-18 16:00:00,0.135 Mpa,0.0508 Mpa,0.0719 Mpa,0.150 Mpa,0.0963 Mpa,0.0948 Mpa,,0.0942 Mpa,0.101 Mpa,
2026-06-18 19:00:00,0.0652 Mpa,0.0382 Mpa,0.128 Mpa,0.0881 Mpa,0.101 Mpa,0.314 Mpa,,0.104 Mpa,0.0398 Mpa,
2026-06-18 22:00:00,0.157 Mpa,0.0604 Mpa,0.0637 Mpa,0.0769 Mpa,0.176 Mpa,0.261 Mpa,0.115 Mpa,0.185 Mpa,0.144 Mpa,
2026-06-19 01:00:00,0.154 Mpa,0.0870 Mpa,0.107 Mpa,0.0324 Mpa,0.109 Mpa,0.128 Mpa,,0.184 Mpa,0.173 Mpa,
2026-06-19 04:00:00,0.0940 Mpa,0.0508 Mpa,0.0722 Mpa,0.0700 Mpa,0.0928 Mpa,0.0577 Mpa,,0.165 Mpa,0.146 Mpa,
2026-06-19 07:00:00,0.118 Mpa,0.0645 Mpa,0.101 Mpa,0.118 Mpa,0.122 Mpa,0.0842 Mpa,,0.109 Mpa,0.0730 Mpa,
2026-06-19 10:00:00,0.0896 Mpa,0.130 Mpa,0.0953 Mpa,0.0620 Mpa,0.108 Mpa,0.0842 Mpa,,0.114 Mpa,0.110 Mpa,
2026-06-19 13:00:00,0.0875 Mpa,0.115 Mpa,0.0500 Mpa,0.110 Mpa,0.0718 Mpa,0.0690 Mpa,,0.180 Mpa,0.0986 Mpa,
2026-06-19 16:00:00,0.128 Mpa,0.184 Mpa,0.157 Mpa,0.0828 Mpa,0.0949 Mpa,0.130 Mpa,0 Mpa,0.0752 Mpa,0.0643 Mpa,
2026-06-19 19:00:00,0.152 Mpa,0.0626 Mpa,0.0433 Mpa,0.0795 Mpa,0.123 Mpa,0.0896 Mpa,0.0000309 Mpa,0.0930 Mpa,,
2026-06-19 22:00:00,0.0667 Mpa,0.0944 Mpa,0.0290 Mpa,0.0666 Mpa,0.0781 Mpa,0.210 Mpa,0.150 Mpa,0.150 Mpa,0.00347 Mpa,
2026-06-20 01:00:00,0.182 Mpa,0.118 Mpa,0.00238 Mpa,0.0363 Mpa,0.0841 Mpa,0.111 Mpa,0.132 Mpa,0.0616 Mpa,0.0728 Mpa,
2026-06-20 04:00:00,0.235 Mpa,0.161 Mpa,0.0790 Mpa,0.0485 Mpa,0.0952 Mpa,0.182 Mpa,0.237 Mpa,0.0700 Mpa,0.184 Mpa,
2026-06-20 07:00:00,0.156 Mpa,0.174 Mpa,0.135 Mpa,0.0233 Mpa,0.157 Mpa,0.102 Mpa,0.273 Mpa,0.126 Mpa,0.127 Mpa,
2026-06-20 10:00:00,0.0966 Mpa,0.153 Mpa,0.252 Mpa,0.415 Mpa,0.0956 Mpa,0.116 Mpa,0.261 Mpa,0.117 Mpa,0.0498 Mpa,
2026-06-20 13:00:00,0.0953 Mpa,0.162 Mpa,0.146 Mpa,0.0619 Mpa,0.159 Mpa,0.0503 Mpa,0.179 Mpa,0.167 Mpa,0.0954 Mpa,
2026-06-20 16:00:00,0.0899 Mpa,0.0597 Mpa,0.179 Mpa,0.160 Mpa,0.185 Mpa,0.0912 Mpa,0.217 Mpa,0.201 Mpa,0.0956 Mpa,
2026-06-20 19:00:00,0.112 Mpa,0.0987 Mpa,0.0613 Mpa,0.0291 Mpa,0.0930 Mpa,0.0912 Mpa,0.340 Mpa,0.202 Mpa,0.0719 Mpa,
2026-06-20 22:00:00,0.139 Mpa,0.173 Mpa,0.0333 Mpa,0.0900 Mpa,0.0831 Mpa,0.0845 Mpa,0.184 Mpa,0.110 Mpa,0.124 Mpa,
2026-06-21 01:00:00,0.00455 Mpa,0.0945 Mpa,0.0872 Mpa,0.0262 Mpa,0.0857 Mpa,0.0909 Mpa,0.183 Mpa,0.163 Mpa,0.104 Mpa,
2026-06-21 04:00:00,0.0963 Mpa,0.229 Mpa,0.0581 Mpa,0.0663 Mpa,0.101 Mpa,0.131 Mpa,0.137 Mpa,0.210 Mpa,0.0825 Mpa,
2026-06-21 07:00:00,0.126 Mpa,0.211 Mpa,0.182 Mpa,0.0561 Mpa,0.109 Mpa,0.108 Mpa,0.242 Mpa,0.124 Mpa,0.0555 Mpa,
2026-06-21 10:00:00,0.124 Mpa,0.150 Mpa,0.0670 Mpa,0.143 Mpa,0.0436 Mpa,0.222 Mpa,0.215 Mpa,0.0693 Mpa,0.0909 Mpa,
2026-06-21 13:00:00,0.155 Mpa,0.0878 Mpa,,,0 Mpa,0.564 Mpa,,0.0714 Mpa,0.0762 Mpa,
2026-06-21 16:00:00,0.246 Mpa,0.163 Mpa,,0.0612 Mpa,0.0458 Mpa,0.0948 Mpa,0.229 Mpa,0.0948 Mpa,0.179 Mpa,
2026-06-21 19:00:00,0.129 Mpa,0.0751 Mpa,,0.0503 Mpa,0.0835 Mpa,0.0697 Mpa,0.504 Mpa,0.0901 Mpa,0.0641 Mpa,
2026-06-21 22:00:00,0.158 Mpa,0.102 Mpa,0 Mpa,0.0500 Mpa,0.155 Mpa,0.0839 Mpa,0.289 Mpa,0.124 Mpa,0.108 Mpa,
2026-06-22 01:00:00,0.0732 Mpa,0.127 Mpa,0.139 Mpa,0.0575 Mpa,0.0104 Mpa,0.111 Mpa,0.123 Mpa,0.0343 Mpa,0.0758 Mpa,
2026-06-22 04:00:00,0.156 Mpa,0.109 Mpa,0.194 Mpa,0.0952 Mpa,0.122 Mpa,0.0681 Mpa,0.160 Mpa,0.174 Mpa,0.101 Mpa,
2026-06-22 07:00:00,0.103 Mpa,0.238 Mpa,0.0722 Mpa,0.0872 Mpa,0.336 Mpa,0.109 Mpa,0.111 Mpa,0.170 Mpa,0.0594 Mpa,
2026-06-22 10:00:00,1.11 Mpa,0.125 Mpa,0.161 Mpa,0.169 Mpa,0.150 Mpa,0.105 Mpa,0.135 Mpa,0.198 Mpa,0.0994 Mpa,
2026-06-22 13:00:00,0.348 Mpa,0.148 Mpa,0.0549 Mpa,0.0690 Mpa,0.0872 Mpa,0.0961 Mpa,0.0663 Mpa,0.260 Mpa,0.158 Mpa,
2026-06-22 16:00:00,0.178 Mpa,0.159 Mpa,0.0900 Mpa,0.0616 Mpa,0.0791 Mpa,0.129 Mpa,0.128 Mpa,0.205 Mpa,0.122 Mpa,
2026-06-22 19:00:00,0.294 Mpa,0.0918 Mpa,0.212 Mpa,0.104 Mpa,0.0968 Mpa,0.0443 Mpa,0.0546 Mpa,0.136 Mpa,0.0556 Mpa,
2026-06-22 22:00:00,0.306 Mpa,0.159 Mpa,0.0939 Mpa,0.0752 Mpa,0.205 Mpa,0 Mpa,0.154 Mpa,0.0882 Mpa,0.114 Mpa,
2026-06-23 01:00:00,0.00421 Mpa,0 Mpa,0.0533 Mpa,0.0974 Mpa,0.0944 Mpa,0.0917 Mpa,0.141 Mpa,0.149 Mpa,0.120 Mpa,
2026-06-23 04:00:00,0.140 Mpa,0.432 Mpa,0.0368 Mpa,0.0701 Mpa,0.0681 Mpa,0.115 Mpa,0.129 Mpa,0.107 Mpa,0.0708 Mpa,
2026-06-23 07:00:00,0.201 Mpa,0.108 Mpa,0.0930 Mpa,0.0762 Mpa,0.0623 Mpa,0.0668 Mpa,0.0910 Mpa,0.119 Mpa,0.150 Mpa,
2026-06-23 10:00:00,0.146 Mpa,0.188 Mpa,0.179 Mpa,0.0789 Mpa,0.0893 Mpa,0.0507 Mpa,0.130 Mpa,0.151 Mpa,0.159 Mpa,
2026-06-23 13:00:00,0.115 Mpa,0.205 Mpa,0.0589 Mpa,0.0595 Mpa,0.0747 Mpa,0.114 Mpa,0.0810 Mpa,0.0801 Mpa,0.124 Mpa,
2026-06-23 16:00:00,0.104 Mpa,0.0660 Mpa,0.117 Mpa,0.0680 Mpa,0.0697 Mpa,0.0954 Mpa,0.0673 Mpa,0.163 Mpa,0.111 Mpa,
