"Time","B_1 - I45","B_2 - I45","B_3 - I45","B_4 - I45","Center - I45","B_1 - I49","B_2 - I49","B_3 - I49","B_4 - I49","Center - I49","B_1 - I50","B_2 - I50","B_3 - I50","B_4 - I50","Center - I50","B_1 - I51","B_2 - I51","B_3 - I51","B_4 - I51","Center - I51","B_1 - I52","B_2 - I52","B_3 - I52","B_4 - I52","Center - I52","B_1 - I53","B_2 - I53","B_3 - I53","B_4 - I53","Center - I53","B_1 - I54","B_2 - I54","B_3 - I54","B_4 - I54","Center - I54","B_1 - I55","B_2 - I55","B_3 - I55","B_4 - I55","Center - I55","B_1 - I56","B_2 - I56","B_3 - I56","B_4 - I56","Center - I56","B_1 - I57","B_2 - I57","B_3 - I57","B_4 - I57","Center - I57","B_1 - I58","B_2 - I58","B_3 - I58","B_4 - I58","Center - I58","RPM "
2026-06-16 10:00:00,0.119 Mpa,1.02 Mpa,0.121 Mpa,0.120 Mpa,0 Mpa,0.118 Mpa,1.02 Mpa,0.118 Mpa,1.02 Mpa,0 Mpa,0.126 Mpa,0.123 Mpa,0.128 Mpa,0.124 Mpa,0 Mpa,,,,,,0.118 Mpa,1.02 Mpa,0.116 Mpa,0.116 Mpa,0 Mpa,0.114 Mpa,0.115 Mpa,0.112 Mpa,0.116 Mpa,0 Mpa,0.111 Mpa,0.110 Mpa,0.110 Mpa,0.111 Mpa,0 Mpa,0.120 Mpa,0.122 Mpa,0.125 Mpa,0.120 Mpa,0 Mpa,0.108 Mpa,0.108 Mpa,0.108 Mpa,0.108 Mpa,2 Mpa,0.126 Mpa,0.123 Mpa,0.127 Mpa,0.125 Mpa,0 Mpa,,,,,,1748 RPM
2026-06-16 13:00:00,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.125 Mpa,0 Mpa,0.117 Mpa,1.02 Mpa,0.118 Mpa,1.02 Mpa,0 Mpa,0.126 Mpa,0.123 Mpa,0.126 Mpa,0.122 Mpa,0 Mpa,0.119 Mpa,0.122 Mpa,0.119 Mpa,0.120 Mpa,,0.113 Mpa,1.00 Mpa,0.112 Mpa,0.112 Mpa,0.00817 Mpa,0.117 Mpa,0.117 Mpa,0.115 Mpa,0.118 Mpa,0.00598 Mpa,0.123 Mpa,0.123 Mpa,0.123 Mpa,0.123 Mpa,0.00864 Mpa,0.116 Mpa,0.117 Mpa,0.120 Mpa,0.115 Mpa,0 Mpa,0.130 Mpa,0.134 Mpa,0.132 Mpa,0.131 Mpa,0.00105 Mpa,0.121 Mpa,0.119 Mpa,0.122 Mpa,0.121 Mpa,0 Mpa,,,,,,1679 RPM
2026-06-16 16:00:00,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.125 Mpa,0 Mpa,0.114 Mpa,1.02 Mpa,0.114 Mpa,1.02 Mpa,0 Mpa,0.121 Mpa,0.118 Mpa,0.121 Mpa,0.118 Mpa,0 Mpa,0.115 Mpa,0.119 Mpa,0.115 Mpa,0.118 Mpa,,0.125 Mpa,1.01 Mpa,0.123 Mpa,0.123 Mpa,0.00788 Mpa,0.117 Mpa,0.117 Mpa,0.115 Mpa,0.118 Mpa,0 Mpa,0.130 Mpa,0.129 Mpa,0.129 Mpa,0.129 Mpa,0 Mpa,0.114 Mpa,0.115 Mpa,0.118 Mpa,0.114 Mpa,0 Mpa,0.123 Mpa,0.125 Mpa,0.124 Mpa,0.122 Mpa,0.00122 Mpa,0.125 Mpa,0.124 Mpa,0.127 Mpa,0.125 Mpa,0.00416 Mpa,,,,,,1689 RPM
2026-06-16 19:00:00,0.125 Mpa,1.02 Mpa,0.127 Mpa,0.127 Mpa,0 Mpa,0.109 Mpa,1.02 Mpa,0.110 Mpa,1.02 Mpa,0 Mpa,0.122 Mpa,0.118 Mpa,0.121 Mpa,0.118 Mpa,0 Mpa,0.116 Mpa,0.121 Mpa,0.116 Mpa,0.119 Mpa,,0.131 Mpa,1.02 Mpa,0.130 Mpa,0.130 Mpa,0 Mpa,0.114 Mpa,0.114 Mpa,0.113 Mpa,0.115 Mpa,0 Mpa,0.129 Mpa,0.128 Mpa,0.128 Mpa,0.128 Mpa,0 Mpa,0.121 Mpa,0.122 Mpa,0.125 Mpa,0.120 Mpa,0 Mpa,0.120 Mpa,0.123 Mpa,0.122 Mpa,0.120 Mpa,0 Mpa,0.122 Mpa,0.120 Mpa,0.124 Mpa,0.122 Mpa,0 Mpa,,,,,,1712 RPM
2026-06-16 22:00:00,0.122 Mpa,1.01 Mpa,0.124 Mpa,0.125 Mpa,0.00295 Mpa,0.113 Mpa,1.02 Mpa,0.114 Mpa,1.02 Mpa,0 Mpa,0.118 Mpa,0.116 Mpa,0.118 Mpa,0.115 Mpa,0.00576 Mpa,0.119 Mpa,0.122 Mpa,0.118 Mpa,0.121 Mpa,,0.126 Mpa,1.01 Mpa,0.125 Mpa,0.124 Mpa,0.00976 Mpa,0.119 Mpa,0.120 Mpa,0.118 Mpa,0.120 Mpa,0 Mpa,0.128 Mpa,0.126 Mpa,0.126 Mpa,0.126 Mpa,0 Mpa,0.119 Mpa,0.121 Mpa,0.123 Mpa,0.119 Mpa,0.00551 Mpa,0.123 Mpa,0.126 Mpa,0.125 Mpa,0.124 Mpa,0 Mpa,0.120 Mpa,0.119 Mpa,0.122 Mpa,0.121 Mpa,0.00930 Mpa,,,,,,1707 RPM
2026-06-17 01:00:00,0.125 Mpa,1.01 Mpa,0.126 Mpa,0.127 Mpa,0.00573 Mpa,0.111 Mpa,1.00 Mpa,0.112 Mpa,1.00 Mpa,0.0161 Mpa,0.120 Mpa,0.117 Mpa,0.121 Mpa,0.118 Mpa,0 Mpa,0.117 Mpa,0.121 Mpa,0.117 Mpa,0.119 Mpa,,0.119 Mpa,1.02 Mpa,0.118 Mpa,0.118 Mpa,0.00112 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.125 Mpa,0 Mpa,0.128 Mpa,0.126 Mpa,0.127 Mpa,0.126 Mpa,0 Mpa,0.119 Mpa,0.120 Mpa,0.122 Mpa,0.119 Mpa,0 Mpa,0.116 Mpa,0.118 Mpa,0.117 Mpa,0.116 Mpa,0 Mpa,0.124 Mpa,0.123 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,,,,,,1679 RPM
2026-06-17 04:00:00,0.127 Mpa,1.02 Mpa,0.128 Mpa,0.129 Mpa,0 Mpa,0.113 Mpa,1.01 Mpa,0.114 Mpa,1.01 Mpa,0.00758 Mpa,0.120 Mpa,0.116 Mpa,0.120 Mpa,0.117 Mpa,0 Mpa,0.114 Mpa,0.116 Mpa,0.113 Mpa,0.115 Mpa,,0.122 Mpa,1.02 Mpa,0.121 Mpa,0.120 Mpa,0 Mpa,0.120 Mpa,0.120 Mpa,0.118 Mpa,0.120 Mpa,0 Mpa,0.125 Mpa,0.124 Mpa,0.125 Mpa,0.125 Mpa,0 Mpa,0.116 Mpa,0.117 Mpa,0.119 Mpa,0.115 Mpa,0 Mpa,0.125 Mpa,0.128 Mpa,0.126 Mpa,0.125 Mpa,0.00112 Mpa,0.122 Mpa,0.121 Mpa,0.124 Mpa,0.123 Mpa,0.00534 Mpa,,,,,,1663 RPM
2026-06-17 07:00:00,0.128 Mpa,1.02 Mpa,0.130 Mpa,0.131 Mpa,0 Mpa,0.117 Mpa,1.02 Mpa,0.117 Mpa,1.02 Mpa,0 Mpa,0.123 Mpa,0.119 Mpa,0.123 Mpa,0.119 Mpa,0 Mpa,0.119 Mpa,0.123 Mpa,0.119 Mpa,0.121 Mpa,,0.127 Mpa,1.02 Mpa,0.126 Mpa,0.125 Mpa,0 Mpa,0.122 Mpa,0.121 Mpa,0.120 Mpa,0.122 Mpa,0 Mpa,0.125 Mpa,0.124 Mpa,0.124 Mpa,0.124 Mpa,0 Mpa,0.121 Mpa,0.122 Mpa,0.125 Mpa,0.120 Mpa,0 Mpa,0.127 Mpa,0.130 Mpa,0.129 Mpa,0.128 Mpa,0 Mpa,0.120 Mpa,0.120 Mpa,0.122 Mpa,0.122 Mpa,0 Mpa,,,,,,1794 RPM
2026-06-17 10:00:00,0.127 Mpa,1.02 Mpa,0.129 Mpa,0.129 Mpa,0 Mpa,0.113 Mpa,1.02 Mpa,0.114 Mpa,1.02 Mpa,0 Mpa,0.123 Mpa,0.118 Mpa,0.123 Mpa,0.119 Mpa,0 Mpa,0.115 Mpa,0.118 Mpa,0.114 Mpa,0.116 Mpa,,0.124 Mpa,1.02 Mpa,0.124 Mpa,0.123 Mpa,0 Mpa,0.119 Mpa,0.119 Mpa,0.118 Mpa,0.120 Mpa,0 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.127 Mpa,0.00750 Mpa,0.121 Mpa,0.122 Mpa,0.125 Mpa,0.120 Mpa,0 Mpa,0.127 Mpa,0.131 Mpa,0.129 Mpa,0.128 Mpa,0 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.123 Mpa,0.00470 Mpa,,,,,,1735 RPM
2026-06-17 13:00:00,0.122 Mpa,1.02 Mpa,0.123 Mpa,0.124 Mpa,0 Mpa,0.114 Mpa,1.02 Mpa,0.115 Mpa,1.02 Mpa,0 Mpa,0.125 Mpa,0.121 Mpa,0.124 Mpa,0.121 Mpa,0 Mpa,0.116 Mpa,0.118 Mpa,0.115 Mpa,0.117 Mpa,,0.119 Mpa,1.02 Mpa,0.119 Mpa,0.118 Mpa,0 Mpa,0.117 Mpa,0.117 Mpa,0.116 Mpa,0.118 Mpa,0.00536 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.126 Mpa,0 Mpa,0.119 Mpa,0.120 Mpa,0.122 Mpa,0.118 Mpa,0 Mpa,0.125 Mpa,0.129 Mpa,0.127 Mpa,0.125 Mpa,0 Mpa,0.123 Mpa,0.122 Mpa,0.125 Mpa,0.124 Mpa,0 Mpa,,,,,,1743 RPM
