"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-16 10:00:00,0.157 Mpa,0.335 Mpa,,,,0.328 Mpa,0.188 Mpa,0.146 Mpa,
2026-06-16 13:00:00,0.119 Mpa,0.533 Mpa,0.359 Mpa,,0.0245 Mpa,0.590 Mpa,0.137 Mpa,0.338 Mpa,
2026-06-16 16:00:00,0.144 Mpa,0.220 Mpa,0.153 Mpa,,,0.300 Mpa,0.304 Mpa,0.406 Mpa,
2026-06-16 19:00:00,0.0719 Mpa,0.384 Mpa,0.176 Mpa,,,0.296 Mpa,0.368 Mpa,0.427 Mpa,
2026-06-16 22:00:00,0.0444 Mpa,0.496 Mpa,0.192 Mpa,,0.318 Mpa,0.300 Mpa,0.382 Mpa,0.487 Mpa,
2026-06-17 01:00:00,0.738 Mpa,0.347 Mpa,0.345 Mpa,,0.379 Mpa,0.289 Mpa,0.316 Mpa,0.203 Mpa,
2026-06-17 04:00:00,,0.428 Mpa,0.122 Mpa,,0.154 Mpa,0.364 Mpa,0.464 Mpa,0.210 Mpa,
2026-06-17 07:00:00,0.0384 Mpa,0.519 Mpa,1.03 Mpa,,0.0929 Mpa,0.266 Mpa,0.514 Mpa,0.302 Mpa,
2026-06-17 10:00:00,0.00752 Mpa,0.511 Mpa,0.310 Mpa,,0.231 Mpa,0.369 Mpa,0.362 Mpa,0.543 Mpa,
2026-06-17 13:00:00,,0.395 Mpa,1.33 Mpa,,1.49 Mpa,0.397 Mpa,0.272 Mpa,0.264 Mpa,
2026-06-17 16:00:00,,0.378 Mpa,0.177 Mpa,0.310 Mpa,0.195 Mpa,0.289 Mpa,0.632 Mpa,0.291 Mpa,
2026-06-17 19:00:00,,0.239 Mpa,0.284 Mpa,0.367 Mpa,0.165 Mpa,0.267 Mpa,0.469 Mpa,0.220 Mpa,
2026-06-17 22:00:00,,0.160 Mpa,0.158 Mpa,0.158 Mpa,0.209 Mpa,0.314 Mpa,0.360 Mpa,0.310 Mpa,
2026-06-18 01:00:00,,0.0674 Mpa,0.136 Mpa,0.271 Mpa,0.0857 Mpa,0.303 Mpa,0.153 Mpa,0.509 Mpa,
2026-06-18 04:00:00,,0.0880 Mpa,0.149 Mpa,0.148 Mpa,0.278 Mpa,0.258 Mpa,0.160 Mpa,0.262 Mpa,
2026-06-18 07:00:00,,0.475 Mpa,0.153 Mpa,0.107 Mpa,0.303 Mpa,0.313 Mpa,0.938 Mpa,0.237 Mpa,
2026-06-18 10:00:00,,0.617 Mpa,0.172 Mpa,0.295 Mpa,0.206 Mpa,0.392 Mpa,0.0979 Mpa,0.476 Mpa,
2026-06-18 13:00:00,,0.670 Mpa,0.342 Mpa,0.864 Mpa,0.102 Mpa,0.310 Mpa,0.0673 Mpa,0.424 Mpa,
2026-06-18 16:00:00,1.39 Mpa,0.190 Mpa,0.260 Mpa,0.553 Mpa,0.659 Mpa,0.310 Mpa,0.101 Mpa,0.355 Mpa,
2026-06-18 19:00:00,0.592 Mpa,0.155 Mpa,0.227 Mpa,0.764 Mpa,0.464 Mpa,0.441 Mpa,0.144 Mpa,0.451 Mpa,
2026-06-18 22:00:00,0.609 Mpa,1.19 Mpa,0.199 Mpa,0.238 Mpa,0.772 Mpa,0.442 Mpa,0.155 Mpa,0.245 Mpa,
2026-06-19 01:00:00,0.693 Mpa,0.433 Mpa,0.285 Mpa,0.294 Mpa,0.222 Mpa,0.357 Mpa,0.115 Mpa,0.309 Mpa,
2026-06-19 04:00:00,0.723 Mpa,0.327 Mpa,0.163 Mpa,1.74 Mpa,0.0779 Mpa,0.343 Mpa,0.257 Mpa,0.500 Mpa,
2026-06-19 07:00:00,0.722 Mpa,0.00572 Mpa,0.263 Mpa,0.222 Mpa,0.410 Mpa,0.352 Mpa,0.275 Mpa,0.316 Mpa,
2026-06-19 10:00:00,0.570 Mpa,0.253 Mpa,0.526 Mpa,0.333 Mpa,0.0238 Mpa,0.331 Mpa,0.413 Mpa,0.319 Mpa,
2026-06-19 13:00:00,0.246 Mpa,0.162 Mpa,0.508 Mpa,0.302 Mpa,0.299 Mpa,0.241 Mpa,0.366 Mpa,0.387 Mpa,
2026-06-19 16:00:00,0.576 Mpa,0.651 Mpa,0.203 Mpa,0.286 Mpa,0.746 Mpa,0.275 Mpa,0.489 Mpa,0.428 Mpa,
2026-06-19 19:00:00,1.38 Mpa,0.238 Mpa,0.227 Mpa,0.136 Mpa,0.794 Mpa,0.262 Mpa,0.477 Mpa,0.362 Mpa,
2026-06-19 22:00:00,0.536 Mpa,0.153 Mpa,0.190 Mpa,0.253 Mpa,1.85 Mpa,0.388 Mpa,0.225 Mpa,0.256 Mpa,
2026-06-20 01:00:00,0.0472 Mpa,0.189 Mpa,0.314 Mpa,0.265 Mpa,,0.523 Mpa,0.160 Mpa,0.296 Mpa,
2026-06-20 04:00:00,0.149 Mpa,0.392 Mpa,0.176 Mpa,0.403 Mpa,,0.307 Mpa,0.256 Mpa,0.373 Mpa,
2026-06-20 07:00:00,0.0781 Mpa,0.172 Mpa,0.271 Mpa,0.548 Mpa,,0.470 Mpa,0.222 Mpa,0.625 Mpa,
2026-06-20 10:00:00,0.126 Mpa,0.724 Mpa,0.219 Mpa,0.357 Mpa,0.0126 Mpa,0.505 Mpa,0.278 Mpa,0.388 Mpa,
2026-06-20 13:00:00,0.135 Mpa,0.612 Mpa,0.176 Mpa,0.436 Mpa,,0.463 Mpa,0.746 Mpa,0.468 Mpa,
2026-06-20 16:00:00,0.0458 Mpa,0.0873 Mpa,0.125 Mpa,0.674 Mpa,,0.409 Mpa,0.188 Mpa,0.241 Mpa,
2026-06-20 19:00:00,0.00264 Mpa,0.702 Mpa,0.106 Mpa,0.518 Mpa,,0.406 Mpa,0.0967 Mpa,0.425 Mpa,
2026-06-20 22:00:00,0 Mpa,0.312 Mpa,0.159 Mpa,0.204 Mpa,,0.301 Mpa,0.357 Mpa,0.257 Mpa,
2026-06-21 01:00:00,0 Mpa,0.599 Mpa,0.190 Mpa,0.242 Mpa,,0.247 Mpa,0.269 Mpa,0.213 Mpa,
2026-06-21 04:00:00,0.0649 Mpa,0.0738 Mpa,0.330 Mpa,1.10 Mpa,,0.462 Mpa,0.194 Mpa,0.653 Mpa,
2026-06-21 07:00:00,0.241 Mpa,3.91 Mpa,0.429 Mpa,0.361 Mpa,,0.408 Mpa,0.191 Mpa,0.349 Mpa,
2026-06-21 10:00:00,0.768 Mpa,6.00 Mpa,0.511 Mpa,0.267 Mpa,,0.398 Mpa,0.264 Mpa,0.386 Mpa,
2026-06-21 13:00:00,0.0793 Mpa,3.40 Mpa,,0.0239 Mpa,,,,0.140 Mpa,
2026-06-21 16:00:00,0.0605 Mpa,5.96 Mpa,0.478 Mpa,0.406 Mpa,,0.700 Mpa,0.0786 Mpa,0.592 Mpa,
2026-06-21 19:00:00,0.0710 Mpa,6.10 Mpa,0.366 Mpa,0.222 Mpa,,0.261 Mpa,0.292 Mpa,1.05 Mpa,
2026-06-21 22:00:00,0.0578 Mpa,6.10 Mpa,0.540 Mpa,0.184 Mpa,0.293 Mpa,0.278 Mpa,0.210 Mpa,1.25 Mpa,
2026-06-22 01:00:00,0.275 Mpa,5.90 Mpa,0.547 Mpa,0.200 Mpa,0.00142 Mpa,0.354 Mpa,0.243 Mpa,0.270 Mpa,
2026-06-22 04:00:00,0.213 Mpa,0.417 Mpa,0.414 Mpa,0.295 Mpa,1.13 Mpa,0.392 Mpa,0.146 Mpa,0.553 Mpa,
2026-06-22 07:00:00,0.117 Mpa,0.183 Mpa,0.255 Mpa,0.272 Mpa,0.208 Mpa,0.608 Mpa,0.172 Mpa,0.448 Mpa,
2026-06-22 10:00:00,0.953 Mpa,0.175 Mpa,0.500 Mpa,0.165 Mpa,0.172 Mpa,0.764 Mpa,0.125 Mpa,0.594 Mpa,
2026-06-22 13:00:00,0.776 Mpa,0.190 Mpa,0.168 Mpa,0.202 Mpa,0.589 Mpa,,0.224 Mpa,0.752 Mpa,
2026-06-22 16:00:00,0.138 Mpa,0.172 Mpa,0.334 Mpa,0.146 Mpa,0.0530 Mpa,,0.146 Mpa,0.370 Mpa,
2026-06-22 19:00:00,0.0565 Mpa,0.491 Mpa,0.368 Mpa,0.199 Mpa,0.0424 Mpa,0.157 Mpa,0.333 Mpa,0.367 Mpa,
2026-06-22 22:00:00,0.0451 Mpa,0.310 Mpa,0.236 Mpa,0.157 Mpa,0.0243 Mpa,,0.195 Mpa,0.256 Mpa,
2026-06-23 01:00:00,0.224 Mpa,1.08 Mpa,0.332 Mpa,0.187 Mpa,0.0444 Mpa,,0.177 Mpa,0.290 Mpa,
2026-06-23 04:00:00,0.0985 Mpa,3.15 Mpa,0.415 Mpa,0.970 Mpa,0.0615 Mpa,,0.459 Mpa,0.412 Mpa,
2026-06-23 07:00:00,0.1000 Mpa,0.122 Mpa,0.298 Mpa,0.431 Mpa,0.0831 Mpa,,0.721 Mpa,0.262 Mpa,
2026-06-23 10:00:00,0.508 Mpa,0.526 Mpa,0.142 Mpa,1.30 Mpa,0.0718 Mpa,0.154 Mpa,0.685 Mpa,0.236 Mpa,
2026-06-23 13:00:00,0.185 Mpa,0.423 Mpa,0.107 Mpa,0.224 Mpa,0.0650 Mpa,,0.213 Mpa,0.298 Mpa,
2026-06-23 16:00:00,0.407 Mpa,,0.272 Mpa,0.184 Mpa,0.241 Mpa,0.135 Mpa,0.232 Mpa,0.452 Mpa,
2026-06-23 19:00:00,0.0762 Mpa,,0.228 Mpa,0.442 Mpa,0.0639 Mpa,,0.0948 Mpa,0.278 Mpa,
2026-06-23 22:00:00,0.0907 Mpa,0.424 Mpa,0.272 Mpa,0.354 Mpa,0.103 Mpa,0.137 Mpa,0.437 Mpa,0.515 Mpa,
2026-06-24 01:00:00,0.285 Mpa,0.431 Mpa,0.253 Mpa,0.436 Mpa,0.243 Mpa,,0.708 Mpa,0.406 Mpa,
2026-06-24 04:00:00,0.152 Mpa,,0.249 Mpa,0.678 Mpa,0.164 Mpa,,,0.398 Mpa,
2026-06-24 07:00:00,0.213 Mpa,,0.424 Mpa,0.540 Mpa,0.245 Mpa,,,0.401 Mpa,
2026-06-24 10:00:00,0.171 Mpa,,0.445 Mpa,0.296 Mpa,1.24 Mpa,0.123 Mpa,0.524 Mpa,0.278 Mpa,
2026-06-24 13:00:00,0.0955 Mpa,,0.130 Mpa,0.159 Mpa,0.0479 Mpa,0.458 Mpa,,0.270 Mpa,
2026-06-24 16:00:00,0.0950 Mpa,0.426 Mpa,0.553 Mpa,0.104 Mpa,0.241 Mpa,0.316 Mpa,,0.699 Mpa,
2026-06-24 19:00:00,0.0996 Mpa,0.439 Mpa,0.277 Mpa,0.590 Mpa,0.281 Mpa,0.334 Mpa,,0.811 Mpa,
2026-06-24 22:00:00,0.0257 Mpa,0.455 Mpa,0.447 Mpa,0.227 Mpa,0.133 Mpa,0.316 Mpa,,0.684 Mpa,
2026-06-25 01:00:00,0.196 Mpa,0.441 Mpa,0.305 Mpa,0.258 Mpa,0.851 Mpa,0.267 Mpa,,0.154 Mpa,
2026-06-25 04:00:00,0.705 Mpa,0.428 Mpa,0.648 Mpa,0.576 Mpa,1.75 Mpa,0.339 Mpa,,0.358 Mpa,
2026-06-25 07:00:00,0.190 Mpa,0.438 Mpa,0.212 Mpa,0.261 Mpa,0.571 Mpa,0.297 Mpa,,0.682 Mpa,
2026-06-25 10:00:00,0.211 Mpa,,0.197 Mpa,0.319 Mpa,0.0651 Mpa,0.249 Mpa,0.0803 Mpa,0.275 Mpa,
2026-06-25 13:00:00,0.0669 Mpa,,0.186 Mpa,0.156 Mpa,0.0845 Mpa,0.410 Mpa,1.36 Mpa,0.284 Mpa,
2026-06-25 16:00:00,0.167 Mpa,0.452 Mpa,0.137 Mpa,0.265 Mpa,0.0583 Mpa,0.320 Mpa,0.385 Mpa,0.291 Mpa,
2026-06-25 19:00:00,0.154 Mpa,,0.427 Mpa,0.189 Mpa,0.142 Mpa,0.314 Mpa,0.400 Mpa,0.250 Mpa,
2026-06-25 22:00:00,0.266 Mpa,,0.0572 Mpa,0.299 Mpa,0.182 Mpa,0.240 Mpa,0.327 Mpa,0.447 Mpa,
2026-06-26 01:00:00,0.140 Mpa,0.466 Mpa,,0.279 Mpa,0.0200 Mpa,0.271 Mpa,0.189 Mpa,0.339 Mpa,
2026-06-26 04:00:00,0.138 Mpa,,0.0499 Mpa,0.155 Mpa,0.0650 Mpa,0.299 Mpa,0.411 Mpa,0.292 Mpa,
2026-06-26 07:00:00,0.186 Mpa,,,0.291 Mpa,0.155 Mpa,0.316 Mpa,0.219 Mpa,0.300 Mpa,
2026-06-26 10:00:00,0.0613 Mpa,,,0.349 Mpa,0.0983 Mpa,0.352 Mpa,0.233 Mpa,0.445 Mpa,
2026-06-26 13:00:00,0.106 Mpa,0.0426 Mpa,,0.446 Mpa,0.0350 Mpa,0.920 Mpa,0.529 Mpa,0.313 Mpa,
2026-06-26 16:00:00,0.0429 Mpa,0.00619 Mpa,,0.246 Mpa,0.164 Mpa,0.718 Mpa,0.327 Mpa,0.426 Mpa,
2026-06-26 19:00:00,0.118 Mpa,0.0689 Mpa,,0.137 Mpa,0.0632 Mpa,0.290 Mpa,0.222 Mpa,0.325 Mpa,
