"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-06-17 09:00:00,0.0545 Mpa,0.0488 Mpa,0.00274 Mpa,0.105 Mpa,0.0815 Mpa,0.296 Mpa,0.225 Mpa,0.0797 Mpa,0.212 Mpa,,1.47%,2.19%,0%,3.18%,3.51%,8.65%,9.38%,2.40%,6.66%,
2026-06-17 11:00:00,0.0399 Mpa,0.0884 Mpa,0.126 Mpa,0.0488 Mpa,0.0645 Mpa,0.448 Mpa,0.118 Mpa,0.164 Mpa,0.202 Mpa,,1.26%,3.30%,3.89%,1.49%,2.31%,13.0%,6.82%,5.01%,6.18%,
2026-06-17 13:00:00,0.0858 Mpa,0.0474 Mpa,0.0130 Mpa,0.0641 Mpa,0.0802 Mpa,0.457 Mpa,0.0989 Mpa,0.0645 Mpa,0.225 Mpa,,2.94%,2.31%,0%,2.00%,2.74%,14.1%,5.61%,2.33%,6.84%,
2026-06-17 15:00:00,0.115 Mpa,0.0358 Mpa,0.106 Mpa,0.0733 Mpa,0.0559 Mpa,0.274 Mpa,0.0695 Mpa,0.0653 Mpa,0.254 Mpa,,4.39%,1.87%,2.93%,2.12%,1.83%,8.23%,4.35%,2.04%,7.60%,
2026-06-17 17:00:00,0.0634 Mpa,0.198 Mpa,0.0893 Mpa,0.116 Mpa,0.0835 Mpa,0.0593 Mpa,0.120 Mpa,0.0473 Mpa,0.270 Mpa,,2.06%,7.20%,2.57%,3.42%,2.90%,1.94%,6.38%,1.46%,8.25%,
2026-06-17 19:00:00,0.0664 Mpa,0.196 Mpa,0.0853 Mpa,0.173 Mpa,0.133 Mpa,0.258 Mpa,0.0770 Mpa,0.140 Mpa,0.267 Mpa,,2.28%,6.71%,2.42%,5.22%,4.72%,6.97%,5.37%,4.09%,8.28%,
2026-06-17 21:00:00,0.0984 Mpa,0.0882 Mpa,0.0525 Mpa,0.0797 Mpa,0.112 Mpa,0.337 Mpa,0.135 Mpa,0.109 Mpa,0.166 Mpa,,3.53%,3.59%,1.90%,2.64%,3.98%,9.33%,6.85%,3.38%,5.11%,
2026-06-17 23:00:00,0.179 Mpa,0.210 Mpa,0.126 Mpa,0.0684 Mpa,0.130 Mpa,0.189 Mpa,0.0579 Mpa,0.0904 Mpa,0.107 Mpa,,7.14%,7.13%,3.61%,2.24%,4.81%,5.24%,4.54%,2.67%,3.43%,
2026-06-18 01:00:00,0.199 Mpa,0.199 Mpa,0.108 Mpa,0.0531 Mpa,0.0582 Mpa,0.126 Mpa,0.0551 Mpa,0.281 Mpa,0.0756 Mpa,,7.10%,7.01%,3.18%,1.61%,2.19%,3.41%,4.96%,8.18%,1.82%,
2026-06-18 03:00:00,0.265 Mpa,0.0524 Mpa,0.234 Mpa,0.0787 Mpa,0.181 Mpa,0.197 Mpa,0.142 Mpa,0.190 Mpa,0.130 Mpa,,7.77%,2.40%,7.34%,2.46%,6.65%,5.12%,6.87%,5.41%,3.59%,
2026-06-18 05:00:00,0.0759 Mpa,0.113 Mpa,0.0588 Mpa,0.0284 Mpa,0.0514 Mpa,0.120 Mpa,0.0940 Mpa,0.128 Mpa,0.123 Mpa,,2.19%,4.31%,2.24%,0.750%,1.84%,2.86%,6.09%,3.82%,3.56%,
2026-06-18 07:00:00,0.134 Mpa,0.0749 Mpa,0.119 Mpa,0.116 Mpa,0.185 Mpa,0.308 Mpa,0.166 Mpa,0.0923 Mpa,0.0862 Mpa,,4.36%,3.15%,4.01%,3.46%,6.18%,8.44%,7.46%,3.30%,2.62%,
2026-06-18 09:00:00,0.0814 Mpa,0.0685 Mpa,0.0617 Mpa,0.162 Mpa,0.164 Mpa,0.209 Mpa,0.126 Mpa,0.0356 Mpa,0.0977 Mpa,,2.60%,3.04%,2.43%,4.83%,5.58%,5.55%,6.26%,0.971%,2.62%,
2026-06-18 11:00:00,0.0480 Mpa,0.0736 Mpa,0.0459 Mpa,0.0557 Mpa,0.126 Mpa,0.435 Mpa,0.0815 Mpa,0.0370 Mpa,0.0452 Mpa,,1.49%,3.01%,1.34%,1.73%,4.75%,12.2%,3.96%,1.04%,1.22%,
2026-06-18 13:00:00,0.135 Mpa,0.185 Mpa,0.172 Mpa,0.0480 Mpa,0.159 Mpa,0.138 Mpa,0.278 Mpa,0.116 Mpa,0.119 Mpa,,3.99%,7.10%,5.35%,1.53%,5.85%,2.99%,8.64%,3.45%,3.36%,
2026-06-18 15:00:00,0.0670 Mpa,0.0782 Mpa,0.0573 Mpa,0.158 Mpa,0.126 Mpa,0.0829 Mpa,,0.0175 Mpa,0.1000 Mpa,,1.85%,3.41%,1.61%,4.76%,5.06%,1.27%,,0.371%,2.67%,
2026-06-18 17:00:00,0.156 Mpa,0.0604 Mpa,0.0860 Mpa,0.0860 Mpa,0.0788 Mpa,0.131 Mpa,,0.103 Mpa,0.119 Mpa,,4.53%,2.73%,2.34%,2.49%,3.01%,3.21%,,2.83%,3.21%,
2026-06-18 19:00:00,0.0735 Mpa,0.0272 Mpa,0.117 Mpa,0.109 Mpa,0.0905 Mpa,0.300 Mpa,,0.0935 Mpa,0.0375 Mpa,,2.06%,2.16%,3.79%,3.49%,3.46%,8.70%,,2.92%,0.680%,
2026-06-18 21:00:00,0.0502 Mpa,0.0798 Mpa,0.130 Mpa,0.0881 Mpa,0.101 Mpa,0.374 Mpa,0.197 Mpa,0.141 Mpa,0.0849 Mpa,,1.34%,3.18%,3.79%,2.76%,3.80%,10.8%,7.14%,4.32%,2.27%,
2026-06-18 23:00:00,0.183 Mpa,0.0591 Mpa,0.0648 Mpa,0.0879 Mpa,0.172 Mpa,0.240 Mpa,0.00800 Mpa,0.150 Mpa,0.180 Mpa,,5.76%,3.14%,1.76%,3.10%,5.94%,6.26%,2.40%,4.69%,5.09%,
2026-06-19 01:00:00,0.0734 Mpa,0.0747 Mpa,0.127 Mpa,0.0137 Mpa,0.133 Mpa,0.0351 Mpa,,0.154 Mpa,0.184 Mpa,,2.04%,3.51%,3.53%,0.495%,4.92%,0%,,5.38%,5.38%,
2026-06-19 03:00:00,0.224 Mpa,0.0737 Mpa,0.127 Mpa,0.102 Mpa,0.0558 Mpa,0.173 Mpa,,0.203 Mpa,0.140 Mpa,,6.41%,2.77%,4.35%,3.03%,1.85%,4.43%,,6.02%,3.81%,
2026-06-19 05:00:00,0.0912 Mpa,0.0464 Mpa,0.0185 Mpa,0.0768 Mpa,0.0866 Mpa,0.0807 Mpa,,0.111 Mpa,0.198 Mpa,,2.64%,2.03%,1.97%,2.40%,3.41%,1.71%,,3.10%,5.83%,
2026-06-19 07:00:00,0.108 Mpa,0.0699 Mpa,0.0914 Mpa,0.102 Mpa,0.180 Mpa,0.122 Mpa,,0.0926 Mpa,0.0739 Mpa,,3.20%,2.61%,3.00%,3.03%,6.61%,2.76%,,2.78%,2.19%,
2026-06-19 09:00:00,0.0871 Mpa,0.101 Mpa,0.191 Mpa,0.143 Mpa,0.0285 Mpa,0.101 Mpa,,0.0747 Mpa,0.136 Mpa,,2.59%,3.99%,5.80%,4.30%,1.22%,2.03%,,2.35%,3.78%,
2026-06-19 11:00:00,0.124 Mpa,0.125 Mpa,0.0705 Mpa,0.0863 Mpa,0.155 Mpa,0.138 Mpa,,0.0764 Mpa,0.111 Mpa,,3.71%,4.85%,2.19%,2.74%,5.97%,2.91%,,2.44%,3.27%,
2026-06-19 13:00:00,0.0183 Mpa,0.115 Mpa,0.0726 Mpa,0.141 Mpa,0 Mpa,0.0828 Mpa,,0.0817 Mpa,0.0974 Mpa,,0.477%,4.46%,2.26%,4.34%,0%,1.61%,,2.39%,2.83%,
2026-06-19 15:00:00,0.0989 Mpa,0.108 Mpa,0.0371 Mpa,0.0815 Mpa,0.0621 Mpa,0.117 Mpa,,0.391 Mpa,0.100 Mpa,,2.66%,4.22%,1.74%,2.52%,2.45%,2.68%,,11.7%,3.12%,
2026-06-19 17:00:00,0.146 Mpa,0.197 Mpa,0.140 Mpa,0.0887 Mpa,0.101 Mpa,0.167 Mpa,0 Mpa,0.0465 Mpa,0.0663 Mpa,,4.16%,7.04%,4.52%,2.88%,3.96%,4.53%,2.40%,1.45%,1.92%,
