"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-17 09:00:00,,0.0599 Mpa,0.467 Mpa,,0.142 Mpa,0.449 Mpa,0.0497 Mpa,0.138 Mpa,,,1.86%,11.1%,,3.82%,8.24%,2.11%,0.763%,
2026-06-17 11:00:00,,0.206 Mpa,0.166 Mpa,,0.209 Mpa,0.356 Mpa,0.175 Mpa,0.233 Mpa,,,11.0%,2.83%,,5.96%,5.64%,6.09%,1.94%,
2026-06-17 13:00:00,,0.230 Mpa,0.0849 Mpa,,,0.543 Mpa,0.272 Mpa,0.249 Mpa,,,9.92%,0.947%,,,10.1%,9.91%,3.20%,
2026-06-17 15:00:00,,0.197 Mpa,0.120 Mpa,0.0240 Mpa,0.335 Mpa,0.287 Mpa,0.337 Mpa,0.320 Mpa,,,9.04%,1.73%,0%,9.50%,4.40%,9.87%,4.15%,
2026-06-17 17:00:00,,0.182 Mpa,0.101 Mpa,0.209 Mpa,0.109 Mpa,0.228 Mpa,0.362 Mpa,0.231 Mpa,,,8.80%,1.49%,4.38%,2.97%,2.61%,11.5%,2.50%,
2026-06-17 19:00:00,,0.193 Mpa,0.249 Mpa,0.0768 Mpa,0.149 Mpa,0.298 Mpa,0.141 Mpa,0.207 Mpa,,,7.67%,5.40%,0.500%,3.67%,3.29%,4.43%,2.42%,
2026-06-17 21:00:00,,0.141 Mpa,0.109 Mpa,0.126 Mpa,0.0629 Mpa,0.283 Mpa,0.188 Mpa,0.197 Mpa,,,8.75%,1.17%,1.47%,1.26%,4.00%,7.13%,2.44%,
2026-06-17 23:00:00,,0.203 Mpa,0.209 Mpa,0.227 Mpa,0.246 Mpa,0.331 Mpa,0.150 Mpa,0.278 Mpa,,,12.4%,4.43%,4.51%,6.81%,4.30%,6.33%,5.36%,
2026-06-18 01:00:00,,1.58 Mpa,0.0969 Mpa,0.210 Mpa,0.0769 Mpa,0.308 Mpa,0.133 Mpa,0.256 Mpa,,,47.6%,1.36%,3.03%,2.40%,3.22%,4.65%,4.45%,
2026-06-18 03:00:00,,,0.145 Mpa,0.151 Mpa,0.0594 Mpa,0.273 Mpa,0.160 Mpa,0.212 Mpa,,,,2.25%,1.60%,2.04%,2.33%,7.40%,4.13%,
2026-06-18 05:00:00,,0.0653 Mpa,0.127 Mpa,0.299 Mpa,0.201 Mpa,0.243 Mpa,0.125 Mpa,0.276 Mpa,,,8.09%,2.21%,6.20%,5.43%,2.46%,6.76%,5.85%,
2026-06-18 07:00:00,,0.419 Mpa,0.133 Mpa,0.139 Mpa,0.397 Mpa,0.320 Mpa,0.156 Mpa,0.220 Mpa,,,17.6%,1.43%,1.25%,10.8%,3.34%,4.85%,3.65%,
2026-06-18 09:00:00,,0.476 Mpa,0.207 Mpa,0.208 Mpa,0.283 Mpa,0.374 Mpa,0.107 Mpa,0.402 Mpa,,,18.9%,3.70%,3.27%,7.67%,4.85%,4.38%,9.33%,
2026-06-18 11:00:00,,0.402 Mpa,0.164 Mpa,0.141 Mpa,0.130 Mpa,0.332 Mpa,0.115 Mpa,0.405 Mpa,,,13.7%,2.53%,1.03%,3.32%,3.46%,3.10%,7.73%,
2026-06-18 13:00:00,,0.0901 Mpa,1.00 Mpa,0.117 Mpa,0.0625 Mpa,0.305 Mpa,0.144 Mpa,0.326 Mpa,,,4.89%,25.8%,1.53%,1.47%,2.33%,5.62%,5.29%,
2026-06-18 15:00:00,0.0604 Mpa,0.117 Mpa,0.404 Mpa,0.268 Mpa,0.117 Mpa,0.323 Mpa,0.0399 Mpa,0.306 Mpa,,3.00%,4.75%,9.17%,5.52%,2.72%,3.59%,2.86%,5.23%,
2026-06-18 17:00:00,0.249 Mpa,0.121 Mpa,0.235 Mpa,0.242 Mpa,0.110 Mpa,0.370 Mpa,0.114 Mpa,0.329 Mpa,,7.06%,13.3%,5.00%,4.30%,2.60%,4.84%,4.40%,6.22%,
2026-06-18 19:00:00,0.200 Mpa,0.0825 Mpa,0.237 Mpa,0.216 Mpa,0.329 Mpa,0.302 Mpa,0.168 Mpa,0.389 Mpa,,5.88%,8.72%,4.46%,3.14%,9.32%,4.29%,5.77%,6.36%,
