"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-06-17 09:00:00,0.0703 Mpa,0.0123 Mpa,0 Mpa,0.113 Mpa,0.0798 Mpa,0.304 Mpa,0.263 Mpa,0.100 Mpa,0.246 Mpa,,1.78%,0.448%,0%,3.28%,2.88%,9.76%,8.12%,2.67%,7.67%,
2026-06-17 11:00:00,0.0407 Mpa,0.0933 Mpa,0.112 Mpa,0.0421 Mpa,0.0579 Mpa,0.403 Mpa,0.111 Mpa,0.198 Mpa,0.202 Mpa,,1.34%,3.03%,3.52%,1.20%,2.08%,12.4%,3.32%,5.88%,6.35%,
2026-06-17 13:00:00,0.0742 Mpa,0.0471 Mpa,0.00405 Mpa,0.0598 Mpa,0.0698 Mpa,0.400 Mpa,0.0879 Mpa,0.0878 Mpa,0.222 Mpa,,2.49%,1.54%,0%,1.81%,2.55%,13.2%,2.51%,4.02%,6.91%,
2026-06-17 15:00:00,0.130 Mpa,0.0340 Mpa,0.218 Mpa,0.0481 Mpa,0.0617 Mpa,0.229 Mpa,0.0758 Mpa,0.0821 Mpa,0.242 Mpa,,4.78%,1.09%,6.63%,1.36%,2.06%,7.49%,2.14%,3.35%,7.48%,
2026-06-17 17:00:00,0.0483 Mpa,0.193 Mpa,0.0856 Mpa,0.0847 Mpa,0.0787 Mpa,0.0612 Mpa,0.111 Mpa,0.0663 Mpa,0.263 Mpa,,1.56%,6.02%,2.30%,2.81%,2.80%,2.09%,3.22%,1.79%,8.22%,
2026-06-17 19:00:00,0.0655 Mpa,0.166 Mpa,0.0506 Mpa,0.155 Mpa,0.137 Mpa,0.204 Mpa,0.0841 Mpa,0.161 Mpa,0.266 Mpa,,2.15%,6.02%,1.58%,4.92%,4.95%,6.10%,2.39%,4.17%,8.11%,
2026-06-17 21:00:00,0.0844 Mpa,0.0733 Mpa,0.0405 Mpa,0.0978 Mpa,0.118 Mpa,0.283 Mpa,0.137 Mpa,0.112 Mpa,0.168 Mpa,,3.11%,2.65%,1.35%,3.13%,4.26%,8.53%,4.03%,2.82%,5.21%,
2026-06-17 23:00:00,0.179 Mpa,0.180 Mpa,0.0808 Mpa,0.0660 Mpa,0.0918 Mpa,0.138 Mpa,0.0638 Mpa,0.0965 Mpa,0.110 Mpa,,6.81%,5.97%,2.50%,2.12%,3.49%,3.99%,1.90%,2.40%,3.28%,
2026-06-18 01:00:00,0.247 Mpa,0.170 Mpa,0.0737 Mpa,0.0430 Mpa,0.0622 Mpa,0.107 Mpa,0.0813 Mpa,0.319 Mpa,0.0637 Mpa,,8.04%,5.73%,2.24%,1.20%,2.10%,3.24%,2.32%,8.81%,1.66%,
2026-06-18 03:00:00,0.262 Mpa,0.0538 Mpa,0.236 Mpa,0.0779 Mpa,0.171 Mpa,0.157 Mpa,0.160 Mpa,0.213 Mpa,0.130 Mpa,,7.67%,1.72%,7.09%,2.33%,6.10%,4.75%,4.53%,5.63%,3.79%,
2026-06-18 05:00:00,0.0714 Mpa,0.110 Mpa,0.0482 Mpa,0.0237 Mpa,0.0556 Mpa,0.0891 Mpa,0.117 Mpa,0.153 Mpa,0.114 Mpa,,2.11%,3.65%,1.46%,0.525%,2.07%,2.75%,3.08%,4.24%,3.29%,
2026-06-18 07:00:00,0.161 Mpa,0.0686 Mpa,0.102 Mpa,0.116 Mpa,0.164 Mpa,0.289 Mpa,0.188 Mpa,0.118 Mpa,0.0798 Mpa,,5.64%,2.26%,3.33%,3.16%,5.32%,8.62%,5.20%,3.32%,2.37%,
2026-06-18 09:00:00,0.0896 Mpa,0.0711 Mpa,0.0619 Mpa,0.161 Mpa,0.150 Mpa,0.182 Mpa,0.123 Mpa,0.0619 Mpa,0.0853 Mpa,,2.99%,2.16%,1.89%,4.57%,4.74%,5.50%,3.46%,1.30%,2.50%,
2026-06-18 11:00:00,0.0606 Mpa,0.0940 Mpa,0.0347 Mpa,0.0497 Mpa,0.128 Mpa,0.357 Mpa,0.0721 Mpa,0.0472 Mpa,0.0368 Mpa,,2.11%,2.98%,0.981%,1.41%,4.51%,10.9%,2.03%,1.05%,0.974%,
2026-06-18 13:00:00,0.114 Mpa,0.172 Mpa,0.148 Mpa,0.0418 Mpa,0.156 Mpa,0.0979 Mpa,0.267 Mpa,0.122 Mpa,0.110 Mpa,,3.46%,5.38%,4.78%,1.23%,5.62%,2.68%,7.53%,3.19%,3.22%,
2026-06-18 15:00:00,0.0669 Mpa,0.0712 Mpa,0.0520 Mpa,0.141 Mpa,0.121 Mpa,0.0562 Mpa,,0.0395 Mpa,0.0895 Mpa,,1.95%,2.20%,1.81%,3.93%,4.74%,1.37%,,0.374%,2.57%,
2026-06-18 17:00:00,0.168 Mpa,0.0467 Mpa,0.0915 Mpa,0.0703 Mpa,0.0752 Mpa,0.108 Mpa,,0.128 Mpa,0.107 Mpa,,4.88%,1.59%,2.66%,2.88%,2.96%,3.23%,,3.05%,2.96%,
2026-06-18 19:00:00,0.0803 Mpa,0.0249 Mpa,0.120 Mpa,0.0895 Mpa,0.0987 Mpa,0.279 Mpa,,0.110 Mpa,0.0359 Mpa,,2.37%,0.805%,3.59%,3.87%,3.83%,8.65%,,2.87%,0.844%,
2026-06-18 21:00:00,0.0520 Mpa,0.0619 Mpa,0.123 Mpa,0.0715 Mpa,0.112 Mpa,0.338 Mpa,0.145 Mpa,0.138 Mpa,0.0769 Mpa,,1.44%,2.05%,3.60%,2.84%,4.17%,10.7%,4.07%,3.80%,2.23%,
2026-06-18 23:00:00,0.209 Mpa,0.0617 Mpa,0.0496 Mpa,0.0866 Mpa,0.205 Mpa,0.244 Mpa,0 Mpa,0.186 Mpa,0.172 Mpa,,6.53%,2.09%,1.44%,3.19%,7.28%,7.31%,0%,5.27%,5.13%,
2026-06-19 01:00:00,0.0831 Mpa,0.0993 Mpa,0.101 Mpa,0.0207 Mpa,0.148 Mpa,0.00973 Mpa,,0.169 Mpa,0.161 Mpa,,2.36%,3.19%,3.13%,0.594%,5.58%,0%,,5.75%,4.92%,
2026-06-19 03:00:00,0.212 Mpa,0.0803 Mpa,0.145 Mpa,0.0687 Mpa,0.0627 Mpa,0.140 Mpa,,0.210 Mpa,0.129 Mpa,,6.22%,2.54%,4.57%,3.01%,2.32%,4.15%,,5.97%,3.82%,
2026-06-19 05:00:00,0.0738 Mpa,0.0279 Mpa,0.0135 Mpa,0.0639 Mpa,0.0880 Mpa,0.0561 Mpa,,0.136 Mpa,0.192 Mpa,,2.17%,0.807%,0.415%,1.99%,3.29%,1.77%,,3.39%,5.75%,
2026-06-19 07:00:00,0.136 Mpa,0.0784 Mpa,0.0785 Mpa,0.0855 Mpa,0.171 Mpa,0.0992 Mpa,,0.119 Mpa,0.0618 Mpa,,4.10%,2.39%,2.50%,2.44%,6.27%,3.29%,,2.94%,1.75%,
2026-06-19 09:00:00,0.0743 Mpa,0.0861 Mpa,0.181 Mpa,0.118 Mpa,0.0293 Mpa,0.0655 Mpa,,0.101 Mpa,0.115 Mpa,,2.35%,2.81%,5.80%,3.39%,1.05%,1.73%,,2.61%,3.39%,
2026-06-19 11:00:00,0.101 Mpa,0.122 Mpa,0.0230 Mpa,0.0660 Mpa,0.157 Mpa,0.0879 Mpa,,0.114 Mpa,0.0978 Mpa,,2.89%,4.06%,0.709%,1.91%,5.57%,2.30%,,3.06%,2.90%,
2026-06-19 13:00:00,0.0148 Mpa,0.128 Mpa,0.0574 Mpa,0.120 Mpa,0 Mpa,0.0749 Mpa,,0.0866 Mpa,0.0902 Mpa,,0.382%,4.01%,1.76%,3.50%,0%,2.22%,,2.14%,2.76%,
2026-06-19 15:00:00,0.125 Mpa,0.104 Mpa,0.0441 Mpa,0.0737 Mpa,0.0745 Mpa,0.0913 Mpa,,0.467 Mpa,0.0967 Mpa,,3.54%,3.44%,1.64%,2.19%,2.66%,2.53%,,13.3%,2.91%,
2026-06-19 17:00:00,0.185 Mpa,0.220 Mpa,0.193 Mpa,0.0969 Mpa,0.108 Mpa,0.134 Mpa,0 Mpa,0.0752 Mpa,0.0562 Mpa,,5.41%,6.79%,6.19%,3.19%,4.30%,4.32%,0%,1.41%,1.57%,
2026-06-19 19:00:00,0.158 Mpa,0.0351 Mpa,0.0426 Mpa,0.0806 Mpa,0.157 Mpa,0.0853 Mpa,0 Mpa,0.0937 Mpa,,,4.46%,1.10%,1.31%,2.69%,5.89%,2.50%,0%,2.22%,,
2026-06-19 21:00:00,0.0912 Mpa,0.0963 Mpa,0.0320 Mpa,0.0703 Mpa,0.0806 Mpa,0.154 Mpa,0.0000402 Mpa,0.117 Mpa,,,2.74%,3.09%,1.01%,2.48%,2.94%,4.90%,0%,3.09%,,
2026-06-19 23:00:00,0.0800 Mpa,0.104 Mpa,0.0362 Mpa,0.0682 Mpa,0.0655 Mpa,0.211 Mpa,0.212 Mpa,0.153 Mpa,0.00347 Mpa,,2.36%,3.34%,1.20%,2.08%,2.30%,6.27%,5.93%,3.99%,0%,
2026-06-20 01:00:00,0.162 Mpa,0.177 Mpa,0.00257 Mpa,0.0251 Mpa,0.0769 Mpa,0.121 Mpa,0.132 Mpa,0.0550 Mpa,0.0852 Mpa,,4.94%,5.66%,0%,0.796%,2.41%,3.24%,3.69%,2.91%,2.52%,
2026-06-20 03:00:00,0.278 Mpa,0.0607 Mpa,0.0279 Mpa,0.0549 Mpa,0.0873 Mpa,0.120 Mpa,0.119 Mpa,0.0716 Mpa,0.192 Mpa,,8.42%,1.95%,0.777%,2.34%,2.97%,3.53%,3.45%,1.58%,5.78%,
2026-06-20 05:00:00,0.164 Mpa,0.195 Mpa,0.101 Mpa,0.0451 Mpa,0.111 Mpa,0.202 Mpa,0.289 Mpa,0.0710 Mpa,0.0954 Mpa,,4.64%,6.25%,3.17%,1.31%,3.75%,6.24%,8.00%,1.82%,2.81%,
