"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-17 09:00:00,,0.1000 Mpa,0.416 Mpa,,0.161 Mpa,0.458 Mpa,0.420 Mpa,1.29 Mpa,,,12.7%,9.98%,,4.98%,6.47%,12.1%,32.9%,
2026-06-17 11:00:00,,0.420 Mpa,0.247 Mpa,,0.130 Mpa,0.382 Mpa,0.314 Mpa,0.442 Mpa,,,16.2%,5.00%,,3.65%,4.21%,9.25%,10.8%,
2026-06-17 13:00:00,,0.421 Mpa,1.25 Mpa,,,0.517 Mpa,0.0465 Mpa,0.270 Mpa,,,19.4%,34.0%,,,8.06%,1.00%,3.45%,
2026-06-17 15:00:00,,0.490 Mpa,0.825 Mpa,0 Mpa,0.701 Mpa,0.272 Mpa,0.283 Mpa,0.304 Mpa,,,21.5%,21.5%,0.426%,19.2%,1.60%,12.2%,6.57%,
2026-06-17 17:00:00,,0.244 Mpa,0.159 Mpa,0.377 Mpa,0.316 Mpa,0.279 Mpa,0.866 Mpa,0.246 Mpa,,,16.7%,3.01%,11.9%,9.24%,2.45%,24.4%,13.5%,
2026-06-17 19:00:00,,0.286 Mpa,0.297 Mpa,0.308 Mpa,0.188 Mpa,0.280 Mpa,0.623 Mpa,0.203 Mpa,,,16.7%,7.03%,14.4%,6.40%,1.49%,16.2%,12.7%,
2026-06-17 21:00:00,,0.163 Mpa,0.183 Mpa,0.385 Mpa,0.0974 Mpa,0.258 Mpa,0.340 Mpa,0.220 Mpa,,,7.86%,3.34%,9.23%,3.67%,0.883%,7.49%,20.8%,
2026-06-17 23:00:00,,0.150 Mpa,0.183 Mpa,0.282 Mpa,0.280 Mpa,0.334 Mpa,0.288 Mpa,0.376 Mpa,,,5.10%,3.11%,40.8%,8.31%,2.75%,6.47%,8.11%,
2026-06-18 01:00:00,,0.0674 Mpa,0.117 Mpa,0.304 Mpa,0.134 Mpa,0.304 Mpa,0.144 Mpa,0.509 Mpa,,,7.60%,1.70%,6.12%,4.47%,1.68%,2.77%,12.1%,
2026-06-18 03:00:00,,,0.127 Mpa,0.159 Mpa,0.00136 Mpa,0.286 Mpa,0.185 Mpa,0.269 Mpa,,,,1.59%,2.35%,0.294%,1.47%,3.35%,3.96%,
2026-06-18 05:00:00,,0.0880 Mpa,0.184 Mpa,0.202 Mpa,0.575 Mpa,0.251 Mpa,0.142 Mpa,0.258 Mpa,,,13.6%,4.52%,4.09%,15.9%,1.12%,2.49%,15.3%,
2026-06-18 07:00:00,,0.462 Mpa,0.136 Mpa,0.112 Mpa,0.321 Mpa,0.334 Mpa,1.34 Mpa,0.224 Mpa,,,15.4%,2.26%,1.17%,9.31%,3.09%,38.9%,2.98%,
2026-06-18 09:00:00,,0.473 Mpa,0.204 Mpa,0.379 Mpa,0.221 Mpa,0.375 Mpa,0.0997 Mpa,0.449 Mpa,,,15.9%,4.21%,8.71%,7.24%,3.79%,1.27%,10.5%,
2026-06-18 11:00:00,,0.712 Mpa,0.154 Mpa,0.0976 Mpa,0.227 Mpa,0.331 Mpa,0.0955 Mpa,0.355 Mpa,,,25.7%,3.44%,1.04%,6.60%,3.32%,2.34%,5.92%,
2026-06-18 13:00:00,,1.14 Mpa,0.235 Mpa,1.15 Mpa,0.0212 Mpa,0.311 Mpa,0.109 Mpa,0.496 Mpa,,,37.6%,4.86%,30.3%,7.41%,2.28%,3.09%,10.3%,
2026-06-18 15:00:00,0.0534 Mpa,0.139 Mpa,0.448 Mpa,0.436 Mpa,0.708 Mpa,0.300 Mpa,0.0550 Mpa,0.311 Mpa,,1.45%,13.9%,10.6%,11.2%,20.0%,1.93%,2.20%,4.09%,
2026-06-18 17:00:00,1.75 Mpa,0.168 Mpa,0.142 Mpa,0.503 Mpa,0.0716 Mpa,0.320 Mpa,0.103 Mpa,0.378 Mpa,,46.8%,4.83%,2.27%,11.8%,1.87%,3.14%,2.34%,6.99%,
2026-06-18 19:00:00,0.760 Mpa,0.161 Mpa,0.240 Mpa,0.650 Mpa,0.611 Mpa,0.318 Mpa,0.143 Mpa,0.497 Mpa,,21.2%,5.13%,4.44%,15.6%,17.8%,2.06%,2.42%,11.3%,
2026-06-18 21:00:00,0.337 Mpa,0.134 Mpa,0.198 Mpa,0.587 Mpa,0.289 Mpa,0.717 Mpa,0.139 Mpa,0.276 Mpa,,9.12%,5.58%,2.94%,13.6%,8.81%,12.7%,2.38%,3.76%,
2026-06-18 23:00:00,0.709 Mpa,1.68 Mpa,0.201 Mpa,0.272 Mpa,0.961 Mpa,0.279 Mpa,0.167 Mpa,0.266 Mpa,,20.0%,51.5%,3.70%,5.24%,27.7%,0.900%,3.74%,5.75%,
2026-06-19 01:00:00,0.785 Mpa,0.522 Mpa,0.301 Mpa,0.294 Mpa,0.359 Mpa,0.407 Mpa,0.109 Mpa,0.299 Mpa,,19.9%,15.2%,6.87%,6.16%,10.3%,4.79%,2.21%,7.71%,
2026-06-19 03:00:00,0.639 Mpa,0.451 Mpa,0.194 Mpa,,0.0144 Mpa,0.302 Mpa,0.258 Mpa,0.296 Mpa,,19.1%,16.3%,3.22%,,0.806%,1.74%,6.30%,8.30%,
2026-06-19 05:00:00,0.769 Mpa,0 Mpa,0.181 Mpa,1.74 Mpa,0.115 Mpa,0.341 Mpa,0.187 Mpa,0.625 Mpa,,20.8%,7.65%,3.08%,52.1%,3.31%,2.66%,3.74%,15.4%,
2026-06-19 07:00:00,0.614 Mpa,0.00331 Mpa,0.183 Mpa,0.238 Mpa,0.0644 Mpa,0.355 Mpa,0.167 Mpa,0.294 Mpa,,18.5%,7.08%,2.78%,9.17%,2.63%,2.87%,2.93%,5.22%,
2026-06-19 09:00:00,0.729 Mpa,0.0220 Mpa,0.261 Mpa,0.283 Mpa,0.601 Mpa,0.300 Mpa,0.362 Mpa,0.327 Mpa,,20.1%,2.30%,5.05%,5.82%,22.9%,1.51%,8.79%,4.90%,
2026-06-19 11:00:00,0.596 Mpa,0.253 Mpa,0.765 Mpa,0.307 Mpa,0.0160 Mpa,0.404 Mpa,0.502 Mpa,0.347 Mpa,,16.6%,7.88%,19.6%,6.88%,0.562%,5.05%,12.9%,5.16%,
2026-06-19 13:00:00,0.281 Mpa,0.208 Mpa,0.677 Mpa,0.199 Mpa,0.113 Mpa,0.244 Mpa,0.349 Mpa,0.362 Mpa,,8.83%,8.71%,17.1%,3.60%,3.25%,0.180%,8.21%,5.80%,
2026-06-19 15:00:00,0.263 Mpa,0.841 Mpa,0.234 Mpa,0.472 Mpa,0.442 Mpa,0.235 Mpa,0.251 Mpa,0.496 Mpa,,8.88%,27.7%,4.50%,11.2%,14.1%,0.126%,5.94%,9.18%,
2026-06-19 17:00:00,0.710 Mpa,0.140 Mpa,0.163 Mpa,0.189 Mpa,1.07 Mpa,0.296 Mpa,0.672 Mpa,0.359 Mpa,,22.4%,10.4%,2.24%,3.59%,29.0%,2.03%,20.4%,7.84%,
2026-06-19 19:00:00,1.57 Mpa,0.153 Mpa,0.254 Mpa,0 Mpa,1.10 Mpa,0.272 Mpa,0.668 Mpa,0.398 Mpa,,43.2%,6.74%,4.73%,0%,30.1%,0.994%,18.2%,9.61%,
2026-06-19 21:00:00,0.576 Mpa,0.282 Mpa,0.164 Mpa,0.215 Mpa,1.21 Mpa,0.245 Mpa,0.103 Mpa,0.265 Mpa,,16.0%,8.91%,1.79%,3.93%,31.9%,0.0216%,1.40%,6.03%,
2026-06-19 23:00:00,0.733 Mpa,0.154 Mpa,0.203 Mpa,0.248 Mpa,0.00498 Mpa,0.463 Mpa,0.281 Mpa,0.264 Mpa,,21.6%,5.74%,3.33%,4.48%,2.81%,12.0%,12.1%,7.59%,
2026-06-20 01:00:00,0.0619 Mpa,0.149 Mpa,0.344 Mpa,0.269 Mpa,,0.380 Mpa,0.150 Mpa,0.280 Mpa,,5.15%,6.13%,7.27%,5.19%,,3.92%,13.9%,6.43%,
2026-06-20 03:00:00,0.0252 Mpa,0.434 Mpa,0.194 Mpa,0.341 Mpa,,0.546 Mpa,0.268 Mpa,0.371 Mpa,,4.20%,14.5%,2.92%,7.06%,,7.83%,7.41%,5.19%,
2026-06-20 05:00:00,0.222 Mpa,0.274 Mpa,0.190 Mpa,0.400 Mpa,,0.305 Mpa,0.209 Mpa,0.346 Mpa,,8.66%,11.5%,3.45%,9.02%,,2.58%,5.97%,5.30%,
2026-06-20 07:00:00,0.0621 Mpa,0.112 Mpa,0.208 Mpa,0.671 Mpa,,0.498 Mpa,0.126 Mpa,0.739 Mpa,,3.26%,4.79%,3.37%,15.7%,,8.08%,3.53%,19.2%,
2026-06-20 09:00:00,0.132 Mpa,0.347 Mpa,0.325 Mpa,0.378 Mpa,0 Mpa,0.505 Mpa,0.319 Mpa,0.344 Mpa,,3.52%,11.1%,6.46%,8.05%,3.40%,9.68%,14.0%,8.11%,
