"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-17 09:00:00,0.0199 Mpa,0.00313 Mpa,0 Mpa,0.00263 Mpa,0.00283 Mpa,1.20 Mpa,0.279 Mpa,0.00640 Mpa,0.294 Mpa,,1.80%,0.0130%,4%,5.48%,1.47%,37.6%,8.48%,1.24%,9.57%,
2026-06-17 11:00:00,0.0387 Mpa,0.0391 Mpa,0.0519 Mpa,0.0820 Mpa,0.0713 Mpa,0.658 Mpa,0.0797 Mpa,0.205 Mpa,0.244 Mpa,,14.5%,1.32%,5.00%,7.67%,4.47%,21.5%,2.28%,7.36%,8.08%,
2026-06-17 13:00:00,0.728 Mpa,0.00509 Mpa,0.0178 Mpa,0.0568 Mpa,0.0872 Mpa,0.547 Mpa,0.453 Mpa,0.107 Mpa,0.168 Mpa,,41.1%,0.0916%,4.61%,7.31%,4.71%,18.3%,12.4%,4.15%,6.96%,
2026-06-17 15:00:00,0.0719 Mpa,0.0185 Mpa,0.157 Mpa,0.0428 Mpa,0.0723 Mpa,0.431 Mpa,0.0597 Mpa,0.0926 Mpa,0.253 Mpa,,3.92%,0.571%,8.08%,6.94%,4.16%,14.8%,1.70%,4.00%,8.71%,
2026-06-17 17:00:00,0.0554 Mpa,0.0932 Mpa,0.0858 Mpa,0.0369 Mpa,0.0694 Mpa,0.158 Mpa,0.113 Mpa,0.0435 Mpa,0.198 Mpa,,7.19%,2.95%,6.23%,6.65%,3.65%,7.95%,3.09%,2.72%,6.68%,
2026-06-17 19:00:00,0.0771 Mpa,0.368 Mpa,0.0277 Mpa,0.558 Mpa,0.136 Mpa,0.461 Mpa,0.0644 Mpa,0.111 Mpa,0.334 Mpa,,4.02%,11.8%,3.87%,20.9%,6.48%,15.3%,1.76%,4.53%,10.5%,
2026-06-17 21:00:00,0.165 Mpa,0.0755 Mpa,0.00265 Mpa,0.215 Mpa,0.329 Mpa,0.173 Mpa,0.187 Mpa,0.383 Mpa,0.874 Mpa,,7.40%,2.49%,2.76%,11.7%,13.4%,6.24%,5.23%,15.3%,26.4%,
2026-06-17 23:00:00,0.165 Mpa,0.122 Mpa,0.00339 Mpa,0.0730 Mpa,0.160 Mpa,0.198 Mpa,0.0415 Mpa,0.170 Mpa,0.0721 Mpa,,7.39%,3.99%,2.16%,13.7%,7.32%,15.0%,1.12%,7.25%,2.51%,
2026-06-18 01:00:00,0.334 Mpa,0.0861 Mpa,0.00277 Mpa,0.0117 Mpa,0.202 Mpa,0.100 Mpa,0.0634 Mpa,0.122 Mpa,0.0268 Mpa,,12.7%,7.41%,1.92%,5.49%,8.52%,3.98%,1.85%,5.04%,1.35%,
2026-06-18 03:00:00,0.157 Mpa,0.140 Mpa,0.0725 Mpa,0.118 Mpa,0.513 Mpa,0.318 Mpa,0.198 Mpa,0.365 Mpa,0.151 Mpa,,6.14%,9.55%,3.46%,8.37%,19.6%,10.8%,5.66%,12.1%,4.67%,
