"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-17 09:00:00,,0.0819 Mpa,0.411 Mpa,,0.167 Mpa,0.411 Mpa,0.501 Mpa,1.41 Mpa,,,9.95%,11.9%,,6.62%,6.20%,14.4%,37.4%,
2026-06-17 11:00:00,,0.416 Mpa,0.229 Mpa,,0.183 Mpa,0.378 Mpa,0.323 Mpa,0.425 Mpa,,,15.7%,6.25%,,6.53%,4.38%,9.24%,8.67%,
2026-06-17 13:00:00,,0.416 Mpa,1.26 Mpa,,,0.544 Mpa,0.0356 Mpa,0.255 Mpa,,,17.6%,34.8%,,,9.21%,0.722%,3.02%,
2026-06-17 15:00:00,,0.459 Mpa,0.826 Mpa,0 Mpa,0.743 Mpa,0.250 Mpa,0.280 Mpa,0.248 Mpa,,,18.3%,22.7%,1.69%,21.5%,0.686%,12.7%,4.83%,
2026-06-17 17:00:00,,0.201 Mpa,0.169 Mpa,0.385 Mpa,0.307 Mpa,0.267 Mpa,0.941 Mpa,0.219 Mpa,,,9.94%,4.89%,13.4%,9.63%,2.87%,25.3%,15.0%,
2026-06-17 19:00:00,,0.267 Mpa,0.276 Mpa,0.273 Mpa,0.210 Mpa,0.278 Mpa,0.630 Mpa,0.176 Mpa,,,12.7%,7.61%,15.1%,7.01%,1.98%,16.5%,12.5%,
2026-06-17 21:00:00,,0.152 Mpa,0.173 Mpa,0.348 Mpa,0.117 Mpa,0.244 Mpa,0.331 Mpa,0.196 Mpa,,,8.48%,4.54%,10.1%,4.80%,0.668%,7.20%,21.8%,
2026-06-17 23:00:00,,0.118 Mpa,0.170 Mpa,0.273 Mpa,0.291 Mpa,0.328 Mpa,0.311 Mpa,0.366 Mpa,,,4.17%,4.00%,8.43%,9.08%,2.93%,7.51%,7.28%,
2026-06-18 01:00:00,,0.0377 Mpa,0.109 Mpa,0.243 Mpa,0.162 Mpa,0.264 Mpa,0.156 Mpa,0.587 Mpa,,,7.77%,3.23%,6.22%,5.38%,1.29%,5.35%,13.4%,
2026-06-18 03:00:00,,,0.131 Mpa,0.122 Mpa,0.00182 Mpa,0.286 Mpa,0.183 Mpa,0.211 Mpa,,,,2.95%,2.87%,0.864%,3.13%,3.48%,3.45%,
2026-06-18 05:00:00,,0.0697 Mpa,0.175 Mpa,0.157 Mpa,0.526 Mpa,0.235 Mpa,0.141 Mpa,0.274 Mpa,,,3.13%,6.24%,3.97%,15.1%,1.73%,2.61%,16.9%,
2026-06-18 07:00:00,,0.408 Mpa,0.137 Mpa,0.0779 Mpa,0.334 Mpa,0.307 Mpa,1.36 Mpa,0.199 Mpa,,,12.1%,3.96%,1.65%,11.0%,4.43%,37.2%,2.54%,
2026-06-18 09:00:00,,0.466 Mpa,0.208 Mpa,0.351 Mpa,0.235 Mpa,0.352 Mpa,0.0892 Mpa,0.481 Mpa,,,15.3%,5.78%,9.20%,8.12%,4.69%,1.73%,10.4%,
2026-06-18 11:00:00,,0.679 Mpa,0.158 Mpa,0.0541 Mpa,0.212 Mpa,0.330 Mpa,0.0922 Mpa,0.364 Mpa,,,25.0%,4.22%,1.67%,6.66%,5.51%,2.72%,6.91%,
2026-06-18 13:00:00,,1.15 Mpa,0.187 Mpa,1.14 Mpa,0.0359 Mpa,0.295 Mpa,0.104 Mpa,0.519 Mpa,,,36.3%,4.86%,30.4%,13.9%,4.77%,2.83%,10.8%,
2026-06-18 15:00:00,0.0677 Mpa,0.112 Mpa,0.450 Mpa,0.400 Mpa,0.682 Mpa,0.302 Mpa,0.0559 Mpa,0.294 Mpa,,1.65%,9.90%,12.4%,11.1%,19.9%,3.80%,1.18%,4.15%,
2026-06-18 17:00:00,1.77 Mpa,0.157 Mpa,0.118 Mpa,0.473 Mpa,0.100 Mpa,0.297 Mpa,0.104 Mpa,0.389 Mpa,,48.0%,3.73%,3.22%,12.2%,3.62%,4.59%,2.71%,6.68%,
2026-06-18 19:00:00,0.783 Mpa,0.149 Mpa,0.223 Mpa,0.617 Mpa,0.593 Mpa,0.293 Mpa,0.126 Mpa,0.460 Mpa,,21.0%,4.65%,5.42%,15.5%,18.0%,2.30%,2.19%,9.30%,
2026-06-18 21:00:00,0.373 Mpa,0.117 Mpa,0.204 Mpa,0.544 Mpa,0.315 Mpa,0.724 Mpa,0.120 Mpa,0.259 Mpa,,9.74%,2.83%,4.42%,13.6%,9.99%,13.5%,2.12%,3.58%,
2026-06-18 23:00:00,0.783 Mpa,1.65 Mpa,0.203 Mpa,0.240 Mpa,0.989 Mpa,0.252 Mpa,0.162 Mpa,0.227 Mpa,,21.4%,48.8%,5.35%,5.48%,28.8%,1.05%,3.95%,3.11%,
2026-06-19 01:00:00,0.793 Mpa,0.533 Mpa,0.342 Mpa,0.275 Mpa,0.353 Mpa,0.363 Mpa,0.0884 Mpa,0.258 Mpa,,21.1%,15.3%,10.1%,7.00%,11.0%,4.29%,1.57%,4.86%,
2026-06-19 03:00:00,0.677 Mpa,0.455 Mpa,0.198 Mpa,,0.0349 Mpa,0.268 Mpa,0.250 Mpa,0.273 Mpa,,20.1%,16.2%,5.82%,,1.98%,1.45%,5.91%,6.43%,
2026-06-19 05:00:00,0.827 Mpa,0 Mpa,0.187 Mpa,1.79 Mpa,0.108 Mpa,0.310 Mpa,0.160 Mpa,0.576 Mpa,,21.3%,4.67%,5.72%,51.7%,3.74%,2.65%,3.49%,14.2%,
2026-06-19 07:00:00,0.710 Mpa,0.00192 Mpa,0.166 Mpa,0.212 Mpa,0.0814 Mpa,0.340 Mpa,0.162 Mpa,0.275 Mpa,,20.4%,4.49%,4.18%,9.90%,2.81%,3.35%,3.14%,4.32%,
2026-06-19 09:00:00,0.722 Mpa,0.0180 Mpa,0.268 Mpa,0.262 Mpa,0.628 Mpa,0.281 Mpa,0.370 Mpa,0.320 Mpa,,19.2%,4.46%,6.45%,6.47%,24.0%,2.44%,8.82%,5.32%,
2026-06-19 11:00:00,0.619 Mpa,0.240 Mpa,0.817 Mpa,0.239 Mpa,0.0289 Mpa,0.394 Mpa,0.557 Mpa,0.365 Mpa,,16.4%,9.33%,22.1%,6.10%,1.52%,5.53%,14.1%,5.99%,
2026-06-19 13:00:00,0.318 Mpa,0.195 Mpa,0.663 Mpa,0.150 Mpa,0.121 Mpa,0.222 Mpa,0.362 Mpa,0.351 Mpa,,9.22%,9.02%,18.3%,3.44%,4.40%,1.62%,8.24%,5.54%,
2026-06-19 15:00:00,0.306 Mpa,0.807 Mpa,0.232 Mpa,0.442 Mpa,0.411 Mpa,0.219 Mpa,0.277 Mpa,0.501 Mpa,,9.24%,25.1%,6.48%,11.5%,13.7%,1.28%,6.54%,10.4%,
2026-06-19 17:00:00,0.717 Mpa,0.140 Mpa,0.151 Mpa,0.134 Mpa,1.05 Mpa,0.269 Mpa,0.692 Mpa,0.331 Mpa,,22.0%,10.7%,4.26%,3.12%,29.5%,2.29%,20.9%,6.51%,
2026-06-19 19:00:00,1.62 Mpa,0.124 Mpa,0.268 Mpa,0 Mpa,1.09 Mpa,0.258 Mpa,0.726 Mpa,0.392 Mpa,,43.0%,6.11%,6.68%,0.0429%,30.2%,2.24%,19.2%,8.90%,
2026-06-19 21:00:00,0.611 Mpa,0.280 Mpa,0.182 Mpa,0.171 Mpa,1.21 Mpa,0.225 Mpa,0.100 Mpa,0.259 Mpa,,16.5%,10.4%,5.31%,3.74%,32.8%,1.29%,1.17%,5.32%,
2026-06-19 23:00:00,0.792 Mpa,0.130 Mpa,0.195 Mpa,0.210 Mpa,0.00837 Mpa,0.432 Mpa,0.282 Mpa,0.227 Mpa,,21.6%,3.83%,4.98%,4.63%,3.97%,11.7%,11.8%,3.55%,
2026-06-20 01:00:00,0.0833 Mpa,0.125 Mpa,0.305 Mpa,0.227 Mpa,,0.333 Mpa,0.137 Mpa,0.237 Mpa,,5.47%,6.08%,7.64%,5.06%,,3.48%,14.5%,3.34%,
2026-06-20 03:00:00,0.0498 Mpa,0.430 Mpa,0.186 Mpa,0.297 Mpa,,0.472 Mpa,0.258 Mpa,0.337 Mpa,,5.63%,15.9%,3.64%,7.06%,,7.31%,14.1%,4.75%,
2026-06-20 05:00:00,0.260 Mpa,0.265 Mpa,0.207 Mpa,0.376 Mpa,,0.258 Mpa,0.231 Mpa,0.307 Mpa,,9.51%,14.0%,4.80%,9.30%,,1.85%,5.57%,4.45%,
2026-06-20 07:00:00,0.0974 Mpa,0.0865 Mpa,0.200 Mpa,0.640 Mpa,,0.453 Mpa,0.130 Mpa,0.713 Mpa,,3.47%,4.23%,5.72%,16.0%,,6.37%,4.27%,17.7%,
2026-06-20 09:00:00,0.144 Mpa,0.308 Mpa,0.329 Mpa,0.347 Mpa,0 Mpa,0.443 Mpa,0.326 Mpa,0.311 Mpa,,3.37%,9.49%,8.66%,8.31%,3.67%,7.65%,14.6%,5.34%,
2026-06-20 11:00:00,0.120 Mpa,0.856 Mpa,0.205 Mpa,0.260 Mpa,0.00500 Mpa,0.408 Mpa,0.361 Mpa,0.391 Mpa,,5.41%,27.9%,7.81%,6.53%,2.95%,5.06%,9.64%,6.32%,
2026-06-20 13:00:00,0.143 Mpa,0.842 Mpa,0.165 Mpa,,,0.285 Mpa,0.162 Mpa,0.247 Mpa,,5.28%,27.1%,4.81%,,,3.91%,3.31%,2.52%,
2026-06-20 15:00:00,0.103 Mpa,0.0963 Mpa,0.150 Mpa,1.11 Mpa,,0.551 Mpa,1.23 Mpa,0.513 Mpa,,9.44%,7.10%,4.39%,29.3%,,9.87%,33.7%,9.96%,
2026-06-20 17:00:00,0.0804 Mpa,0.0500 Mpa,0.126 Mpa,0.302 Mpa,,0.274 Mpa,0.159 Mpa,0.222 Mpa,,2.42%,5.51%,3.89%,21.9%,,2.65%,3.49%,2.20%,
2026-06-20 19:00:00,0.00780 Mpa,0.698 Mpa,0.0874 Mpa,0.601 Mpa,,0.469 Mpa,0.0935 Mpa,0.441 Mpa,,0.0533%,25.2%,2.55%,15.7%,,7.63%,1.57%,9.95%,
2026-06-20 21:00:00,0.0123 Mpa,0.382 Mpa,0.157 Mpa,0.302 Mpa,,0.282 Mpa,0.0999 Mpa,0.363 Mpa,,0.0385%,11.4%,4.17%,7.12%,,2.75%,1.04%,8.93%,
2026-06-20 23:00:00,0 Mpa,0.238 Mpa,0.139 Mpa,0.207 Mpa,,0.257 Mpa,0.449 Mpa,0.194 Mpa,,0%,7.64%,3.19%,4.45%,,2.14%,11.1%,3.77%,
2026-06-21 01:00:00,0 Mpa,0.0980 Mpa,0.136 Mpa,0.248 Mpa,,0.251 Mpa,0.343 Mpa,0.171 Mpa,,0%,1.69%,2.44%,6.41%,,1.88%,9.22%,2.80%,
2026-06-21 03:00:00,0 Mpa,1.12 Mpa,0.277 Mpa,0.817 Mpa,,0.337 Mpa,0.249 Mpa,0.210 Mpa,,0%,34.4%,7.09%,21.7%,,6.54%,6.89%,2.43%,
2026-06-21 05:00:00,0.110 Mpa,0.0714 Mpa,0.348 Mpa,0.894 Mpa,,0.368 Mpa,0.118 Mpa,0.814 Mpa,,4.06%,1.36%,9.04%,24.7%,,4.88%,1.89%,20.3%,
2026-06-21 07:00:00,0.181 Mpa,2.74 Mpa,0.514 Mpa,0.367 Mpa,,0.396 Mpa,0.200 Mpa,0.327 Mpa,,6.89%,9.06%,13.2%,12.8%,,5.95%,3.91%,7.76%,
2026-06-21 09:00:00,0.725 Mpa,6.10 Mpa,0.231 Mpa,0.241 Mpa,,0.340 Mpa,0.195 Mpa,0.286 Mpa,,20.1%,0.932%,5.07%,7.62%,,3.71%,5.73%,7.79%,
2026-06-21 11:00:00,0.667 Mpa,5.91 Mpa,0.870 Mpa,0.411 Mpa,,0.420 Mpa,,0.362 Mpa,,25.7%,53.6%,23.9%,10.4%,,6.70%,,7.72%,
2026-06-21 13:00:00,0.0955 Mpa,1.98 Mpa,,,,,,0.140 Mpa,,3.53%,27.3%,,,,,,0.887%,
2026-06-21 15:00:00,0.100 Mpa,6.09 Mpa,,0.0216 Mpa,,,,,,6.10%,35.9%,,1.30%,,,,,
2026-06-21 17:00:00,0.0718 Mpa,5.88 Mpa,0.513 Mpa,0.404 Mpa,,0.626 Mpa,0.0700 Mpa,0.599 Mpa,,2.30%,8.98%,12.7%,10.1%,,11.2%,0.162%,14.5%,
2026-06-21 19:00:00,0.0699 Mpa,6.10 Mpa,0.482 Mpa,0.175 Mpa,,0.258 Mpa,0.225 Mpa,0.232 Mpa,,1.93%,7.33%,12.7%,8.04%,,2.32%,5.82%,3.82%,
2026-06-21 21:00:00,0.105 Mpa,6.10 Mpa,0.151 Mpa,0.222 Mpa,,0.290 Mpa,0.333 Mpa,2.03 Mpa,,3.05%,19.3%,3.70%,4.72%,,3.09%,8.94%,55.5%,
2026-06-21 23:00:00,0.107 Mpa,6.10 Mpa,0.805 Mpa,0.122 Mpa,0.279 Mpa,0.227 Mpa,0.176 Mpa,0.546 Mpa,,2.08%,5.76%,21.3%,2.18%,9.56%,1.56%,3.54%,11.3%,
2026-06-22 01:00:00,0.503 Mpa,6.10 Mpa,0.620 Mpa,0.162 Mpa,0.0127 Mpa,0.317 Mpa,0.211 Mpa,0.244 Mpa,,12.7%,4.57%,16.9%,2.82%,1.57%,15.8%,4.42%,4.53%,
