"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-17 09:00:00,0.0134 Mpa,0.00313 Mpa,0.00206 Mpa,0.00274 Mpa,0.00611 Mpa,1.18 Mpa,0.264 Mpa,0.00926 Mpa,0.323 Mpa,,8.08%,2.73%,4.62%,3.94%,8.05%,39.3%,11.2%,1.70%,13.2%,
2026-06-17 11:00:00,0.0443 Mpa,0.0420 Mpa,0.0771 Mpa,0.0877 Mpa,0.0770 Mpa,0.695 Mpa,0.0778 Mpa,0.184 Mpa,0.195 Mpa,,20.2%,4.19%,6.40%,6.40%,9.98%,24.9%,6.03%,6.63%,9.56%,
2026-06-17 13:00:00,0.714 Mpa,0.00546 Mpa,0.0218 Mpa,0.0460 Mpa,0.0924 Mpa,0.541 Mpa,0.453 Mpa,0.0981 Mpa,0.166 Mpa,,44.1%,3.41%,5.13%,5.33%,10.7%,20.5%,16.1%,3.65%,8.74%,
2026-06-17 15:00:00,0.0615 Mpa,0.0186 Mpa,0.0618 Mpa,0.0320 Mpa,0.0745 Mpa,0.396 Mpa,0.0526 Mpa,0.0998 Mpa,0.250 Mpa,,9.53%,3.48%,5.77%,5.31%,10.2%,15.8%,5.70%,3.66%,11.4%,
2026-06-17 17:00:00,0.0646 Mpa,0.0788 Mpa,0.0862 Mpa,0.0286 Mpa,0.0665 Mpa,0.143 Mpa,0.106 Mpa,0.0476 Mpa,0.193 Mpa,,10.9%,5.15%,5.46%,4.67%,9.99%,10.3%,6.54%,2.58%,9.21%,
2026-06-17 19:00:00,0.0706 Mpa,0.320 Mpa,0.0820 Mpa,0.506 Mpa,0.122 Mpa,0.472 Mpa,0.0655 Mpa,0.104 Mpa,0.331 Mpa,,9.62%,12.7%,7.86%,19.1%,11.8%,18.3%,5.39%,5.10%,13.1%,
2026-06-17 21:00:00,0.162 Mpa,0.0670 Mpa,0.00702 Mpa,0.193 Mpa,0.329 Mpa,0.166 Mpa,0.211 Mpa,0.403 Mpa,0.839 Mpa,,12.2%,5.11%,5.10%,10.00%,18.6%,8.36%,8.98%,14.1%,27.5%,
2026-06-17 23:00:00,0.163 Mpa,0.102 Mpa,0.0701 Mpa,0.0747 Mpa,0.197 Mpa,0.254 Mpa,0.0443 Mpa,0.176 Mpa,0.0526 Mpa,,11.5%,6.06%,7.31%,13.6%,14.5%,19.9%,5.03%,7.30%,4.74%,
2026-06-18 01:00:00,0.287 Mpa,0.0742 Mpa,0.0231 Mpa,0.0117 Mpa,0.220 Mpa,0.111 Mpa,0.0547 Mpa,0.115 Mpa,0.0330 Mpa,,14.1%,5.62%,5.29%,4.94%,13.9%,7.29%,5.03%,5.33%,4.75%,
2026-06-18 03:00:00,0.155 Mpa,0.126 Mpa,0.0797 Mpa,0.113 Mpa,0.506 Mpa,0.296 Mpa,0.237 Mpa,0.340 Mpa,0.138 Mpa,,11.1%,11.4%,7.22%,7.66%,23.0%,12.5%,10.4%,11.3%,8.14%,
2026-06-18 05:00:00,0.0392 Mpa,0.110 Mpa,0.0336 Mpa,0.0168 Mpa,0.0606 Mpa,0.159 Mpa,0.0278 Mpa,0.0347 Mpa,0.0728 Mpa,,8.66%,6.03%,6.01%,4.58%,9.93%,8.97%,4.25%,2.75%,6.37%,
2026-06-18 07:00:00,0.955 Mpa,0.179 Mpa,0.122 Mpa,0.144 Mpa,0.210 Mpa,0.245 Mpa,0.127 Mpa,0.122 Mpa,0.0355 Mpa,,38.2%,9.26%,8.22%,7.96%,13.3%,11.3%,7.55%,5.62%,5.13%,
2026-06-18 09:00:00,0.0628 Mpa,0.103 Mpa,0.139 Mpa,0.135 Mpa,0.248 Mpa,0.665 Mpa,0.110 Mpa,0.475 Mpa,0.161 Mpa,,9.07%,6.30%,7.35%,8.22%,13.8%,23.6%,6.87%,16.1%,8.99%,
2026-06-18 11:00:00,0.0486 Mpa,0.0657 Mpa,0.0226 Mpa,0.0705 Mpa,0.153 Mpa,0.522 Mpa,1.39 Mpa,0.0375 Mpa,0.0254 Mpa,,8.64%,5.42%,4.22%,6.76%,12.1%,19.3%,40.0%,3.57%,5.31%,
2026-06-18 13:00:00,0.0768 Mpa,0.147 Mpa,0.303 Mpa,0.0589 Mpa,0.0325 Mpa,0.682 Mpa,0.987 Mpa,0.129 Mpa,0.0774 Mpa,,8.98%,7.96%,13.7%,6.62%,8.64%,24.2%,29.6%,5.74%,6.50%,
2026-06-18 15:00:00,0.0591 Mpa,0.0515 Mpa,0.00738 Mpa,0.199 Mpa,0.107 Mpa,0.0389 Mpa,,0.0687 Mpa,0.124 Mpa,,8.69%,4.79%,4.81%,10.6%,11.1%,5.38%,,5.37%,6.70%,
2026-06-18 17:00:00,0.145 Mpa,0.00942 Mpa,0.0619 Mpa,0.0710 Mpa,0.0897 Mpa,0.0867 Mpa,,0.0309 Mpa,0.104 Mpa,,10.9%,4.85%,6.71%,5.89%,9.56%,7.16%,,2.83%,6.94%,
2026-06-18 19:00:00,0.0859 Mpa,0.0576 Mpa,0.0867 Mpa,0.0792 Mpa,0.0236 Mpa,1.13 Mpa,,0.0723 Mpa,0.0118 Mpa,,9.56%,5.23%,6.68%,9.18%,8.17%,36.6%,,3.97%,4.60%,
2026-06-18 21:00:00,0.0380 Mpa,0.0552 Mpa,0.0499 Mpa,0.0527 Mpa,0.262 Mpa,0.560 Mpa,0.0871 Mpa,0.287 Mpa,0.0792 Mpa,,8.42%,5.29%,6.24%,9.59%,16.4%,19.8%,6.24%,10.8%,6.61%,
2026-06-18 23:00:00,0.170 Mpa,0.0415 Mpa,0.0156 Mpa,0.0268 Mpa,0.224 Mpa,1.09 Mpa,0 Mpa,0.457 Mpa,0.539 Mpa,,12.8%,4.64%,4.95%,3.90%,14.8%,36.8%,3.97%,15.0%,19.6%,
2026-06-19 01:00:00,0.0850 Mpa,0.0411 Mpa,0.228 Mpa,0.0425 Mpa,0.405 Mpa,0.0332 Mpa,,0.242 Mpa,0.354 Mpa,,9.85%,4.06%,11.2%,4.87%,21.0%,5.52%,,9.34%,14.7%,
2026-06-19 03:00:00,0.505 Mpa,0.145 Mpa,0.203 Mpa,0.0771 Mpa,0.0360 Mpa,1.05 Mpa,,0.235 Mpa,0.130 Mpa,,20.9%,8.13%,10.4%,5.38%,9.13%,34.4%,,8.31%,8.26%,
2026-06-19 05:00:00,0.0825 Mpa,0.137 Mpa,0.0291 Mpa,0.0619 Mpa,0.143 Mpa,1.80 Mpa,,0.0610 Mpa,0.191 Mpa,,9.92%,8.14%,4.27%,5.91%,11.6%,56.5%,,3.74%,9.76%,
2026-06-19 07:00:00,0.0383 Mpa,0.0734 Mpa,0.0870 Mpa,0.108 Mpa,0.237 Mpa,0.799 Mpa,,0.0736 Mpa,0.112 Mpa,,11.2%,5.86%,7.07%,7.72%,14.1%,27.1%,,4.20%,7.20%,
2026-06-19 09:00:00,0.107 Mpa,0.142 Mpa,0.247 Mpa,0.105 Mpa,0.0424 Mpa,0.126 Mpa,,0.108 Mpa,0.0758 Mpa,,10.3%,8.33%,12.1%,7.02%,8.05%,8.37%,,5.19%,5.62%,
2026-06-19 11:00:00,0.0678 Mpa,0.131 Mpa,0.116 Mpa,0.0450 Mpa,0.154 Mpa,0.110 Mpa,,0.0782 Mpa,0.0963 Mpa,,9.42%,8.37%,6.99%,5.78%,12.2%,7.34%,,4.15%,6.35%,
2026-06-19 13:00:00,0.00649 Mpa,0.0823 Mpa,0.0143 Mpa,0.154 Mpa,0 Mpa,0.0616 Mpa,,0.0259 Mpa,0.0733 Mpa,,27.2%,5.59%,3.76%,9.28%,8.29%,6.09%,,2.97%,5.63%,
2026-06-19 15:00:00,0.0216 Mpa,0.126 Mpa,0.148 Mpa,0.0601 Mpa,0.166 Mpa,0.0605 Mpa,,0.194 Mpa,0.0647 Mpa,,8.01%,7.53%,7.60%,6.79%,12.7%,6.06%,,7.45%,5.62%,
2026-06-19 17:00:00,0.644 Mpa,0.196 Mpa,0.00838 Mpa,0.168 Mpa,0.0947 Mpa,0.102 Mpa,0 Mpa,0.0396 Mpa,0.00426 Mpa,,24.5%,9.56%,4.18%,9.35%,10.8%,6.80%,4.19%,3.41%,4.90%,
2026-06-19 19:00:00,0.530 Mpa,0.0155 Mpa,0.0116 Mpa,0.155 Mpa,0.190 Mpa,0.0737 Mpa,0 Mpa,0.0858 Mpa,,,21.8%,5.08%,4.50%,13.7%,13.1%,5.35%,4.24%,4.30%,,
2026-06-19 21:00:00,0.0829 Mpa,0.269 Mpa,0.00800 Mpa,0.0940 Mpa,0.0565 Mpa,0.249 Mpa,0.0000201 Mpa,0.0945 Mpa,,,10.4%,13.0%,3.90%,6.32%,8.43%,11.6%,4.24%,4.95%,,
2026-06-19 23:00:00,0.0943 Mpa,0.0946 Mpa,0.00443 Mpa,0.0379 Mpa,0.0531 Mpa,0.322 Mpa,0.323 Mpa,0.122 Mpa,0.815 Mpa,,9.84%,8.56%,3.41%,5.28%,9.01%,12.4%,13.2%,5.17%,27.6%,
2026-06-20 01:00:00,0.233 Mpa,0.392 Mpa,0.00612 Mpa,0.144 Mpa,0.0724 Mpa,0.102 Mpa,0.167 Mpa,0.0886 Mpa,0.0320 Mpa,,13.4%,16.5%,6.43%,8.71%,10.4%,6.65%,7.82%,3.67%,5.03%,
2026-06-20 03:00:00,0.225 Mpa,0.102 Mpa,0.0188 Mpa,0.127 Mpa,0.0723 Mpa,0.135 Mpa,0.130 Mpa,0.0293 Mpa,0.0806 Mpa,,13.5%,6.73%,4.87%,7.38%,9.64%,7.61%,8.04%,2.93%,6.29%,
2026-06-20 05:00:00,0.167 Mpa,0.146 Mpa,0.0733 Mpa,0.0410 Mpa,0.170 Mpa,0.104 Mpa,0.109 Mpa,0.0269 Mpa,0.100 Mpa,,11.6%,8.92%,6.48%,10.7%,12.3%,7.98%,6.84%,2.40%,7.33%,
2026-06-20 07:00:00,0.244 Mpa,0.364 Mpa,0.112 Mpa,0.289 Mpa,0.0896 Mpa,0.0485 Mpa,0.344 Mpa,0.0378 Mpa,0.361 Mpa,,33.4%,14.5%,8.53%,12.7%,10.7%,10.7%,12.6%,2.22%,17.2%,
2026-06-20 09:00:00,0.177 Mpa,0.131 Mpa,0.431 Mpa,0.123 Mpa,0.159 Mpa,0.0979 Mpa,0.243 Mpa,0.223 Mpa,0.101 Mpa,,15.5%,8.09%,17.5%,7.74%,12.6%,13.2%,10.2%,7.48%,16.9%,
2026-06-20 11:00:00,0.181 Mpa,0.308 Mpa,0.149 Mpa,0.176 Mpa,0.268 Mpa,0.137 Mpa,0.518 Mpa,0.0676 Mpa,0.0482 Mpa,,15.9%,12.7%,7.99%,9.64%,16.9%,25.0%,17.8%,3.40%,9.21%,
2026-06-20 13:00:00,0.572 Mpa,0.190 Mpa,0.0544 Mpa,0.102 Mpa,0.483 Mpa,0.190 Mpa,0.477 Mpa,0.178 Mpa,0.0816 Mpa,,25.6%,9.38%,5.31%,8.03%,23.8%,15.2%,16.8%,6.91%,6.58%,
2026-06-20 15:00:00,0.0523 Mpa,0.471 Mpa,0.495 Mpa,0.419 Mpa,0.577 Mpa,0.0697 Mpa,0.0820 Mpa,0.265 Mpa,0.109 Mpa,,9.04%,16.9%,19.1%,16.5%,25.1%,11.9%,6.10%,9.07%,8.63%,
2026-06-20 17:00:00,0.0925 Mpa,0.310 Mpa,0.101 Mpa,0.109 Mpa,0.0592 Mpa,0.0967 Mpa,0.248 Mpa,0.943 Mpa,0.103 Mpa,,10.1%,12.9%,6.91%,6.74%,8.92%,6.86%,10.6%,28.3%,7.38%,
