"Time","I45 - NIV_PTO","I49 - NIV_PTO","I50 - NIV_PTO","I51 - NIV_PTO","I52 - NIV_PTO","I53 - NIV_PTO","I54 - NIV_PTO","I55 - NIV_PTO","I56 - NIV_PTO","I57 - NIV_PTO","I58 - NIV_PTO"
2026-09-15 03:56:20,On,On,,On,On,On,On,On,On,On,On
2026-09-15 03:56:40,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 03:57:00,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 03:57:20,,On,,On,,,On,On,,On,
2026-09-15 03:57:40,On,On,On,On,On,,On,On,On,On,On
2026-09-15 03:58:00,,On,On,On,On,,On,On,On,On,On
2026-09-15 03:58:20,On,On,On,On,On,,On,On,On,On,On
2026-09-15 03:58:40,On,On,On,On,On,,On,On,On,On,On
2026-09-15 03:59:00,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 03:59:20,,On,,On,,On,On,On,,On,
2026-09-15 03:59:40,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:00:00,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:00:20,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:00:40,On,,On,On,On,On,On,On,On,On,On
2026-09-15 04:01:00,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:01:20,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:01:40,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:02:00,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:02:20,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:02:40,On,,On,On,On,,On,On,On,On,On
2026-09-15 04:03:00,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:03:20,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:03:40,On,On,,On,On,On,On,On,On,On,On
2026-09-15 04:04:00,On,On,,On,On,On,On,On,On,On,On
2026-09-15 04:04:20,On,On,,On,On,On,On,On,On,On,On
2026-09-15 04:04:40,On,On,,On,On,On,On,On,On,On,On
2026-09-15 04:05:00,On,On,,On,On,On,On,On,On,On,On
2026-09-15 04:05:20,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:05:40,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:06:00,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:06:20,On,On,,On,On,,On,On,On,On,On
2026-09-15 04:06:40,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:07:00,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:07:20,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:07:40,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:08:00,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:08:20,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:08:40,On,On,On,On,On,,On,On,On,On,On
2026-09-15 04:09:00,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:09:20,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:09:40,On,On,On,On,On,On,On,On,On,On,On
2026-09-15 04:10:00,On,On,On,On,On,On,On,On,On,On,On
