"Time","PTO - I45","PTO - I49","PTO - I50","PTO - I51","PTO - I52","PTO - I53","PTO - I54","PTO - I55","PTO - I56","PTO - I57","PTO - I58","RPM - I45","RPM - I49","RPM - I50","RPM - I51","RPM - I52","RPM - I53","RPM - I54","RPM - I55","RPM - I56","RPM - I57","RPM - I58"
2026-09-15 03:56:20,69 °C,70 °C,,52 °C,80 °C,77 °C,83 °C,81 °C,66 °C,53 °C,79 °C,1898 rpm,1911 rpm,1888 rpm,800 rpm,1907 rpm,1401 rpm,1900 rpm,1881 rpm,1865 rpm,1897 rpm,1863 rpm
2026-09-15 03:56:40,69 °C,70 °C,86 °C,52 °C,80 °C,76.5 °C,83 °C,81 °C,65.5 °C,53 °C,79 °C,1886 rpm,1866 rpm,1846 rpm,800 rpm,1848 rpm,1401 rpm,1894 rpm,1846 rpm,1857 rpm,1884 rpm,1873 rpm
2026-09-15 03:57:00,69 °C,71 °C,86 °C,52 °C,80 °C,76 °C,83 °C,81 °C,66.7 °C,53 °C,79 °C,1852 rpm,1869 rpm,1867 rpm,800 rpm,1865 rpm,1401 rpm,1866 rpm,1851 rpm,1858 rpm,1901 rpm,1868 rpm
2026-09-15 03:57:20,,70.5 °C,,52 °C,,,83 °C,81 °C,,54 °C,,,1878 rpm,,800 rpm,,1400 rpm,1840 rpm,1892 rpm,,1878 rpm,1861 rpm
2026-09-15 03:57:40,69 °C,71 °C,86 °C,52 °C,80 °C,,83 °C,81 °C,63 °C,54 °C,79 °C,1857 rpm,1898 rpm,1907 rpm,800 rpm,1897 rpm,1400 rpm,1847 rpm,1837 rpm,1845 rpm,1888 rpm,1867 rpm
2026-09-15 03:58:00,,70.5 °C,85 °C,52 °C,80 °C,,83.5 °C,81 °C,65 °C,54 °C,79 °C,1826 rpm,1820 rpm,1886 rpm,801 rpm,1849 rpm,1400 rpm,1639 rpm,1875 rpm,1844 rpm,1896 rpm,1873 rpm
2026-09-15 03:58:20,69 °C,70.3 °C,86 °C,52 °C,80 °C,,83 °C,81 °C,70.8 °C,54 °C,78.8 °C,1890 rpm,1872 rpm,1858 rpm,800 rpm,1860 rpm,1400 rpm,1652 rpm,1863 rpm,1776 rpm,1898 rpm,1875 rpm
2026-09-15 03:58:40,69 °C,71 °C,86 °C,52 °C,80 °C,,83 °C,81 °C,68 °C,55 °C,78 °C,1859 rpm,1851 rpm,1835 rpm,800 rpm,1835 rpm,1401 rpm,1400 rpm,1877 rpm,1850 rpm,1898 rpm,1832 rpm
2026-09-15 03:59:00,69 °C,70.7 °C,86 °C,52 °C,80 °C,74 °C,83 °C,81 °C,68 °C,55 °C,78 °C,1872 rpm,1876 rpm,1857 rpm,800 rpm,1839 rpm,,1742 rpm,1843 rpm,1910 rpm,1888 rpm,1872 rpm
2026-09-15 03:59:20,,71 °C,,52 °C,,74 °C,83 °C,81 °C,,56 °C,,,1874 rpm,,800 rpm,,1400 rpm,1848 rpm,1852 rpm,,1893 rpm,
2026-09-15 03:59:40,69 °C,71 °C,86 °C,52 °C,80 °C,74 °C,83 °C,81 °C,69.3 °C,56 °C,78 °C,1870 rpm,1635 rpm,1878 rpm,800 rpm,1840 rpm,1400 rpm,1852 rpm,1850 rpm,1875 rpm,1896 rpm,1867 rpm
2026-09-15 04:00:00,69 °C,71 °C,86 °C,52.3 °C,80 °C,74 °C,83.3 °C,81 °C,66.3 °C,56 °C,78.3 °C,1868 rpm,1852 rpm,1842 rpm,1753 rpm,1871 rpm,1400 rpm,1845 rpm,1869 rpm,1845 rpm,1889 rpm,1834 rpm
2026-09-15 04:00:20,69 °C,71 °C,86 °C,53 °C,80 °C,74 °C,84 °C,81 °C,65.8 °C,56 °C,78 °C,1849 rpm,1860 rpm,1861 rpm,1884 rpm,1836 rpm,1400 rpm,1856 rpm,1854 rpm,1860 rpm,1895 rpm,1874 rpm
2026-09-15 04:00:40,69 °C,,86 °C,53.8 °C,80 °C,73 °C,83.5 °C,81 °C,67.5 °C,56 °C,78 °C,1891 rpm,1872 rpm,1862 rpm,1891 rpm,1866 rpm,1400 rpm,1846 rpm,1858 rpm,1845 rpm,1877 rpm,1834 rpm
2026-09-15 04:01:00,69 °C,,86 °C,54 °C,80 °C,,84 °C,81 °C,68.8 °C,56.5 °C,78 °C,1852 rpm,1866 rpm,1862 rpm,1872 rpm,1836 rpm,1400 rpm,1860 rpm,1856 rpm,1854 rpm,1891 rpm,1895 rpm
2026-09-15 04:01:20,69 °C,,86 °C,54.5 °C,80 °C,,84 °C,81 °C,67.3 °C,57 °C,78 °C,1883 rpm,1868 rpm,1855 rpm,1870 rpm,1886 rpm,1400 rpm,1852 rpm,1869 rpm,1860 rpm,1890 rpm,1861 rpm
2026-09-15 04:01:40,69 °C,,86 °C,55 °C,80 °C,,84 °C,81 °C,68.5 °C,57 °C,78 °C,1852 rpm,1882 rpm,1841 rpm,1611 rpm,1848 rpm,1400 rpm,1864 rpm,1843 rpm,1851 rpm,1900 rpm,1854 rpm
2026-09-15 04:02:00,69 °C,,86 °C,56 °C,80 °C,,84 °C,81 °C,75 °C,57.3 °C,78 °C,1868 rpm,1861 rpm,1868 rpm,1882 rpm,1525 rpm,1401 rpm,1859 rpm,1858 rpm,1583 rpm,1887 rpm,1858 rpm
2026-09-15 04:02:20,69 °C,,86 °C,56 °C,80 °C,,84 °C,81 °C,73.8 °C,58 °C,78.3 °C,1876 rpm,1876 rpm,1877 rpm,1892 rpm,1833 rpm,1400 rpm,1871 rpm,1860 rpm,1754 rpm,1892 rpm,1832 rpm
2026-09-15 04:02:40,69 °C,,86 °C,56 °C,80 °C,,84 °C,81 °C,71 °C,58 °C,78 °C,1900 rpm,1876 rpm,1846 rpm,1900 rpm,1513 rpm,1401 rpm,1857 rpm,1857 rpm,1858 rpm,1890 rpm,1868 rpm
2026-09-15 04:03:00,69 °C,71 °C,,56.5 °C,80 °C,,84 °C,81 °C,70.3 °C,58 °C,78.5 °C,1878 rpm,1866 rpm,1871 rpm,1901 rpm,1867 rpm,1635 rpm,1868 rpm,1858 rpm,1854 rpm,1889 rpm,1875 rpm
2026-09-15 04:03:20,69 °C,72 °C,,57 °C,80 °C,,84 °C,81 °C,70 °C,58.8 °C,78.5 °C,1861 rpm,1843 rpm,1861 rpm,1877 rpm,1869 rpm,1774 rpm,1857 rpm,1863 rpm,1835 rpm,1896 rpm,1864 rpm
2026-09-15 04:03:40,69 °C,72 °C,,57.3 °C,80 °C,73 °C,84 °C,81 °C,69.8 °C,59 °C,79 °C,1869 rpm,1884 rpm,1871 rpm,1875 rpm,1857 rpm,1871 rpm,1840 rpm,1899 rpm,1862 rpm,1894 rpm,1853 rpm
2026-09-15 04:04:00,69 °C,72 °C,,58 °C,80 °C,73 °C,84 °C,81 °C,67.3 °C,59 °C,79 °C,1901 rpm,1858 rpm,1869 rpm,1878 rpm,1849 rpm,1853 rpm,1837 rpm,1876 rpm,1853 rpm,1887 rpm,1858 rpm
2026-09-15 04:04:20,70 °C,72 °C,,58 °C,80 °C,73 °C,84 °C,81 °C,67.5 °C,59 °C,79 °C,1870 rpm,1857 rpm,1852 rpm,1618 rpm,1846 rpm,1886 rpm,1850 rpm,1853 rpm,1861 rpm,1891 rpm,1868 rpm
2026-09-15 04:04:40,70 °C,72 °C,,57.5 °C,80 °C,73 °C,84.5 °C,81 °C,69 °C,59 °C,79 °C,1865 rpm,1892 rpm,1872 rpm,800 rpm,1775 rpm,1893 rpm,1842 rpm,1879 rpm,1857 rpm,1751 rpm,1890 rpm
2026-09-15 04:05:00,70 °C,72 °C,,57 °C,80 °C,73.8 °C,86 °C,81 °C,70.8 °C,59 °C,79 °C,1854 rpm,1887 rpm,1841 rpm,800 rpm,1853 rpm,1799 rpm,1843 rpm,1896 rpm,1857 rpm,1399 rpm,1849 rpm
2026-09-15 04:05:20,69.8 °C,72 °C,,57 °C,80 °C,,85 °C,81 °C,68 °C,59 °C,79 °C,1436 rpm,1865 rpm,1869 rpm,800 rpm,1863 rpm,1898 rpm,1737 rpm,1892 rpm,1871 rpm,1400 rpm,1883 rpm
2026-09-15 04:05:40,69 °C,72 °C,,57 °C,80 °C,,86 °C,80.8 °C,71.3 °C,59 °C,79 °C,799 rpm,1882 rpm,1847 rpm,1062 rpm,1844 rpm,1893 rpm,1869 rpm,1863 rpm,1849 rpm,1400 rpm,1858 rpm
2026-09-15 04:06:00,69 °C,72 °C,,56.3 °C,80 °C,,85.5 °C,81 °C,73.8 °C,59 °C,79 °C,1075 rpm,1863 rpm,1878 rpm,801 rpm,1862 rpm,1897 rpm,1875 rpm,1706 rpm,1888 rpm,1400 rpm,1866 rpm
2026-09-15 04:06:20,69 °C,72 °C,,56 °C,80 °C,,85 °C,81 °C,75 °C,59 °C,79 °C,800 rpm,1881 rpm,1836 rpm,800 rpm,1832 rpm,1887 rpm,1859 rpm,1894 rpm,1869 rpm,1497 rpm,1869 rpm
2026-09-15 04:06:40,69 °C,72 °C,86.5 °C,56 °C,80 °C,,86 °C,80.8 °C,73 °C,59 °C,78.8 °C,800 rpm,1869 rpm,1860 rpm,800 rpm,1788 rpm,1873 rpm,1881 rpm,1841 rpm,1855 rpm,1400 rpm,1853 rpm
2026-09-15 04:07:00,68 °C,72 °C,87 °C,56 °C,80 °C,,86 °C,81 °C,69.5 °C,59 °C,79 °C,800 rpm,1884 rpm,1834 rpm,801 rpm,1874 rpm,1879 rpm,1863 rpm,1874 rpm,1860 rpm,1400 rpm,1860 rpm
2026-09-15 04:07:20,68 °C,72.5 °C,87 °C,56 °C,80 °C,,86 °C,81 °C,71.5 °C,58.3 °C,78.3 °C,800 rpm,1863 rpm,1866 rpm,800 rpm,1883 rpm,1886 rpm,1877 rpm,1838 rpm,1859 rpm,1401 rpm,1870 rpm
2026-09-15 04:07:40,68 °C,72.5 °C,87 °C,56 °C,80 °C,,86 °C,81 °C,75 °C,58 °C,78.8 °C,800 rpm,1871 rpm,1846 rpm,800 rpm,1865 rpm,1889 rpm,1886 rpm,1851 rpm,1730 rpm,1400 rpm,1857 rpm
