"Time","TEM_TK - I44"
2025-09-15 07:00:00,60 °C
2025-09-15 13:00:00,74 °C
2025-09-15 19:00:00,73 °C
2025-09-16 01:00:00,72 °C
2025-09-16 07:00:00,69 °C
2025-09-16 13:00:00,61 °C
2025-09-16 19:00:00,60 °C
2025-09-17 01:00:00,58 °C
2025-09-17 07:00:00,70 °C
2025-09-17 13:00:00,58 °C
2025-09-17 19:00:00,
2025-09-18 01:00:00,
2025-09-18 07:00:00,
2025-09-18 13:00:00,
2025-09-18 19:00:00,
2025-09-19 01:00:00,32 °C
2025-09-19 07:00:00,47 °C
2025-09-19 13:00:00,44 °C
2025-09-19 19:00:00,70 °C
2025-09-20 01:00:00,69 °C
2025-09-20 07:00:00,65 °C
2025-09-20 13:00:00,63 °C
2025-09-20 19:00:00,74 °C
2025-09-21 01:00:00,65 °C
2025-09-21 07:00:00,52 °C
2025-09-21 13:00:00,80 °C
2025-09-21 19:00:00,69 °C
2025-09-22 01:00:00,44 °C
2025-09-22 07:00:00,72 °C
2025-09-22 13:00:00,81 °C
2025-09-22 19:00:00,76 °C
2025-09-23 01:00:00,71 °C
2025-09-23 07:00:00,70 °C
2025-09-23 13:00:00,83 °C
2025-09-23 19:00:00,74 °C
2025-09-24 01:00:00,72 °C
2025-09-24 07:00:00,59 °C
2025-09-24 13:00:00,55 °C
2025-09-24 19:00:00,
2025-09-25 01:00:00,43 °C
2025-09-25 07:00:00,61 °C
2025-09-25 13:00:00,78 °C
2025-09-25 19:00:00,64 °C
2025-09-26 01:00:00,66 °C
2025-09-26 07:00:00,65 °C
2025-09-26 13:00:00,80 °C
2025-09-26 19:00:00,52 °C
2025-09-27 01:00:00,61 °C
2025-09-27 07:00:00,68 °C
2025-09-27 13:00:00,79 °C
2025-09-27 19:00:00,58 °C
2025-09-28 01:00:00,76 °C
2025-09-28 07:00:00,68 °C
2025-09-28 13:00:00,64 °C
2025-09-28 19:00:00,30 °C
2025-09-29 01:00:00,60 °C
2025-09-29 07:00:00,70 °C
2025-09-29 13:00:00,83 °C
2025-09-29 19:00:00,58 °C
2025-09-30 01:00:00,
2025-09-30 07:00:00,48 °C
2025-09-30 13:00:00,74 °C
2025-09-30 19:00:00,27 °C
2025-10-01 01:00:00,27 °C
2025-10-01 07:00:00,
2025-10-01 13:00:00,54 °C
2025-10-01 19:00:00,73 °C
2025-10-02 01:00:00,73 °C
2025-10-02 07:00:00,49 °C
2025-10-02 13:00:00,52 °C
2025-10-02 19:00:00,71 °C
2025-10-03 01:00:00,64 °C
2025-10-03 07:00:00,66 °C
