"Time","TEM_TK - I38","TEM_TK - I39","TEM_TK - I40","TEM_TK - I41","TEM_TK - I42","TEM_TK - I43","TEM_TK - I44","TEM_TK - I47","TEM_TK - I48","RPM - I38","RPM - I39","RPM - I40","RPM - I41","RPM - I42","RPM - I43","RPM - I44","RPM - I47","RPM - I48"
2026-06-17 11:00:00,,81 °C,72 °C,,81 °C,86 °C,65 °C,59 °C,,,1854 rpm,1684 rpm,,1802 rpm,1835 rpm,1802 rpm,1875 rpm,
2026-06-17 13:00:00,,74 °C,76 °C,,,83 °C,53 °C,83 °C,,,1838 rpm,1810 rpm,,,1857 rpm,1843 rpm,1814 rpm,
2026-06-17 15:00:00,,78 °C,59 °C,34 °C,54 °C,79 °C,48 °C,81 °C,,,1852 rpm,801 rpm,0 rpm,1878 rpm,1819 rpm,1878 rpm,1835 rpm,
2026-06-17 17:00:00,,76 °C,77 °C,35 °C,81 °C,84 °C,66 °C,83 °C,,,1827 rpm,1798 rpm,799 rpm,1849 rpm,1804 rpm,1911 rpm,1840 rpm,
2026-06-17 19:00:00,,70 °C,66 °C,40 °C,56 °C,74 °C,59 °C,58 °C,,,1887 rpm,800 rpm,800 rpm,1773 rpm,1781 rpm,1399 rpm,801 rpm,
2026-06-17 21:00:00,,68 °C,59 °C,65 °C,57 °C,74 °C,69 °C,73 °C,,,1836 rpm,1877 rpm,1716 rpm,800 rpm,1880 rpm,1870 rpm,1865 rpm,
2026-06-17 23:00:00,,74 °C,71 °C,39 °C,72 °C,77 °C,70 °C,69 °C,,,1902 rpm,1842 rpm,800 rpm,1803 rpm,1901 rpm,1834 rpm,1840 rpm,
2026-06-18 01:00:00,,69 °C,58 °C,51 °C,51 °C,58 °C,51 °C,71 °C,,,1874 rpm,1660 rpm,1847 rpm,800 rpm,1855 rpm,800 rpm,1840 rpm,
2026-06-18 03:00:00,,,58 °C,69 °C,39 °C,77 °C,63 °C,49 °C,,,,1693 rpm,1757 rpm,799 rpm,1790 rpm,801 rpm,1785 rpm,
2026-06-18 05:00:00,,41 °C,58 °C,64 °C,34 °C,66 °C,63 °C,70 °C,,,800 rpm,1773 rpm,1847 rpm,800 rpm,800 rpm,800 rpm,1900 rpm,
2026-06-18 07:00:00,,37 °C,61 °C,64 °C,58 °C,73 °C,61 °C,63 °C,,,800 rpm,1714 rpm,1719 rpm,1784 rpm,1846 rpm,1401 rpm,1802 rpm,
2026-06-18 09:00:00,,68 °C,64 °C,73 °C,68 °C,76 °C,46 °C,73 °C,,,1804 rpm,1843 rpm,1797 rpm,1746 rpm,1795 rpm,1855 rpm,1827 rpm,
2026-06-18 11:00:00,,65 °C,73 °C,78 °C,73 °C,77 °C,69 °C,58 °C,,,1400 rpm,1752 rpm,1856 rpm,1883 rpm,1903 rpm,1824 rpm,1398 rpm,
2026-06-18 13:00:00,,77 °C,77 °C,77 °C,58 °C,63 °C,59 °C,64 °C,,,1787 rpm,1893 rpm,1841 rpm,0 rpm,1833 rpm,1845 rpm,1877 rpm,
2026-06-18 15:00:00,35 °C,58 °C,58 °C,56 °C,70 °C,68 °C,52 °C,76 °C,,799 rpm,1757 rpm,1845 rpm,0 rpm,1848 rpm,1400 rpm,0 rpm,1829 rpm,
2026-06-18 17:00:00,44 °C,65 °C,71 °C,71 °C,72 °C,74 °C,46 °C,74 °C,,1844 rpm,1882 rpm,1740 rpm,1805 rpm,1757 rpm,1822 rpm,1786 rpm,1810 rpm,
2026-06-18 19:00:00,55 °C,72 °C,59 °C,71 °C,73 °C,57 °C,52 °C,63 °C,,800 rpm,1884 rpm,1861 rpm,1907 rpm,1876 rpm,1902 rpm,1896 rpm,1398 rpm,
